Time,Value
0.000000,5.000000
0.001675,5.000000
0.003350,4.999999
0.005025,4.999997
0.006700,4.999994
0.008375,4.999988
0.010050,4.999979
0.011725,4.999966
0.013400,4.999949
0.015075,4.999928
0.016750,4.999901
0.018425,4.999869
0.020100,4.999830
0.021775,4.999784
0.023450,4.999731
0.025125,4.999669
0.026800,4.999599
0.028475,4.999520
0.030150,4.999431
0.031825,4.999332
0.033500,4.999222
0.035175,4.999100
0.036850,4.998967
0.038525,4.998821
0.040200,4.998663
0.041875,4.998491
0.043550,4.998305
0.045225,4.998105
0.046900,4.997890
0.048575,4.997659
0.050250,4.997412
0.051925,4.997149
0.053600,4.996869
0.055275,4.996572
0.056950,4.996256
0.058625,4.995922
0.060300,4.995570
0.061975,4.995198
0.063650,4.994806
0.065325,4.994393
0.067000,4.993960
0.068675,4.993506
0.070350,4.993030
0.072025,4.992531
0.073700,4.992011
0.075375,4.991467
0.077050,4.990899
0.078725,4.990308
0.080400,4.989692
0.082075,4.989051
0.083750,4.988385
0.085425,4.987693
0.087100,4.986975
0.088775,4.986231
0.090450,4.985459
0.092125,4.984660
0.093800,4.983834
0.095475,4.982979
0.097150,4.982095
0.098825,4.981182
0.100500,4.980240
0.102175,4.979268
0.103850,4.978266
0.105525,4.977233
0.107200,4.976169
0.108875,4.975073
0.110550,4.973946
0.112225,4.972787
0.113900,4.971595
0.115575,4.970370
0.117250,4.969112
0.118925,4.967820
0.120600,4.966494
0.122275,4.965133
0.123950,4.963738
0.125625,4.962308
0.127300,4.960842
0.128975,4.959340
0.130650,4.957803
0.132325,4.956228
0.134000,4.954617
0.135675,4.952969
0.137350,4.951283
0.139025,4.949559
0.140700,4.947797
0.142375,4.945997
0.144050,4.944158
0.145725,4.942279
0.147400,4.940361
0.149075,4.938404
0.150750,4.936406
0.152425,4.934368
0.154100,4.932289
0.155775,4.930169
0.157450,4.928008
0.159125,4.925805
0.160800,4.923560
0.162475,4.921273
0.164150,4.918944
0.165825,4.916572
0.167500,4.914157
0.169174,4.911698
0.170849,4.909196
0.172524,4.906650
0.174199,4.904060
0.175874,4.901426
0.177549,4.898747
0.179224,4.896023
0.180899,4.893253
0.182574,4.890439
0.184249,4.887578
0.185924,4.884672
0.187599,4.881720
0.189274,4.878721
0.190949,4.875675
0.192624,4.872583
0.194299,4.869443
0.195974,4.866256
0.197649,4.863022
0.199324,4.859739
0.200999,4.856409
0.202674,4.853030
0.204349,4.849603
0.206024,4.846127
0.207699,4.842602
0.209374,4.839028
0.211049,4.835405
0.212724,4.831732
0.214399,4.828009
0.216074,4.824237
0.217749,4.820414
0.219424,4.816541
0.221099,4.812617
0.222774,4.808643
0.224449,4.804618
0.226124,4.800541
0.227799,4.796414
0.229474,4.792235
0.231149,4.788004
0.232824,4.783722
0.234499,4.779387
0.236174,4.775001
0.237849,4.770562
0.239524,4.766070
0.241199,4.761526
0.242874,4.756929
0.244549,4.752280
0.246224,4.747577
0.247899,4.742821
0.249574,4.738011
0.251249,4.733148
0.252924,4.728232
0.254599,4.723261
0.256274,4.718237
0.257949,4.713158
0.259624,4.708026
0.261299,4.702838
0.262974,4.697597
0.264649,4.692301
0.266324,4.686950
0.267999,4.681544
0.269674,4.676083
0.271349,4.670567
0.273024,4.664996
0.274699,4.659370
0.276374,4.653688
0.278049,4.647951
0.279724,4.642158
0.281399,4.636310
0.283074,4.630405
0.284749,4.624445
0.286424,4.618429
0.288099,4.612357
0.289774,4.606228
0.291449,4.600043
0.293124,4.593802
0.294799,4.587504
0.296474,4.581150
0.298149,4.574740
0.299824,4.568272
0.301499,4.561748
0.303174,4.555167
0.304849,4.548529
0.306524,4.541835
0.308199,4.535083
0.309874,4.528274
0.311549,4.521408
0.313224,4.514485
0.314899,4.507505
0.316574,4.500467
0.318249,4.493373
0.319924,4.486220
0.321599,4.479011
0.323274,4.471743
0.324949,4.464419
0.326624,4.457037
0.328299,4.449597
0.329974,4.442099
0.331649,4.434544
0.333324,4.426932
0.334999,4.419261
0.336674,4.411533
0.338349,4.403747
0.340024,4.395904
0.341699,4.388002
0.343374,4.380043
0.345049,4.372026
0.346724,4.363951
0.348399,4.355819
0.350074,4.347628
0.351749,4.339380
0.353424,4.331074
0.355099,4.322710
0.356774,4.314288
0.358449,4.305808
0.360124,4.297271
0.361799,4.288675
0.363474,4.280022
0.365149,4.271311
0.366824,4.262542
0.368499,4.253715
0.370174,4.244831
0.371849,4.235889
0.373524,4.226889
0.375199,4.217831
0.376874,4.208716
0.378549,4.199543
0.380224,4.190313
0.381899,4.181025
0.383574,4.171679
0.385249,4.162276
0.386924,4.152815
0.388599,4.143297
0.390274,4.133721
0.391949,4.124088
0.393624,4.114398
0.395299,4.104651
0.396974,4.094846
0.398649,4.084984
0.400324,4.075065
0.401999,4.065089
0.403674,4.055056
0.405349,4.044966
0.407024,4.034819
0.408699,4.024615
0.410374,4.014354
0.412049,4.004037
0.413724,3.993663
0.415399,3.983233
0.417074,3.972746
0.418749,3.962203
0.420424,3.951603
0.422099,3.940947
0.423774,3.930235
0.425449,3.919467
0.427124,3.908642
0.428799,3.897762
0.430474,3.886826
0.432149,3.875834
0.433824,3.864787
0.435499,3.853684
0.437174,3.842525
0.438849,3.831311
0.440524,3.820042
0.442199,3.808717
0.443874,3.797338
0.445549,3.785903
0.447224,3.774413
0.448899,3.762869
0.450574,3.751270
0.452249,3.739616
0.453924,3.727908
0.455599,3.716146
0.457274,3.704329
0.458949,3.692458
0.460624,3.680533
0.462299,3.668554
0.463974,3.656522
0.465649,3.644435
0.467324,3.632296
0.468999,3.620102
0.470674,3.607856
0.472349,3.595556
0.474024,3.583203
0.475699,3.570798
0.477374,3.558339
0.479049,3.545828
0.480724,3.533265
0.482399,3.520649
0.484074,3.507981
0.485749,3.495260
0.487424,3.482488
0.489099,3.469664
0.490774,3.456789
0.492449,3.443861
0.494124,3.430883
0.495799,3.417853
0.497474,3.404772
0.499149,3.391640
0.500824,3.378458
0.502499,3.365225
0.504174,3.351941
0.505849,3.338607
0.507523,3.325223
0.509198,3.311789
0.510873,3.298305
0.512548,3.284772
0.514223,3.271189
0.515898,3.257557
0.517573,3.243875
0.519248,3.230145
0.520923,3.216366
0.522598,3.202538
0.524273,3.188662
0.525948,3.174737
0.527623,3.160764
0.529298,3.146743
0.530973,3.132675
0.532648,3.118559
0.534323,3.104396
0.535998,3.090185
0.537673,3.075927
0.539348,3.061623
0.541023,3.047271
0.542698,3.032874
0.544373,3.018430
0.546048,3.003940
0.547723,2.989404
0.549398,2.974822
0.551073,2.960195
0.552748,2.945522
0.554423,2.930805
0.556098,2.916042
0.557773,2.901235
0.559448,2.886383
0.561123,2.871487
0.562798,2.856546
0.564473,2.841562
0.566148,2.826534
0.567823,2.811462
0.569498,2.796348
0.571173,2.781190
0.572848,2.765989
0.574523,2.750745
0.576198,2.735459
0.577873,2.720131
0.579548,2.704761
0.581223,2.689349
0.582898,2.673895
0.584573,2.658400
0.586248,2.642864
0.587923,2.627287
0.589598,2.611669
0.591273,2.596010
0.592948,2.580312
0.594623,2.564573
0.596298,2.548794
0.597973,2.532976
0.599648,2.517118
0.601323,2.501221
0.602998,2.485286
0.604673,2.469311
0.606348,2.453298
0.608023,2.437247
0.609698,2.421158
0.611373,2.405031
0.613048,2.388867
0.614723,2.372665
0.616398,2.356426
0.618073,2.340150
0.619748,2.323838
0.621423,2.307489
0.623098,2.291105
0.624773,2.274684
0.626448,2.258228
0.628123,2.241736
0.629798,2.225210
0.631473,2.208648
0.633148,2.192052
0.634823,2.175421
0.636498,2.158756
0.638173,2.142058
0.639848,2.125325
0.641523,2.108560
0.643198,2.091761
0.644873,2.074929
0.646548,2.058065
0.648223,2.041168
0.649898,2.024239
0.651573,2.007278
0.653248,1.990286
0.654923,1.973262
0.656598,1.956207
0.658273,1.939121
0.659948,1.922005
0.661623,1.904858
0.663298,1.887681
0.664973,1.870475
0.666648,1.853239
0.668323,1.835973
0.669998,1.818679
0.671673,1.801356
0.673348,1.784004
0.675023,1.766624
0.676698,1.749216
0.678373,1.731781
0.680048,1.714318
0.681723,1.696828
0.683398,1.679311
0.685073,1.661767
0.686748,1.644197
0.688423,1.626602
0.690098,1.608980
0.691773,1.591333
0.693448,1.573660
0.695123,1.555963
0.696798,1.538240
0.698473,1.520494
0.700148,1.502723
0.701823,1.484928
0.703498,1.467110
0.705173,1.449269
0.706848,1.431404
0.708523,1.413517
0.710198,1.395607
0.711873,1.377675
0.713548,1.359721
0.715223,1.341745
0.716898,1.323748
0.718573,1.305730
0.720248,1.287692
0.721923,1.269632
0.723598,1.251553
0.725273,1.233453
0.726948,1.215334
0.728623,1.197196
0.730298,1.179038
0.731973,1.160862
0.733648,1.142667
0.735323,1.124454
0.736998,1.106223
0.738673,1.087974
0.740348,1.069708
0.742023,1.051425
0.743698,1.033125
0.745373,1.014809
0.747048,0.996476
0.748723,0.978128
0.750398,0.959763
0.752073,0.941384
0.753748,0.922989
0.755423,0.904580
0.757098,0.886156
0.758773,0.867719
0.760448,0.849267
0.762123,0.830801
0.763798,0.812323
0.765473,0.793831
0.767148,0.775327
0.768823,0.756810
0.770498,0.738281
0.772173,0.719741
0.773848,0.701189
0.775523,0.682625
0.777198,0.664051
0.778873,0.645466
0.780548,0.626871
0.782223,0.608266
0.783898,0.589651
0.785573,0.571026
0.787248,0.552393
0.788923,0.533750
0.790598,0.515099
0.792273,0.496440
0.793948,0.477773
0.795623,0.459098
0.797298,0.440416
0.798973,0.421726
0.800648,0.403030
0.802323,0.384328
0.803998,0.365619
0.805673,0.346905
0.807348,0.328185
0.809023,0.309459
0.810698,0.290729
0.812373,0.271994
0.814048,0.253255
0.815723,0.234512
0.817398,0.215765
0.819073,0.197014
0.820748,0.178260
0.822423,0.159504
0.824098,0.140745
0.825773,0.121983
0.827448,0.103220
0.829123,0.084455
0.830798,0.065689
0.832473,0.046921
0.834148,0.028153
0.835823,0.009384
0.837498,-0.009384
0.839173,-0.028153
0.840848,-0.046921
0.842523,-0.065689
0.844198,-0.084455
0.845872,-0.103220
0.847547,-0.121983
0.849222,-0.140745
0.850897,-0.159504
0.852572,-0.178260
0.854247,-0.197014
0.855922,-0.215765
0.857597,-0.234512
0.859272,-0.253255
0.860947,-0.271994
0.862622,-0.290729
0.864297,-0.309459
0.865972,-0.328185
0.867647,-0.346905
0.869322,-0.365619
0.870997,-0.384328
0.872672,-0.403030
0.874347,-0.421726
0.876022,-0.440416
0.877697,-0.459098
0.879372,-0.477773
0.881047,-0.496440
0.882722,-0.515099
0.884397,-0.533750
0.886072,-0.552393
0.887747,-0.571026
0.889422,-0.589651
0.891097,-0.608266
0.892772,-0.626871
0.894447,-0.645466
0.896122,-0.664051
0.897797,-0.682625
0.899472,-0.701189
0.901147,-0.719741
0.902822,-0.738281
0.904497,-0.756810
0.906172,-0.775327
0.907847,-0.793831
