Time,Value
0.000000,-3.000000
0.001675,-2.999993
0.003350,-2.999972
0.005025,-2.999937
0.006700,-2.999888
0.008375,-2.999825
0.010050,-2.999747
0.011725,-2.999656
0.013400,-2.999551
0.015075,-2.999432
0.016750,-2.999299
0.018425,-2.999151
0.020100,-2.998990
0.021775,-2.998815
0.023450,-2.998625
0.025125,-2.998422
0.026800,-2.998204
0.028475,-2.997973
0.030150,-2.997727
0.031825,-2.997468
0.033500,-2.997194
0.035175,-2.996907
0.036850,-2.996605
0.038525,-2.996290
0.040200,-2.995960
0.041875,-2.995616
0.043550,-2.995259
0.045225,-2.994887
0.046900,-2.994501
0.048575,-2.994101
0.050250,-2.993688
0.051925,-2.993260
0.053600,-2.992818
0.055275,-2.992362
0.056950,-2.991892
0.058625,-2.991409
0.060300,-2.990911
0.061975,-2.990399
0.063650,-2.989873
0.065325,-2.989333
0.067000,-2.988779
0.068675,-2.988211
0.070350,-2.987629
0.072025,-2.987033
0.073700,-2.986423
0.075375,-2.985799
0.077050,-2.985161
0.078725,-2.984509
0.080400,-2.983843
0.082075,-2.983163
0.083750,-2.982469
0.085425,-2.981761
0.087100,-2.981039
0.088775,-2.980303
0.090450,-2.979553
0.092125,-2.978789
0.093800,-2.978011
0.095475,-2.977219
0.097150,-2.976414
0.098825,-2.975594
0.100500,-2.974760
0.102175,-2.973912
0.103850,-2.973050
0.105525,-2.972174
0.107200,-2.971285
0.108875,-2.970381
0.110550,-2.969463
0.112225,-2.968532
0.113900,-2.967586
0.115575,-2.966627
0.117250,-2.965653
0.118925,-2.964666
0.120600,-2.963665
0.122275,-2.962649
0.123950,-2.961620
0.125625,-2.960577
0.127300,-2.959520
0.128975,-2.958449
0.130650,-2.957364
0.132325,-2.956265
0.134000,-2.955153
0.135675,-2.954026
0.137350,-2.952886
0.139025,-2.951731
0.140700,-2.950563
0.142375,-2.949381
0.144050,-2.948185
0.145725,-2.946975
0.147400,-2.945751
0.149075,-2.944514
0.150750,-2.943262
0.152425,-2.941997
0.154100,-2.940718
0.155775,-2.939425
0.157450,-2.938118
0.159125,-2.936797
0.160800,-2.935463
0.162475,-2.934114
0.164150,-2.932752
0.165825,-2.931377
0.167500,-2.929987
0.169174,-2.928583
0.170849,-2.927166
0.172524,-2.925735
0.174199,-2.924290
0.175874,-2.922832
0.177549,-2.921359
0.179224,-2.919873
0.180899,-2.918374
0.182574,-2.916860
0.184249,-2.915333
0.185924,-2.913792
0.187599,-2.912237
0.189274,-2.910669
0.190949,-2.909087
0.192624,-2.907491
0.194299,-2.905882
0.195974,-2.904259
0.197649,-2.902622
0.199324,-2.900972
0.200999,-2.899308
0.202674,-2.897630
0.204349,-2.895939
0.206024,-2.894234
0.207699,-2.892516
0.209374,-2.890784
0.211049,-2.889038
0.212724,-2.887279
0.214399,-2.885506
0.216074,-2.883720
0.217749,-2.881920
0.219424,-2.880107
0.221099,-2.878280
0.222774,-2.876440
0.224449,-2.874586
0.226124,-2.872718
0.227799,-2.870838
0.229474,-2.868943
0.231149,-2.867036
0.232824,-2.865115
0.234499,-2.863180
0.236174,-2.861232
0.237849,-2.859271
0.239524,-2.857296
0.241199,-2.855308
0.242874,-2.853307
0.244549,-2.851292
0.246224,-2.849264
0.247899,-2.847222
0.249574,-2.845167
0.251249,-2.843099
0.252924,-2.841018
0.254599,-2.838924
0.256274,-2.836816
0.257949,-2.834695
0.259624,-2.832560
0.261299,-2.830413
0.262974,-2.828252
0.264649,-2.826078
0.266324,-2.823891
0.267999,-2.821691
0.269674,-2.819478
0.271349,-2.817251
0.273024,-2.815012
0.274699,-2.812759
0.276374,-2.810493
0.278049,-2.808214
0.279724,-2.805923
0.281399,-2.803618
0.283074,-2.801300
0.284749,-2.798969
0.286424,-2.796625
0.288099,-2.794269
0.289774,-2.791899
0.291449,-2.789516
0.293124,-2.787121
0.294799,-2.784712
0.296474,-2.782291
0.298149,-2.779857
0.299824,-2.777410
