Time,Value
0.000000,0.000000
0.001675,0.008375
0.003350,0.016750
0.005025,0.025125
0.006700,0.033500
0.008375,0.041875
0.010050,0.050250
0.011725,0.058625
0.013400,0.067000
0.015075,0.075375
0.016750,0.083749
0.018425,0.092124
0.020100,0.100499
0.021775,0.108873
0.023450,0.117248
0.025125,0.125623
0.026800,0.133997
0.028475,0.142371
0.030150,0.150745
0.031825,0.159119
0.033500,0.167493
0.035175,0.175867
0.036850,0.184240
0.038525,0.192613
0.040200,0.200986
0.041875,0.209358
0.043550,0.217731
0.045225,0.226103
0.046900,0.234474
0.048575,0.242846
0.050250,0.251216
0.051925,0.259587
0.053600,0.267957
0.055275,0.276326
0.056950,0.284695
0.058625,0.293064
0.060300,0.301432
0.061975,0.309799
0.063650,0.318165
0.065325,0.326531
0.067000,0.334897
0.068675,0.343261
0.070350,0.351625
0.072025,0.359988
0.073700,0.368350
0.075375,0.376711
0.077050,0.385071
0.078725,0.393430
0.080400,0.401789
0.082075,0.410146
0.083750,0.418502
0.085425,0.426857
0.087100,0.435210
0.088775,0.443563
0.090450,0.451914
0.092125,0.460264
0.093800,0.468613
0.095475,0.476960
0.097150,0.485306
0.098825,0.493650
0.100500,0.501993
0.102175,0.510334
0.103850,0.518673
0.105525,0.527011
0.107200,0.535347
0.108875,0.543681
0.110550,0.552013
0.112225,0.560344
0.113900,0.568672
0.115575,0.576998
0.117250,0.585323
0.118925,0.593645
0.120600,0.601965
0.122275,0.610282
0.123950,0.618598
0.125625,0.626911
0.127300,0.635222
0.128975,0.643530
0.130650,0.651835
0.132325,0.660138
0.134000,0.668439
0.135675,0.676736
0.137350,0.685031
0.139025,0.693323
0.140700,0.701612
0.142375,0.709898
0.144050,0.718181
0.145725,0.726461
0.147400,0.734737
0.149075,0.743011
0.150750,0.751281
0.152425,0.759548
0.154100,0.767811
0.155775,0.776071
0.157450,0.784327
0.159125,0.792580
0.160800,0.800828
0.162475,0.809074
0.164150,0.817315
0.165825,0.825552
0.167500,0.833785
0.169174,0.842014
0.170849,0.850239
0.172524,0.858460
0.174199,0.866676
