Time,Value
0.000000,5.000000
0.001734,4.999970
0.003468,4.999880
0.005201,4.999730
0.006935,4.999520
0.008669,4.999251
0.010403,4.998922
0.012136,4.998534
0.013870,4.998086
0.015604,4.997580
0.017338,4.997014
0.019072,4.996389
0.020805,4.995706
0.022539,4.994964
0.024273,4.994163
0.026007,4.993304
0.027741,4.992387
0.029474,4.991411
0.031208,4.990378
0.032942,4.989286
0.034676,4.988136
0.036409,4.986929
0.038143,4.985665
0.039877,4.984342
0.041611,4.982963
0.043345,4.981526
0.045078,4.980032
0.046812,4.978481
0.048546,4.976873
0.050280,4.975209
0.052014,4.973488
0.053747,4.971710
0.055481,4.969876
0.057215,4.967986
0.058949,4.966039
0.060682,4.964037
0.062416,4.961978
0.064150,4.959864
0.065884,4.957694
0.067618,4.955469
0.069351,4.953188
0.071085,4.950852
0.072819,4.948460
0.074553,4.946014
0.076287,4.943513
0.078020,4.940956
0.079754,4.938345
0.081488,4.935680
0.083222,4.932960
0.084955,4.930186
0.086689,4.927357
0.088423,4.924475
0.090157,4.921538
0.091891,4.918548
0.093624,4.915504
0.095358,4.912406
0.097092,4.909254
0.098826,4.906050
0.100560,4.902792
0.102293,4.899481
0.104027,4.896117
0.105761,4.892700
0.107495,4.889230
0.109228,4.885708
0.110962,4.882133
0.112696,4.878505
0.114430,4.874825
0.116164,4.871094
0.117897,4.867310
0.119631,4.863474
0.121365,4.859586
0.123099,4.855647
0.124832,4.851656
0.126566,4.847614
0.128300,4.843520
0.130034,4.839375
0.131768,4.835179
0.133501,4.830932
0.135235,4.826634
0.136969,4.822285
0.138703,4.817886
0.140437,4.813437
0.142170,4.808936
0.143904,4.804386
0.145638,4.799786
0.147372,4.795135
0.149105,4.790435
0.150839,4.785685
0.152573,4.780885
0.154307,4.776036
0.156041,4.771137
0.157774,4.766189
0.159508,4.761192
0.161242,4.756146
0.162976,4.751051
0.164710,4.745907
0.166443,4.740714
0.168177,4.735473
0.169911,4.730183
0.171645,4.724845
0.173378,4.719459
0.175112,4.714025
0.176846,4.708543
0.178580,4.703013
0.180314,4.697435
0.182047,4.691810
0.183781,4.686137
0.185515,4.680417
0.187249,4.674649
0.188983,4.668835
0.190716,4.662973
0.192450,4.657065
0.194184,4.651109
0.195918,4.645107
0.197651,4.639059
0.199385,4.632964
0.201119,4.626823
0.202853,4.620636
0.204587,4.614403
0.206320,4.608124
0.208054,4.601799
0.209788,4.595428
0.211522,4.589012
0.213256,4.582550
0.214989,4.576043
0.216723,4.569491
0.218457,4.562894
0.220191,4.556252
0.221924,4.549565
0.223658,4.542833
0.225392,4.536057
0.227126,4.529236
0.228860,4.522371
0.230593,4.515461
0.232327,4.508508
0.234061,4.501510
0.235795,4.494469
0.237528,4.487384
0.239262,4.480255
0.240996,4.473083
0.242730,4.465867
0.244464,4.458608
0.246197,4.451306
0.247931,4.443961
0.249665,4.436573
0.251399,4.429142
0.253133,4.421669
0.254866,4.414153
0.256600,4.406595
0.258334,4.398994
0.260068,4.391351
0.261801,4.383666
0.263535,4.375939
0.265269,4.368170
0.267003,4.360360
0.268737,4.352508
0.270470,4.344614
0.272204,4.336679
0.273938,4.328703
0.275672,4.320686
0.277406,4.312628
0.279139,4.304529
0.280873,4.296389
0.282607,4.288209
0.284341,4.279988
0.286074,4.271727
0.287808,4.263425
0.289542,4.255083
0.291276,4.246702
0.293010,4.238280
0.294743,4.229819
0.296477,4.221318
0.298211,4.212777
0.299945,4.204197
0.301679,4.195578
0.303412,4.186919
0.305146,4.178222
0.306880,4.169486
0.308614,4.160710
0.310347,4.151896
0.312081,4.143044
0.313815,4.134153
0.315549,4.125223
0.317283,4.116256
0.319016,4.107250
0.320750,4.098207
0.322484,4.089125
0.324218,4.080006
0.325952,4.070849
0.327685,4.061655
0.329419,4.052423
0.331153,4.043154
0.332887,4.033848
0.334620,4.024505
0.336354,4.015125
0.338088,4.005708
0.339822,3.996255
0.341556,3.986765
0.343289,3.977239
0.345023,3.967676
0.346757,3.958077
0.348491,3.948443
0.350224,3.938772
0.351958,3.929065
0.353692,3.919323
0.355426,3.909545
0.357160,3.899732
0.358893,3.889883
0.360627,3.880000
0.362361,3.870081
0.364095,3.860127
0.365829,3.850138
0.367562,3.840115
0.369296,3.830057
0.371030,3.819964
0.372764,3.809837
0.374497,3.799676
0.376231,3.789481
0.377965,3.779252
0.379699,3.768989
0.381433,3.758692
0.383166,3.748361
0.384900,3.737997
0.386634,3.727600
0.388368,3.717169
0.390102,3.706705
0.391835,3.696208
0.393569,3.685679
0.395303,3.675116
0.397037,3.664521
0.398770,3.653893
0.400504,3.643232
0.402238,3.632540
0.403972,3.621815
0.405706,3.611058
0.407439,3.600269
0.409173,3.589449
0.410907,3.578596
0.412641,3.567712
0.414375,3.556797
0.416108,3.545850
0.417842,3.534872
0.419576,3.523863
0.421310,3.512823
0.423043,3.501752
0.424777,3.490650
0.426511,3.479517
0.428245,3.468354
0.429979,3.457161
0.431712,3.445938
0.433446,3.434684
0.435180,3.423400
0.436914,3.412086
0.438647,3.400743
0.440381,3.389370
0.442115,3.377967
0.443849,3.366535
0.445583,3.355074
0.447316,3.343583
0.449050,3.332063
0.450784,3.320515
0.452518,3.308937
0.454252,3.297331
0.455985,3.285696
0.457719,3.274033
0.459453,3.262342
0.461187,3.250622
0.462920,3.238874
0.464654,3.227098
0.466388,3.215294
0.468122,3.203463
0.469856,3.191604
0.471589,3.179717
0.473323,3.167803
0.475057,3.155862
0.476791,3.143894
0.478525,3.131898
0.480258,3.119876
0.481992,3.107827
0.483726,3.095751
0.485460,3.083649
0.487193,3.071520
0.488927,3.059365
0.490661,3.047184
0.492395,3.034977
0.494129,3.022743
0.495862,3.010484
0.497596,2.998200
0.499330,2.985889
0.501064,2.973554
0.502798,2.961193
0.504531,2.948806
0.506265,2.936395
0.507999,2.923959
0.509733,2.911498
0.511466,2.899012
0.513200,2.886501
0.514934,2.873966
0.516668,2.861407
0.518402,2.848823
0.520135,2.836215
0.521869,2.823583
0.523603,2.810928
0.525337,2.798248
0.527071,2.785545
0.528804,2.772818
0.530538,2.760068
0.532272,2.747295
0.534006,2.734498
0.535739,2.721679
0.537473,2.708836
0.539207,2.695971
0.540941,2.683083
0.542675,2.670173
0.544408,2.657240
0.546142,2.644284
0.547876,2.631307
0.549610,2.618307
0.551343,2.605285
0.553077,2.592242
0.554811,2.579177
0.556545,2.566090
0.558279,2.552982
0.560012,2.539852
0.561746,2.526701
0.563480,2.513529
0.565214,2.500336
0.566948,2.487122
0.568681,2.473888
0.570415,2.460633
0.572149,2.447357
0.573883,2.434061
0.575616,2.420744
0.577350,2.407407
0.579084,2.394051
0.580818,2.380674
0.582552,2.367278
0.584285,2.353862
0.586019,2.340426
0.587753,2.326971
0.589487,2.313497
0.591221,2.300003
0.592954,2.286490
0.594688,2.272959
0.596422,2.259408
0.598156,2.245839
0.599889,2.232251
0.601623,2.218645
0.603357,2.205020
