Time,Value
0.000000,-3.000000
0.001734,-2.999992
0.003468,-2.999970
0.005201,-2.999932
0.006935,-2.999880
0.008669,-2.999812
0.010403,-2.999729
0.012136,-2.999632
0.013870,-2.999519
0.015604,-2.999391
0.017338,-2.999249
0.019072,-2.999091
0.020805,-2.998918
0.022539,-2.998730
0.024273,-2.998527
0.026007,-2.998309
0.027741,-2.998077
0.029474,-2.997829
0.031208,-2.997566
0.032942,-2.997288
0.034676,-2.996995
0.036409,-2.996687
0.038143,-2.996364
0.039877,-2.996027
0.041611,-2.995674
0.043345,-2.995306
0.045078,-2.994923
0.046812,-2.994526
0.048546,-2.994113
0.050280,-2.993685
0.052014,-2.993243
0.053747,-2.992785
0.055481,-2.992312
0.057215,-2.991825
0.058949,-2.991323
0.060682,-2.990805
0.062416,-2.990273
0.064150,-2.989726
0.065884,-2.989164
0.067618,-2.988587
0.069351,-2.987995
0.071085,-2.987388
0.072819,-2.986767
0.074553,-2.986130
0.076287,-2.985479
0.078020,-2.984812
0.079754,-2.984131
0.081488,-2.983435
0.083222,-2.982725
0.084955,-2.981999
0.086689,-2.981259
0.088423,-2.980503
0.090157,-2.979733
0.091891,-2.978948
0.093624,-2.978149
0.095358,-2.977334
0.097092,-2.976505
0.098826,-2.975661
0.100560,-2.974803
0.102293,-2.973929
0.104027,-2.973041
0.105761,-2.972138
0.107495,-2.971221
0.109228,-2.970289
0.110962,-2.969342
0.112696,-2.968380
0.114430,-2.967404
0.116164,-2.966413
0.117897,-2.965407
0.119631,-2.964387
0.121365,-2.963352
0.123099,-2.962303
0.124832,-2.961239
0.126566,-2.960160
0.128300,-2.959067
0.130034,-2.957959
0.131768,-2.956837
0.133501,-2.955700
0.135235,-2.954549
0.136969,-2.953383
0.138703,-2.952202
0.140437,-2.951008
0.142170,-2.949798
0.143904,-2.948574
0.145638,-2.947336
0.147372,-2.946084
0.149105,-2.944817
0.150839,-2.943535
0.152573,-2.942239
0.154307,-2.940929
0.156041,-2.939605
0.157774,-2.938266
0.159508,-2.936912
0.161242,-2.935545
0.162976,-2.934163
0.164710,-2.932767
0.166443,-2.931357
0.168177,-2.929932
0.169911,-2.928493
0.171645,-2.927040
0.173378,-2.925573
0.175112,-2.924091
0.176846,-2.922595
0.178580,-2.921086
0.180314,-2.919562
0.182047,-2.918024
0.183781,-2.916472
0.185515,-2.914905
0.187249,-2.913325
0.188983,-2.911731
0.190716,-2.910122
0.192450,-2.908500
0.194184,-2.906863
0.195918,-2.905213
0.197651,-2.903549
0.199385,-2.901870
0.201119,-2.900178
0.202853,-2.898472
0.204587,-2.896752
0.206320,-2.895018
0.208054,-2.893270
0.209788,-2.891508
0.211522,-2.889733
0.213256,-2.887944
0.214989,-2.886141
0.216723,-2.884324
0.218457,-2.882494
0.220191,-2.880649
0.221924,-2.878792
0.223658,-2.876920
0.225392,-2.875035
0.227126,-2.873136
0.228860,-2.871224
0.230593,-2.869297
0.232327,-2.867358
