Time,Value
0.000000,0.000000
0.001734,0.008669
0.003468,0.017338
0.005201,0.026006
0.006935,0.034675
0.008669,0.043342
0.010403,0.052010
0.012136,0.060677
0.013870,0.069343
0.015604,0.078008
0.017338,0.086672
0.019072,0.095335
0.020805,0.103997
0.022539,0.112658
0.024273,0.121318
0.026007,0.129976
0.027741,0.138632
0.029474,0.147287
0.031208,0.155940
0.032942,0.164592
0.034676,0.173241
0.036409,0.181888
0.038143,0.190533
0.039877,0.199176
0.041611,0.207817
0.043345,0.216455
0.045078,0.225091
0.046812,0.233724
0.048546,0.242354
0.050280,0.250981
0.052014,0.259606
0.053747,0.268227
0.055481,0.276845
0.057215,0.285460
0.058949,0.294072
0.060682,0.302681
0.062416,0.311285
0.064150,0.319886
0.065884,0.328484
0.067618,0.337078
0.069351,0.345667
0.071085,0.354253
0.072819,0.362835
0.074553,0.371412
0.076287,0.379985
0.078020,0.388554
0.079754,0.397118
0.081488,0.405678
0.083222,0.414233
0.084955,0.422783
0.086689,0.431329
0.088423,0.439869
0.090157,0.448405
0.091891,0.456935
0.093624,0.465460
0.095358,0.473980
0.097092,0.482494
0.098826,0.491003
0.100560,0.499506
0.102293,0.508004
0.104027,0.516496
0.105761,0.524981
0.107495,0.533461
0.109228,0.541935
0.110962,0.550403
0.112696,0.558864
0.114430,0.567319
0.116164,0.575768
0.117897,0.584210
0.119631,0.592646
0.121365,0.601075
0.123099,0.609497
0.124832,0.617912
0.126566,0.626320
0.128300,0.634721
0.130034,0.643115
0.131768,0.651502
0.133501,0.659882
0.135235,0.668254
0.136969,0.676618
0.138703,0.684975
0.140437,0.693325
0.142170,0.701666
0.143904,0.710000
0.145638,0.718326
0.147372,0.726643
0.149105,0.734953
0.150839,0.743255
0.152573,0.751548
0.154307,0.759833
0.156041,0.768109
0.157774,0.776377
0.159508,0.784636
0.161242,0.792887
0.162976,0.801128
0.164710,0.809361
0.166443,0.817585
0.168177,0.825800
0.169911,0.834006
0.171645,0.842202
0.173378,0.850389
0.175112,0.858567
0.176846,0.866735
0.178580,0.874894
0.180314,0.883043
0.182047,0.891183
0.183781,0.899313
0.185515,0.907432
0.187249,0.915542
0.188983,0.923642
0.190716,0.931732
0.192450,0.939811
0.194184,0.947880
0.195918,0.955939
0.197651,0.963988
