Time,Value
0.000000,4.999999
0.000502,4.999999
0.001004,4.999999
0.001506,4.999999
0.002009,4.999999
0.002511,4.999999
0.003013,4.999999
0.003515,4.999999
0.004017,4.999998
0.004519,4.999996
0.005021,4.999989
0.005523,4.999975
0.006026,4.999942
0.006528,4.999875
0.007030,4.999750
0.007532,4.999528
0.008034,4.999154
0.008536,4.998551
0.009038,4.997619
0.009541,4.996230
0.010043,4.994224
0.010545,4.991411
0.011047,4.987567
0.011549,4.982442
0.012051,4.975753
0.012553,4.967199
0.013055,4.956458
0.013558,4.943199
0.014060,4.927086
0.014562,4.907791
0.015064,4.884994
0.015566,4.858401
0.016068,4.827740
0.016570,4.792780
0.017073,4.753325
0.017575,4.709228
0.018077,4.660388
0.018579,4.606753
0.019081,4.548326
0.019583,4.485156
0.020085,4.417342
0.020587,4.345031
0.021090,4.268409
0.021592,4.187702
0.022094,4.103168
0.022596,4.015095
0.023098,3.923792
0.023600,3.829587
0.024102,3.732819
0.024605,3.633837
0.025107,3.532990
0.025609,3.430628
0.026111,3.327095
0.026613,3.222726
0.027115,3.117848
0.027617,3.012770
0.028120,2.907790
0.028622,2.803187
0.029124,2.699224
0.029626,2.596144
0.030128,2.494173
0.030630,2.393518
0.031132,2.294367
0.031634,2.196892
0.032137,2.101246
0.032639,2.007566
0.033141,1.915973
0.033643,1.826571
0.034145,1.739453
0.034647,1.654695
0.035149,1.572363
0.035652,1.492510
0.036154,1.415177
0.036656,1.340395
0.037158,1.268187
0.037660,1.198563
0.038162,1.131529
0.038664,1.067080
0.039166,1.005206
0.039669,0.945890
0.040171,0.889106
0.040673,0.834826
0.041175,0.783017
0.041677,0.733638
0.042179,0.686648
0.042681,0.642000
0.043184,0.599644
0.043686,0.559530
0.044188,0.521603
0.044690,0.485808
0.045192,0.452087
0.045694,0.420385
0.046196,0.390643
0.046698,0.362803
0.047201,0.336809
0.047703,0.312606
0.048205,0.290137
0.048707,0.269351
0.049209,0.250196
0.049711,0.232623
0.050213,0.216586
0.050716,0.202040
0.051218,0.188944
0.051720,0.177260
0.052222,0.166954
0.052724,0.157991
0.053226,0.150344
0.053728,0.143986
0.054230,0.138893
0.054733,0.135046
0.055235,0.132426
0.055737,0.131018
0.056239,0.130810
0.056741,0.131790
0.057243,0.133949
0.057745,0.137279
0.058248,0.141775
0.058750,0.147431
0.059252,0.154240
0.059754,0.162200
0.060256,0.171303
0.060758,0.181546
0.061260,0.192920
0.061762,0.205417
0.062265,0.219029
0.062767,0.233743
0.063269,0.249545
0.063771,0.266418
0.064273,0.284343
0.064775,0.303298
0.065277,0.323254
0.065780,0.344184
0.066282,0.366053
0.066784,0.388824
0.067286,0.412456
0.067788,0.436904
0.068290,0.462118
0.068792,0.488044
0.069294,0.514627
0.069797,0.541805
0.070299,0.569513
0.070801,0.597684
0.071303,0.626247
0.071805,0.655127
0.072307,0.684248
0.072809,0.713531
0.073312,0.742894
0.073814,0.772256
0.074316,0.801532
0.074818,0.830636
0.075320,0.859484
0.075822,0.887990
0.076324,0.916069
0.076826,0.943636
0.077329,0.970608
0.077831,0.996903
0.078333,1.022443
0.078835,1.047148
0.079337,1.070945
0.079839,1.093763
0.080341,1.115533
0.080844,1.136190
0.081346,1.155675
0.081848,1.173932
0.082350,1.190909
0.082852,1.206560
0.083354,1.220843
0.083856,1.233722
0.084359,1.245164
0.084861,1.255145
0.085363,1.263643
0.085865,1.270643
0.086367,1.276134
0.086869,1.280113
0.087371,1.282580
0.087873,1.283540
0.088376,1.283005
0.088878,1.280990
0.089380,1.277515
0.089882,1.272606
0.090384,1.266293
0.090886,1.258607
0.091388,1.249588
0.091891,1.239276
0.092393,1.227715
0.092895,1.214952
0.093397,1.201039
0.093899,1.186028
0.094401,1.169974
0.094903,1.152933
