Time,Value
0.000000,4.999999
0.002508,4.999999
0.005016,4.999999
0.007524,4.999999
0.010033,4.999999
0.012541,4.999999
0.015049,4.999999
0.017557,4.999999
0.020065,4.999999
0.022573,4.999999
0.025082,4.999999
0.027590,4.999999
0.030098,-4.999998
0.032606,4.999996
0.035114,4.999994
0.037622,-4.999948
0.040131,4.999999
0.042639,-4.999999
0.045147,4.999999
0.047655,-4.999999
0.050163,4.999999
0.052671,-4.999999
0.055180,5.000000
0.057688,-4.999990
0.060196,4.999999
0.062704,-4.999996
0.065212,4.999999
0.067720,-4.999998
0.070228,5.000000
0.072737,-4.999999
0.075245,5.000000
0.077753,-4.999998
0.080261,4.999999
0.082769,4.999977
0.085277,-1.173866
0.087786,4.999922
0.090294,4.999978
0.092802,-4.999988
0.095310,4.999996
0.097818,4.999996
0.100326,-4.999999
0.102835,4.999999
0.105343,-4.999998
0.107851,4.999999
0.110359,-4.999999
0.112867,4.999998
0.115375,-4.999997
0.117883,4.999999
0.120392,-4.999999
0.122900,4.999998
0.125408,-4.999997
0.127916,4.999997
0.130424,-4.999997
0.132932,4.999998
0.135441,-4.999993
0.137949,4.999996
0.140457,-4.999997
0.142965,4.999993
0.145473,-4.999997
0.147981,4.999995
0.150490,-4.999989
0.152998,4.999995
0.155506,-4.999997
0.158014,4.999990
0.160522,-4.999997
0.163030,4.999995
0.165539,-4.999997
0.168047,4.999997
0.170555,-4.999997
0.173063,-4.999941
0.175571,-4.999992
0.178079,4.999988
0.180587,-4.999929
0.183096,4.999996
0.185604,-4.999994
0.188112,4.999874
0.190620,-4.999984
0.193128,4.999965
0.195636,-4.999963
0.198145,2.623220
0.200653,-4.999991
0.203161,-4.999987
0.205669,-4.999973
0.208177,-4.999981
0.210685,-4.999643
0.213194,-4.999977
0.215702,0.801438
0.218210,-4.999993
0.220718,4.999949
0.223226,-4.999996
0.225734,4.999995
0.228242,-4.999956
0.230751,4.999992
0.233259,-4.999994
0.235767,4.999993
0.238275,-4.999999
0.240783,4.999999
0.243291,-4.999998
0.245800,4.999999
0.248308,-4.999999
0.250816,-4.999992
0.253324,4.999999
0.255832,-4.999998
0.258340,4.999994
0.260849,-4.999999
0.263357,4.999989
0.265865,-4.999993
0.268373,4.999997
0.270881,-4.999997
0.273389,-4.999994
0.275898,4.999999
0.278406,-4.999999
0.280914,4.999999
0.283422,-4.999993
0.285930,4.999991
0.288438,-4.999999
0.290946,5.000000
0.293455,-4.999996
0.295963,5.000000
0.298471,-4.999999
0.300979,5.000000
0.303487,-4.999999
0.305995,5.000000
0.308504,-5.000000
0.311012,4.999998
0.313520,-5.000000
0.316028,4.999999
0.318536,-4.999999
0.321044,4.999999
0.323553,-4.999999
0.326061,4.999999
0.328569,-4.999999
0.331077,4.999986
0.333585,-4.999999
0.336093,-4.999992
0.338601,4.999998
0.341110,-4.999998
0.343618,5.000000
0.346126,-4.999999
0.348634,4.999999
0.351142,-4.999998
0.353650,5.000000
0.356159,-5.000000
0.358667,5.000000
0.361175,-5.000000
0.363683,5.000000
0.366191,-5.000000
0.368699,5.000000
0.371208,-5.000000
0.373716,5.000000
0.376224,-5.000000
0.378732,5.000000
0.381240,-5.000000
0.383748,5.000000
0.386257,-5.000000
0.388765,5.000000
0.391273,-5.000000
0.393781,5.000000
0.396289,-5.000000
0.398797,4.999986
0.401305,-4.999999
0.403814,-4.999992
0.406322,-4.999994
0.408830,4.999999
0.411338,-5.000000
0.413846,5.000000
0.416354,-4.999999
0.418863,5.000000
0.421371,-5.000000
0.423879,4.999999
0.426387,-5.000000
0.428895,4.999999
0.431403,-4.999999
0.433912,4.999997
0.436420,-4.999999
0.438928,5.000000
0.441436,-4.999999
0.443944,4.999998
0.446452,-4.999999
0.448960,5.000000
0.451469,-5.000000
0.453977,5.000000
0.456485,-5.000000
0.458993,5.000000
0.461501,-5.000000
0.464009,5.000000
0.466518,-4.999998
0.469026,4.999997
0.471534,-4.999999
0.474042,-4.999967
0.476550,4.999961
0.479058,-4.999995
0.481567,-4.999994
0.484075,-4.999994
0.486583,-4.999994
0.489091,-4.999995
0.491599,-4.999995
0.494107,-4.999995
0.496616,-4.999995
0.499124,-4.999995
0.501632,-4.999995
