Time,Value
0.000000,-3.000000
0.000502,-2.999999
0.001004,-2.999997
0.001506,-2.999994
0.002009,-2.999990
0.002511,-2.999984
0.003013,-2.999977
0.003515,-2.999969
0.004017,-2.999960
0.004519,-2.999949
0.005021,-2.999937
0.005523,-2.999924
0.006026,-2.999909
0.006528,-2.999893
0.007030,-2.999876
0.007532,-2.999858
0.008034,-2.999839
0.008536,-2.999818
0.009038,-2.999796
0.009541,-2.999772
0.010043,-2.999748
0.010545,-2.999722
0.011047,-2.999695
0.011549,-2.999667
0.012051,-2.999637
0.012553,-2.999607
0.013055,-2.999575
0.013558,-2.999542
0.014060,-2.999508
0.014562,-2.999472
0.015064,-2.999436
0.015566,-2.999399
0.016068,-2.999361
0.016570,-2.999322
0.017073,-2.999282
0.017575,-2.999241
0.018077,-2.999200
0.018579,-2.999159
0.019081,-2.999117
0.019583,-2.999075
0.020085,-2.999032
0.020587,-2.998990
0.021090,-2.998948
0.021592,-2.998906
0.022094,-2.998864
0.022596,-2.998823
0.023098,-2.998782
0.023600,-2.998742
0.024102,-2.998703
0.024605,-2.998665
0.025107,-2.998628
0.025609,-2.998593
0.026111,-2.998558
0.026613,-2.998524
0.027115,-2.998492
0.027617,-2.998461
0.028120,-2.998431
0.028622,-2.998403
0.029124,-2.998375
0.029626,-2.998349
0.030128,-2.998324
0.030630,-2.998300
0.031132,-2.998277
0.031634,-2.998254
0.032137,-2.998233
0.032639,-2.998212
0.033141,-2.998192
0.033643,-2.998172
0.034145,-2.998152
0.034647,-2.998133
0.035149,-2.998114
0.035652,-2.998096
0.036154,-2.998077
0.036656,-2.998059
0.037158,-2.998041
0.037660,-2.998023
0.038162,-2.998005
0.038664,-2.997988
0.039166,-2.997972
0.039669,-2.997957
0.040171,-2.997943
0.040673,-2.997931
0.041175,-2.997921
0.041677,-2.997913
0.042179,-2.997909
0.042681,-2.997908
0.043184,-2.997913
0.043686,-2.997922
0.044188,-2.997938
0.044690,-2.997962
0.045192,-2.997994
0.045694,-2.998035
0.046196,-2.998087
0.046698,-2.998152
0.047201,-2.998230
0.047703,-2.998323
0.048205,-2.998433
0.048707,-2.998562
0.049209,-2.998710
0.049711,-2.998881
0.050213,-2.999075
0.050716,-2.999294
0.051218,-2.999541
0.051720,-2.999818
0.052222,-3.000126
0.052724,-3.000468
0.053226,-3.000844
0.053728,-3.001258
0.054230,-3.001712
0.054733,-3.002206
0.055235,-3.002743
0.055737,-3.003324
0.056239,-3.003951
0.056741,-3.004626
0.057243,-3.005350
0.057745,-3.006124
0.058248,-3.006949
0.058750,-3.007826
0.059252,-3.008755
0.059754,-3.009738
0.060256,-3.010774
0.060758,-3.011863
0.061260,-3.013005
0.061762,-3.014200
0.062265,-3.015447
