Time,Value
0.000000,0.000000
0.000502,0.002511
0.001004,0.005021
0.001506,0.007532
0.002009,0.010043
0.002511,0.012553
0.003013,0.015064
0.003515,0.017575
0.004017,0.020085
0.004519,0.022596
0.005021,0.025107
0.005523,0.027617
0.006026,0.030128
0.006528,0.032639
0.007030,0.035149
0.007532,0.037660
0.008034,0.040170
0.008536,0.042680
0.009038,0.045190
0.009541,0.047699
0.010043,0.050207
0.010545,0.052714
0.011047,0.055220
0.011549,0.057723
0.012051,0.060224
0.012553,0.062721
0.013055,0.065214
0.013558,0.067702
0.014060,0.070183
0.014562,0.072656
0.015064,0.075120
0.015566,0.077573
0.016068,0.080014
0.016570,0.082442
0.017073,0.084854
0.017575,0.087248
0.018077,0.089624
0.018579,0.091980
0.019081,0.094313
0.019583,0.096622
0.020085,0.098906
0.020587,0.101163
0.021090,0.103392
0.021592,0.105592
0.022094,0.107763
0.022596,0.109902
0.023098,0.112011
0.023600,0.114088
0.024102,0.116134
0.024605,0.118148
0.025107,0.120131
0.025609,0.122084
0.026111,0.124007
0.026613,0.125902
0.027115,0.127770
0.027617,0.129612
0.028120,0.131430
0.028622,0.133225
0.029124,0.135000
0.029626,0.136756
0.030128,0.138496
0.030630,0.140220
0.031132,0.141932
0.031634,0.143631
0.032137,0.145320
0.032639,0.146999
0.033141,0.148668
0.033643,0.150329
0.034145,0.151980
0.034647,0.153619
0.035149,0.155245
0.035652,0.156854
0.036154,0.158443
0.036656,0.160007
0.037158,0.161539
0.037660,0.163033
0.038162,0.164479
0.038664,0.165869
0.039166,0.167191
0.039669,0.168433
0.040171,0.169583
0.040673,0.170626
0.041175,0.171546
0.041677,0.172329
0.042179,0.172956
0.042681,0.173410
0.043184,0.173675
0.043686,0.173732
0.044188,0.173564
0.044690,0.173155
0.045192,0.172487
0.045694,0.171548
0.046196,0.170323
0.046698,0.168802
0.047201,0.166977
0.047703,0.164841
0.048205,0.162393
0.048707,0.159634
0.049209,0.156570
0.049711,0.153212
0.050213,0.149573
0.050716,0.145675
0.051218,0.141545
0.051720,0.137213
0.052222,0.132719
0.052724,0.128106
0.053226,0.123427
0.053728,0.118740
0.054230,0.114108
0.054733,0.109603
0.055235,0.105304
0.055737,0.101293
0.056239,0.097664
0.056741,0.094511
0.057243,0.091937
0.057745,0.090051
0.058248,0.088965
0.058750,0.088796
0.059252,0.089666
0.059754,0.091698
0.060256,0.095020
0.060758,0.099761
0.061260,0.106052
0.061762,0.114024
0.062265,0.123808
0.062767,0.135536
0.063269,0.149337
0.063771,0.165338
0.064273,0.183664
0.064775,0.204435
0.065277,0.227770
0.065780,0.253781
0.066282,0.282573
0.066784,0.314250
0.067286,0.348906
0.067788,0.386628
0.068290,0.427498
0.068792,0.471588
0.069294,0.518965
0.069797,0.569684
0.070299,0.623795
0.070801,0.681337
0.071303,0.742341
0.071805,0.806829
0.072307,0.874815
0.072809,0.946301
0.073312,1.021285
0.073814,1.099751
0.074316,1.181679
0.074818,1.267037
0.075320,1.355785
0.075822,1.447878
0.076324,1.543260
0.076826,1.641867
0.077329,1.743630
0.077831,1.848472
0.078333,1.956310
0.078835,2.067051
0.079337,2.180602
0.079839,2.296858
0.080341,2.415714
0.080844,2.537057
0.081346,2.660770
0.081848,2.786731
0.082350,2.914817
0.082852,3.044897
0.083354,3.176841
0.083856,3.310513
0.084359,3.445778
0.084861,3.582495
0.085363,3.720524
0.085865,3.859723
0.086367,3.999949
0.086869,4.141057
0.087371,4.282905
0.087873,4.425346
0.088376,4.568239
0.088878,4.711439
0.089380,4.854804
0.089882,4.998193
0.090384,5.141467
0.090886,5.284488
0.091388,5.427122
0.091891,5.569235
0.092393,5.710697
0.092895,5.851382
0.093397,5.991166
0.093899,6.129928
0.094401,6.267553
0.094903,6.403928
0.095405,6.538945
0.095908,6.672501
0.096410,6.804497
0.096912,6.934838
0.097414,7.063436
0.097916,7.190207
0.098418,7.315071
0.098920,7.437957
0.099423,7.558795
0.099925,7.677524
0.100427,7.794086
0.100929,7.908432
0.101431,8.020514
0.101933,8.130294
0.102435,8.237738
0.102937,8.342816
0.103440,8.445506
0.103942,8.545789
0.104444,8.643655
0.104946,8.739095
0.105448,8.832108
0.105950,8.922697
0.106452,9.010870
0.106955,9.096638
0.107457,9.180020
0.107959,9.261037
0.108461,9.339713
0.108963,9.416079
0.109465,9.490166
0.109967,9.562011
0.110469,9.631653
0.110972,9.699135
0.111474,9.764501
0.111976,9.827799
0.112478,9.889079
0.112980,9.948390
0.113482,10.005788
0.113984,10.061326
0.114487,10.115060
0.114989,10.167047
0.115491,10.217345
0.115993,10.266010
0.116495,10.313102
0.116997,10.358679
0.117499,10.402800
0.118001,10.445521
0.118504,10.486900
0.119006,10.526994
0.119508,10.565860
0.120010,10.603551
0.120512,10.640121
0.121014,10.675624
0.121516,10.710110
0.122019,10.743628
0.122521,10.776227
0.123023,10.807953
0.123525,10.838850
0.124027,10.868961
0.124529,10.898326
0.125031,10.926986
0.125533,10.954976
0.126036,10.982330
0.126538,11.009083
0.127040,11.035265
0.127542,11.060905
0.128044,11.086028
0.128546,11.110661
0.129048,11.134826
0.129551,11.158543
0.130053,11.181832
0.130555,11.204710
0.131057,11.227191
0.131559,11.249290
0.132061,11.271019
0.132563,11.292387
0.133066,11.313403
0.133568,11.334074
0.134070,11.354407
0.134572,11.374405
0.135074,11.394072
0.135576,11.413410
0.136078,11.432420
0.136580,11.451102
0.137083,11.469455
0.137585,11.487478
0.138087,11.505167
0.138589,11.522521
0.139091,11.539535
0.139593,11.556206
0.140095,11.572528
0.140598,11.588498
0.141100,11.604110
0.141602,11.619358
0.142104,11.634239
0.142606,11.648747
0.143108,11.662876
0.143610,11.676621
0.144112,11.689978
0.144615,11.702943
0.145117,11.715509
0.145619,11.727675
0.146121,11.739436
0.146623,11.750789
0.147125,11.761731
0.147627,11.772260
0.148130,11.782375
0.148632,11.792075
0.149134,11.801359
0.149636,11.810227
0.150138,11.818679
0.150640,11.826719
0.151142,11.834347
0.151644,11.841565
0.152147,11.848379
0.152649,11.854790
0.153151,11.860805
0.153653,11.866428
0.154155,11.871665
0.154657,11.876522
0.155159,11.881007
0.155662,11.885126
0.156164,11.888889
0.156666,11.892304
0.157168,11.895379
0.157670,11.898124
0.158172,11.900550
0.158674,11.902667
0.159176,11.904485
0.159679,11.906015
0.160181,11.907269
0.160683,11.908259
0.161185,11.908996
0.161687,11.909492
0.162189,11.909760
0.162691,11.909812
0.163194,11.909660
0.163696,11.909317
0.164198,11.908795
0.164700,11.908107
0.165202,11.907266
0.165704,11.906282
0.166206,11.905170
0.166708,11.903941
0.167211,11.902607
0.167713,11.901179
0.168215,11.899670
0.168717,11.898090
0.169219,11.896452
0.169721,11.894764
0.170223,11.893039
0.170726,11.891286
0.171228,11.889515
0.171730,11.887735
0.172232,11.885957
0.172734,11.884187
0.173236,11.882436
0.173738,11.880710
0.174240,11.879018
0.174743,11.877367
0.175245,11.875763
0.175747,11.874213
0.176249,11.872723
0.176751,11.871299
0.177253,11.869945
0.177755,11.868667
0.178258,11.867469
0.178760,11.866355
0.179262,11.865329
0.179764,11.864394
0.180266,11.863554
0.180768,11.862810
0.181270,11.862165
0.181772,11.861621
0.182275,11.861179
0.182777,11.860842
0.183279,11.860610
0.183781,11.860483
0.184283,11.860464
0.184785,11.860550
0.185287,11.860744
0.185790,11.861045
0.186292,11.861452
0.186794,11.861965
0.187296,11.862583
0.187798,11.863305
0.188300,11.864131
0.188802,11.865060
0.189305,11.866089
0.189807,11.867218
0.190309,11.868445
0.190811,11.869769
0.191313,11.871188
0.191815,11.872700
0.192317,11.874304
0.192819,11.875997
0.193322,11.877778
0.193824,11.879645
0.194326,11.881596
0.194828,11.883628
0.195330,11.885740
0.195832,11.887929
0.196334,11.890193
0.196837,11.892529
0.197339,11.894936
0.197841,11.897410
0.198343,11.899950
0.198845,11.902551
0.199347,11.905213
0.199849,11.907931
0.200351,11.910702
0.200854,11.913524
0.201356,11.916393
0.201858,11.919306
0.202360,11.922259
0.202862,11.925248
0.203364,11.928269
0.203866,11.931318
0.204369,11.934390
0.204871,11.937481
0.205373,11.940585
0.205875,11.943698
0.206377,11.946813
0.206879,11.949924
0.207381,11.953027
0.207883,11.956113
0.208386,11.959177
0.208888,11.962211
0.209390,11.965207
0.209892,11.968158
0.210394,11.971056
0.210896,11.973892
0.211398,11.976656
0.211901,11.979341
0.212403,11.981936
0.212905,11.984431
0.213407,11.986816
0.213909,11.989082
0.214411,11.991216
0.214913,11.993208
0.215415,11.995046
0.215918,11.996720
0.216420,11.998217
0.216922,11.999526
0.217424,12.000635
0.217926,12.001532
0.218428,12.002204
0.218930,12.002640
0.219433,12.002829
0.219935,12.002757
0.220437,12.002414
0.220939,12.001788
0.221441,12.000868
