Time,Value
0.000000,0.000000
0.002508,0.012541
0.005016,0.025082
0.007524,0.037622
0.010033,0.050163
0.012541,0.062704
0.015049,0.075245
0.017557,0.087786
0.020065,0.100326
0.022573,0.112867
0.025082,0.125408
0.027590,0.137949
0.030098,0.150490
0.032606,0.129811
0.035114,0.173209
0.037622,0.160770
0.040131,0.163072
0.042639,0.168023
0.045147,0.150734
0.047655,0.232745
0.050163,0.197767
0.052671,0.267914
0.055180,0.180487
0.057688,0.380395
0.060196,0.286539
0.062704,0.459184
0.065212,0.344735
0.067720,0.667866
0.070228,-5.382660
0.072737,-0.037120
0.075245,-0.312634
0.077753,-0.062181
0.080261,-0.229203
0.082769,4.669510
0.085277,4.484832
0.087786,4.738144
0.090294,3.808736
0.092802,4.238737
0.095310,4.011409
0.097818,11.239855
0.100326,10.684743
0.102835,11.742262
0.105343,9.895545
0.107851,10.470228
0.110359,10.159646
0.112867,12.303162
0.115375,9.972559
0.117883,10.862984
0.120392,10.076402
0.122900,11.197140
0.125408,10.937620
0.127916,11.334065
0.130424,11.090843
0.132932,11.418255
0.135441,10.993448
0.137949,11.348671
0.140457,11.157696
0.142965,12.529081
0.145473,12.274442
0.147981,12.442425
0.150490,12.316774
0.152998,12.470869
0.155506,12.082800
0.158014,12.228885
0.160522,11.822432
0.163030,12.001774
0.165539,11.675283
0.168047,11.920341
0.170555,11.713336
0.173063,12.239053
0.175571,11.622706
0.178079,11.696356
0.180587,11.544039
0.183096,11.636289
0.185604,11.580592
0.188112,11.974300
0.190620,11.908271
0.193128,11.954018
0.195636,11.906510
0.198145,11.960125
0.200653,11.913442
0.203161,11.947990
0.205669,11.896767
0.208177,11.905608
0.210685,11.888854
0.213194,11.908005
0.215702,11.882314
0.218210,11.968356
0.220718,11.937666
0.223226,12.058823
0.225734,12.007629
0.228242,12.056978
0.230751,11.907531
0.233259,12.949301
0.235767,12.837408
0.238275,13.002219
0.240783,12.823364
0.243291,12.933484
0.245800,12.737764
0.248308,13.022511
0.250816,8.075407
0.253324,8.770567
0.255832,8.590044
0.258340,10.048317
0.260849,9.824072
0.263357,10.689575
0.265865,10.543785
0.268373,10.742053
0.270881,10.655656
0.273389,12.766972
0.275898,12.555244
0.278406,13.139690
0.280914,12.873832
0.283422,18.489195
0.285930,18.319973
0.288438,18.911691
0.290946,18.783292
0.293455,18.961707
0.295963,18.659496
0.298471,19.644842
0.300979,19.334386
0.303487,19.804751
0.305995,19.534263
0.308504,19.877680
0.311012,18.068905
0.313520,18.429928
0.316028,18.198350
0.318536,18.890372
0.321044,18.679602
0.323553,19.223755
0.326061,18.565785
0.328569,19.693153
0.331077,13.264792
0.333585,13.727211
0.336093,7.601088
0.338601,7.861051
0.341110,4.693321
0.343618,5.047001
0.346126,3.613819
0.348634,4.360357
0.351142,-0.905581
0.353650,-0.550110
0.356159,-0.757467
0.358667,0.100929
0.361175,-0.107610
0.363683,0.451230
0.366191,-0.031638
0.368699,0.800952
0.371208,0.161320
0.373716,0.576118
0.376224,0.069423
0.378732,0.637358
0.381240,0.396094
0.383748,0.802497
0.386257,0.256129
0.388765,0.458640
0.391273,-0.050460
0.393781,0.129080
0.396289,-0.187929
0.398797,3.279591
0.401305,2.814608
0.403814,5.936898
0.406322,0.090788
0.408830,0.793785
0.411338,0.638300
0.413846,0.903011
0.416354,0.447802
0.418863,0.581502
0.421371,0.209660
0.423879,0.769404
0.426387,0.517885
0.428895,0.592589
0.431403,0.260586
0.433912,1.218681
0.436420,0.515297
0.438928,0.595053
0.441436,0.131323
0.443944,0.697168
0.446452,0.273912
0.448960,0.345219
0.451469,0.209935
0.453977,0.260186
0.456485,0.201015
0.458993,0.229350
0.461501,0.198904
0.464009,0.217116
0.466518,0.215522
0.469026,0.224096
0.471534,0.225712
0.474042,0.111547
0.476550,0.125408
0.479058,0.112867
0.481567,0.100326
0.484075,0.087785
0.486583,0.075245
0.489091,0.062704
0.491599,0.050163
0.494107,0.037622
0.496616,0.025082
0.499124,0.012541
0.501632,0.000000
