Time,Value
0.000000,-3.000000
0.002508,-3.000000
0.005016,-2.999968
0.007524,-2.999905
0.010033,-2.999810
0.012541,-2.999684
0.015049,-2.999526
0.017557,-2.999336
0.020065,-2.999115
0.022573,-2.998862
0.025082,-2.998577
0.027590,-2.998261
0.030098,-2.997914
0.032606,-2.997526
0.035114,-2.998032
0.037622,-2.997170
0.040131,-2.999371
0.042639,-2.998660
0.045147,-2.999062
0.047655,-2.996942
0.050163,-2.996988
0.052671,-2.996568
0.055180,-2.996010
0.057688,-2.995786
0.060196,-2.995676
0.062704,-2.994516
0.065212,-2.994739
0.067720,-2.991875
0.070228,-2.983129
0.072737,-3.074697
0.075245,-3.070085
0.077753,-3.074814
0.080261,-3.071713
0.082769,-3.165182
0.085277,-3.158885
0.087786,-3.156661
0.090294,-3.159164
0.092802,-3.155630
0.095310,-3.152383
0.097818,-3.014374
0.100326,-3.013865
0.102835,-2.880781
0.105343,-2.861168
0.107851,-2.829467
0.110359,-2.820246
0.112867,-2.618464
0.115375,-2.690615
0.117883,-2.619844
0.120392,-2.577398
0.122900,-2.481462
0.125408,-2.476926
0.127916,-2.442060
0.130424,-2.436431
0.132932,-2.412043
0.135441,-2.378717
0.137949,-2.386796
0.140457,-2.362300
0.142965,-2.350291
0.145473,-2.331443
0.147981,-2.310171
0.150490,-2.308234
0.152998,-2.300671
0.155506,-2.258933
0.158014,-2.235390
0.160522,-2.267345
0.163030,-2.206491
0.165539,-2.256295
0.168047,-2.138610
0.170555,-2.166962
0.173063,-1.812319
0.175571,-2.103640
0.178079,-2.056113
0.180587,-2.139687
0.183096,-2.087255
0.185604,-2.101336
0.188112,-1.894578
0.190620,-1.917794
0.193128,-1.870816
0.195636,-1.886119
0.198145,-1.848926
0.200653,-1.799979
0.203161,-1.741941
0.205669,-1.729466
0.208177,-1.703629
0.210685,-1.683847
0.213194,-1.699023
0.215702,-1.664437
0.218210,-1.679429
0.220718,-1.656987
0.223226,-1.727903
0.225734,-1.680294
0.228242,-1.697451
0.230751,-1.640729
0.233259,-1.592360
0.235767,-1.590111
0.238275,-1.582940
0.240783,-1.525428
0.243291,-1.520328
0.245800,-1.489809
0.248308,-1.445186
0.250816,-1.104376
0.253324,-1.146789
0.255832,-1.123635
0.258340,-1.254764
0.260849,-1.226604
0.263357,-1.143458
0.265865,-1.149014
0.268373,-1.127301
0.270881,-1.113144
0.273389,-0.897226
0.275898,-0.912816
0.278406,-0.731284
0.280914,-0.784781
0.283422,1.380641
0.285930,1.318105
0.288438,1.542384
0.290946,1.512711
0.293455,1.582895
0.295963,1.472201
0.298471,2.051032
0.300979,1.898022
0.303487,2.229950
0.305995,2.092351
0.308504,2.349481
0.311012,1.474134
0.313520,1.661345
0.316028,1.592526
0.318536,1.832877
0.321044,1.783799
0.323553,1.959340
0.326061,1.841676
0.328569,2.156790
0.331077,0.812801
0.333585,0.912811
0.336093,0.298836
0.338601,0.326181
0.341110,0.072727
0.343618,0.103135
0.346126,0.052161
0.348634,0.085985
0.351142,-0.044766
0.353650,-0.036129
0.356159,-0.042634
0.358667,-0.018217
0.361175,-0.024185
0.363683,-0.008111
0.366191,-0.021052
0.368699,0.001890
0.371208,-0.013960
0.373716,-0.003037
0.376224,-0.014474
0.378732,-0.000948
0.381240,-0.005941
0.383748,0.005450
0.386257,-0.006822
0.388765,-0.001815
0.391273,-0.011439
0.393781,-0.007994
0.396289,-0.013873
0.398797,0.046957
0.401305,0.040156
0.403814,0.148736
0.406322,-0.019094
0.408830,0.001175
0.411338,-0.002856
0.413846,0.008442
0.416354,-0.007161
0.418863,-0.002010
0.421371,-0.012677
0.423879,0.005034
0.426387,-0.002087
0.428895,0.000642
0.431403,-0.010679
0.433912,0.025787
0.436420,0.001238
0.438928,0.004252
0.441436,-0.005020
0.443944,0.007123
0.446452,-0.000677
0.448960,0.000817
0.451469,-0.000426
0.453977,0.000331
0.456485,0.000272
0.458993,0.000655
0.461501,0.001167
0.464009,0.001199
0.466518,0.001390
0.469026,-0.000599
0.471534,0.000266
0.474042,-0.001739
0.476550,-0.001423
0.479058,-0.001138
0.481567,-0.000885
0.484075,-0.000664
0.486583,-0.000474
0.489091,-0.000316
0.491599,-0.000190
0.494107,-0.000095
0.496616,-0.000032
0.499124,-0.000000
0.501632,0.000000
