Time,Value
0.000000,5.000000
0.001668,5.004771
0.003336,5.009453
0.005005,5.014047
0.006673,5.018552
0.008341,5.022969
0.010009,5.027297
0.011677,5.031538
0.013346,5.035691
0.015014,5.039756
0.016682,5.043734
0.018350,5.047624
0.020018,5.051428
0.021687,5.055144
0.023355,5.058774
0.025023,5.062317
0.026691,5.065774
0.028359,5.069145
0.030028,5.072430
0.031696,5.075628
0.033364,5.078742
0.035032,5.081769
0.036700,5.084712
0.038369,5.087569
0.040037,5.090341
0.041705,5.093029
0.043373,5.095632
0.045041,5.098151
0.046709,5.100585
0.048378,5.102935
0.050046,5.105202
0.051714,5.107384
0.053382,5.109484
0.055050,5.111500
0.056719,5.113432
0.058387,5.115282
0.060055,5.117049
0.061723,5.118733
0.063391,5.120335
0.065060,5.121855
0.066728,5.123292
0.068396,5.124648
0.070064,5.125922
0.071732,5.127114
0.073401,5.128225
0.075069,5.129255
0.076737,5.130203
0.078405,5.131071
0.080073,5.131858
0.081742,5.132565
0.083410,5.133192
0.085078,5.133738
0.086746,5.134204
0.088414,5.134591
0.090083,5.134898
0.091751,5.135125
0.093419,5.135274
0.095087,5.135343
0.096755,5.135333
0.098424,5.135245
0.100092,5.135078
0.101760,5.134833
0.103428,5.134509
0.105096,5.134108
0.106765,5.133629
0.108433,5.133072
0.110101,5.132438
0.111769,5.131726
0.113437,5.130938
0.115106,5.130072
0.116774,5.129130
0.118442,5.128111
0.120110,5.127015
0.121778,5.125844
0.123446,5.124597
0.125115,5.123273
0.126783,5.121874
0.128451,5.120400
0.130119,5.118850
0.131787,5.117225
0.133456,5.115525
0.135124,5.113750
0.136792,5.111901
0.138460,5.109977
0.140128,5.107979
0.141797,5.105907
0.143465,5.103761
0.145133,5.101541
0.146801,5.099248
0.148469,5.096882
0.150138,5.094442
0.151806,5.091929
0.153474,5.089344
0.155142,5.086685
0.156810,5.083955
0.158479,5.081152
0.160147,5.078277
0.161815,5.075330
0.163483,5.072311
0.165151,5.069221
0.166820,5.066059
0.168488,5.062826
0.170156,5.059522
0.171824,5.056147
0.173492,5.052702
0.175161,5.049186
0.176829,5.045600
0.178497,5.041943
0.180165,5.038217
0.181833,5.034420
0.183502,5.030555
0.185170,5.026619
0.186838,5.022615
0.188506,5.018541
0.190174,5.014399
0.191843,5.010187
0.193511,5.005908
0.195179,5.001559
0.196847,4.997143
0.198515,4.992659
0.200184,4.988107
0.201852,4.983487
0.203520,4.978800
0.205188,4.974045
0.206856,4.969223
0.208524,4.964335
0.210193,4.959379
0.211861,4.954357
0.213529,4.949269
0.215197,4.944114
0.216865,4.938894
0.218534,4.933607
0.220202,4.928255
0.221870,4.922837
0.223538,4.917354
0.225206,4.911806
0.226875,4.906193
0.228543,4.900515
0.230211,4.894772
0.231879,4.888965
0.233547,4.883094
0.235216,4.877158
0.236884,4.871159
0.238552,4.865096
0.240220,4.858969
0.241888,4.852779
0.243557,4.846526
0.245225,4.840210
0.246893,4.833831
0.248561,4.827389
0.250229,4.820885
0.251898,4.814319
0.253566,4.807690
0.255234,4.801000
0.256902,4.794247
0.258570,4.787434
0.260239,4.780558
0.261907,4.773622
0.263575,4.766624
0.265243,4.759566
0.266911,4.752447
0.268580,4.745267
0.270248,4.738027
0.271916,4.730727
0.273584,4.723366
0.275252,4.715946
0.276921,4.708467
0.278589,4.700928
0.280257,4.693329
0.281925,4.685672
0.283593,4.677956
0.285261,4.670181
0.286930,4.662347
0.288598,4.654455
0.290266,4.646505
0.291934,4.638496
0.293602,4.630430
0.295271,4.622307
0.296939,4.614125
0.298607,4.605887
0.300275,4.597591
0.301943,4.589238
0.303612,4.580829
0.305280,4.572363
0.306948,4.563840
0.308616,4.555262
0.310284,4.546627
0.311953,4.537936
0.313621,4.529190
0.315289,4.520388
0.316957,4.511531
0.318625,4.502618
0.320294,4.493651
0.321962,4.484629
0.323630,4.475552
0.325298,4.466421
0.326966,4.457235
0.328635,4.447995
0.330303,4.438702
0.331971,4.429354
0.333639,4.419953
0.335307,4.410499
0.336976,4.400992
0.338644,4.391431
0.340312,4.381818
0.341980,4.372151
0.343648,4.362433
0.345317,4.352662
0.346985,4.342839
0.348653,4.332964
0.350321,4.323037
0.351989,4.313059
0.353658,4.303029
0.355326,4.292948
0.356994,4.282815
0.358662,4.272632
0.360330,4.262399
0.361998,4.252114
0.363667,4.241779
0.365335,4.231395
0.367003,4.220960
0.368671,4.210475
0.370339,4.199941
0.372008,4.189357
0.373676,4.178724
0.375344,4.168042
0.377012,4.157310
0.378680,4.146531
0.380349,4.135702
