Time,Value
0.000000,-3.000000
0.001668,-2.999993
0.003336,-2.999972
0.005005,-2.999937
0.006673,-2.999889
0.008341,-2.999826
0.010009,-2.999749
0.011677,-2.999658
0.013346,-2.999554
0.015014,-2.999435
0.016682,-2.999302
0.018350,-2.999155
0.020018,-2.998995
0.021687,-2.998820
0.023355,-2.998631
0.025023,-2.998428
0.026691,-2.998210
0.028359,-2.997979
0.030028,-2.997734
0.031696,-2.997474
0.033364,-2.997201
0.035032,-2.996913
0.036700,-2.996611
0.038369,-2.996295
0.040037,-2.995965
0.041705,-2.995621
0.043373,-2.995262
0.045041,-2.994890
0.046709,-2.994503
0.048378,-2.994102
0.050046,-2.993687
0.051714,-2.993257
0.053382,-2.992813
0.055050,-2.992355
0.056719,-2.991883
0.058387,-2.991397
0.060055,-2.990896
0.061723,-2.990382
0.063391,-2.989853
0.065060,-2.989309
0.066728,-2.988752
0.068396,-2.988180
0.070064,-2.987594
0.071732,-2.986993
0.073401,-2.986379
0.075069,-2.985750
0.076737,-2.985107
0.078405,-2.984449
0.080073,-2.983777
0.081742,-2.983091
0.083410,-2.982391
0.085078,-2.981677
0.086746,-2.980948
0.088414,-2.980205
0.090083,-2.979447
0.091751,-2.978675
0.093419,-2.977889
0.095087,-2.977089
0.096755,-2.976274
0.098424,-2.975446
0.100092,-2.974602
0.101760,-2.973745
0.103428,-2.972873
0.105096,-2.971987
0.106765,-2.971087
0.108433,-2.970172
0.110101,-2.969243
0.111769,-2.968300
0.113437,-2.967343
0.115106,-2.966371
0.116774,-2.965385
0.118442,-2.964384
0.120110,-2.963370
0.121778,-2.962341
0.123447,-2.961298
0.125115,-2.960241
0.126783,-2.959169
0.128451,-2.958083
0.130119,-2.956983
0.131787,-2.955869
0.133456,-2.954740
0.135124,-2.953597
0.136792,-2.952440
0.138460,-2.951269
0.140128,-2.950083
0.141797,-2.948883
0.143465,-2.947669
0.145133,-2.946441
0.146801,-2.945199
0.148469,-2.943942
0.150138,-2.942672
0.151806,-2.941387
0.153474,-2.940088
0.155142,-2.938774
0.156810,-2.937447
0.158479,-2.936106
0.160147,-2.934750
0.161815,-2.933380
0.163483,-2.931996
0.165151,-2.930598
0.166820,-2.929186
0.168488,-2.927760
0.170156,-2.926319
0.171824,-2.924865
0.173492,-2.923396
0.175161,-2.921914
0.176829,-2.920417
0.178497,-2.918907
0.180165,-2.917382
0.181833,-2.915843
0.183502,-2.914290
0.185170,-2.912724
0.186838,-2.911143
0.188506,-2.909548
0.190174,-2.907940
0.191843,-2.906317
0.193511,-2.904681
0.195179,-2.903030
0.196847,-2.901366
0.198515,-2.899687
0.200184,-2.897995
0.201852,-2.896289
0.203520,-2.894569
0.205188,-2.892835
0.206856,-2.891088
0.208525,-2.889326
0.210193,-2.887551
0.211861,-2.885762
0.213529,-2.883959
0.215197,-2.882142
0.216865,-2.880312
0.218534,-2.878468
0.220202,-2.876610
0.221870,-2.874738
0.223538,-2.872853
0.225206,-2.870954
0.226875,-2.869042
0.228543,-2.867115
0.230211,-2.865175
0.231879,-2.863222
0.233547,-2.861255
0.235216,-2.859274
0.236884,-2.857280
0.238552,-2.855272
0.240220,-2.853250
0.241888,-2.851215
0.243557,-2.849167
0.245225,-2.847105
0.246893,-2.845029
0.248561,-2.842941
0.250229,-2.840838
0.251898,-2.838723
0.253566,-2.836594
0.255234,-2.834451
0.256902,-2.832295
0.258570,-2.830126
0.260239,-2.827944
0.261907,-2.825748
0.263575,-2.823539
0.265243,-2.821316
0.266911,-2.819081
0.268580,-2.816832
0.270248,-2.814570
0.271916,-2.812295
0.273584,-2.810006
0.275252,-2.807705
0.276921,-2.805390
0.278589,-2.803062
0.280257,-2.800721
0.281925,-2.798368
0.283593,-2.796001
0.285262,-2.793621
0.286930,-2.791228
0.288598,-2.788822
0.290266,-2.786403
0.291934,-2.783971
0.293603,-2.781526
0.295271,-2.779069
0.296939,-2.776598
0.298607,-2.774115
0.300275,-2.771619
0.301943,-2.769110
0.303612,-2.766588
0.305280,-2.764054
0.306948,-2.761507
0.308616,-2.758947
0.310284,-2.756374
0.311953,-2.753789
0.313621,-2.751191
0.315289,-2.748581
0.316957,-2.745958
0.318625,-2.743322
0.320294,-2.740674
0.321962,-2.738013
0.323630,-2.735340
0.325298,-2.732655
0.326966,-2.729957
0.328635,-2.727246
0.330303,-2.724524
0.331971,-2.721789
0.333639,-2.719041
0.335307,-2.716282
0.336976,-2.713510
0.338644,-2.710725
0.340312,-2.707929
0.341980,-2.705120
0.343648,-2.702299
0.345317,-2.699466
0.346985,-2.696621
0.348653,-2.693764
0.350321,-2.690895
0.351989,-2.688014
0.353658,-2.685120
0.355326,-2.682215
0.356994,-2.679298
0.358662,-2.676369
0.360330,-2.673428
0.361999,-2.670475
0.363667,-2.667510
0.365335,-2.664534
0.367003,-2.661546
0.368671,-2.658546
0.370340,-2.655534
0.372008,-2.652510
0.373676,-2.649475
0.375344,-2.646429
0.377012,-2.643370
0.378681,-2.640300
0.380349,-2.637219
0.382017,-2.634126
0.383685,-2.631022
0.385353,-2.627906
0.387021,-2.624779
0.388690,-2.621640
0.390358,-2.618490
0.392026,-2.615329
0.393694,-2.612156
0.395362,-2.608972
0.397031,-2.605777
0.398699,-2.602571
0.400367,-2.599353
0.402035,-2.596125
0.403703,-2.592885
0.405372,-2.589634
0.407040,-2.586372
0.408708,-2.583099
0.410376,-2.579815
0.412044,-2.576521
0.413713,-2.573215
