Time,Value
0.000000,-0.000000
0.001668,0.008345
0.003336,0.016698
0.005005,0.025058
0.006673,0.033426
0.008341,0.041802
0.010009,0.050185
0.011677,0.058575
0.013346,0.066972
0.015014,0.075376
0.016682,0.083786
0.018350,0.092204
0.020018,0.100627
0.021687,0.109057
0.023355,0.117493
0.025023,0.125935
0.026691,0.134383
0.028359,0.142836
0.030028,0.151295
0.031696,0.159760
0.033364,0.168229
0.035032,0.176704
0.036700,0.185184
0.038369,0.193669
0.040037,0.202158
0.041705,0.210652
0.043373,0.219150
0.045041,0.227653
0.046709,0.236160
0.048378,0.244670
0.050046,0.253185
0.051714,0.261703
0.053382,0.270225
0.055050,0.278750
0.056719,0.287279
0.058387,0.295811
0.060055,0.304345
0.061723,0.312883
0.063391,0.321423
0.065060,0.329966
0.066728,0.338512
0.068396,0.347060
0.070064,0.355609
0.071732,0.364162
0.073401,0.372715
0.075069,0.381271
0.076737,0.389829
0.078405,0.398387
0.080073,0.406948
0.081742,0.415509
0.083410,0.424072
0.085078,0.432636
0.086746,0.441200
0.088414,0.449765
0.090083,0.458331
0.091751,0.466897
0.093419,0.475464
0.095087,0.484030
0.096755,0.492597
0.098424,0.501164
0.100092,0.509730
0.101760,0.518296
0.103428,0.526862
0.105096,0.535427
0.106765,0.543991
0.108433,0.552555
0.110101,0.561117
0.111769,0.569678
0.113437,0.578238
0.115106,0.586797
0.116774,0.595354
0.118442,0.603910
0.120110,0.612464
0.121778,0.621015
0.123447,0.629565
0.125115,0.638113
0.126783,0.646659
0.128451,0.655202
0.130119,0.663742
0.131787,0.672280
0.133456,0.680815
0.135124,0.689347
0.136792,0.697877
0.138460,0.706403
0.140128,0.714925
0.141797,0.723445
0.143465,0.731961
0.145133,0.740473
0.146801,0.748981
0.148469,0.757486
0.150138,0.765986
0.151806,0.774483
0.153474,0.782975
0.155142,0.791463
0.156810,0.799946
0.158479,0.808425
0.160147,0.816899
0.161815,0.825368
0.163483,0.833832
0.165151,0.842291
0.166820,0.850745
0.168488,0.859193
0.170156,0.867636
0.171824,0.876074
0.173492,0.884506
0.175161,0.892932
0.176829,0.901352
0.178497,0.909766
0.180165,0.918174
0.181833,0.926575
0.183502,0.934970
0.185170,0.943359
0.186838,0.951741
0.188506,0.960116
0.190174,0.968485
0.191843,0.976846
0.193511,0.985201
0.195179,0.993548
0.196847,1.001888
0.198515,1.010220
0.200184,1.018545
0.201852,1.026863
0.203520,1.035172
0.205188,1.043474
0.206856,1.051767
0.208525,1.060053
0.210193,1.068330
0.211861,1.076599
0.213529,1.084860
0.215197,1.093112
0.216865,1.101355
0.218534,1.109590
0.220202,1.117816
0.221870,1.126033
0.223538,1.134240
0.225206,1.142439
0.226875,1.150628
0.228543,1.158808
0.230211,1.166978
0.231879,1.175139
0.233547,1.183290
0.235216,1.191431
0.236884,1.199562
0.238552,1.207683
0.240220,1.215793
0.241888,1.223894
0.243557,1.231984
0.245225,1.240064
0.246893,1.248133
0.248561,1.256191
0.250229,1.264239
0.251898,1.272276
0.253566,1.280302
0.255234,1.288316
0.256902,1.296320
0.258570,1.304312
0.260239,1.312292
0.261907,1.320261
0.263575,1.328219
0.265243,1.336165
0.266911,1.344099
0.268580,1.352021
0.270248,1.359931
0.271916,1.367829
0.273584,1.375714
0.275252,1.383588
0.276921,1.391449
0.278589,1.399297
0.280257,1.407133
0.281925,1.414956
0.283593,1.422766
0.285262,1.430563
0.286930,1.438347
0.288598,1.446119
0.290266,1.453876
0.291934,1.461621
0.293603,1.469352
0.295271,1.477070
0.296939,1.484774
0.298607,1.492465
0.300275,1.500141
0.301943,1.507804
0.303612,1.515453
0.305280,1.523087
0.306948,1.530708
0.308616,1.538314
0.310284,1.545906
0.311953,1.553483
0.313621,1.561046
0.315289,1.568595
0.316957,1.576128
0.318625,1.583647
0.320294,1.591151
0.321962,1.598639
0.323630,1.606113
0.325298,1.613572
0.326966,1.621015
0.328635,1.628443
0.330303,1.635855
0.331971,1.643252
0.333639,1.650633
0.335307,1.657999
0.336976,1.665348
0.338644,1.672682
0.340312,1.680000
0.341980,1.687301
0.343648,1.694587
0.345317,1.701856
0.346985,1.709109
0.348653,1.716346
0.350321,1.723566
0.351989,1.730769
0.353658,1.737956
0.355326,1.745126
0.356994,1.752279
0.358662,1.759415
0.360330,1.766534
0.361999,1.773636
0.363667,1.780721
0.365335,1.787788
0.367003,1.794838
0.368671,1.801871
0.370340,1.808886
0.372008,1.815883
0.373676,1.822863
0.375344,1.829825
0.377012,1.836770
0.378681,1.843696
0.380349,1.850604
0.382017,1.857494
0.383685,1.864366
0.385353,1.871220
0.387021,1.878055
0.388690,1.884872
0.390358,1.891670
0.392026,1.898450
0.393694,1.905211
0.395362,1.911954
0.397031,1.918677
0.398699,1.925382
0.400367,1.932068
0.402035,1.938734
0.403703,1.945382
0.405372,1.952010
0.407040,1.958619
0.408708,1.965209
0.410376,1.971779
0.412044,1.978330
0.413713,1.984861
0.415381,1.991373
0.417049,1.997864
0.418717,2.004336
0.420385,2.010788
0.422054,2.017220
0.423722,2.023633
0.425390,2.030025
0.427058,2.036396
0.428726,2.042748
0.430395,2.049079
0.432063,2.055390
0.433731,2.061680
0.435399,2.067950
0.437067,2.074199
0.438736,2.080428
0.440404,2.086636
0.442072,2.092823
0.443740,2.098989
0.445408,2.105134
0.447077,2.111258
0.448745,2.117361
0.450413,2.123443
0.452081,2.129504
0.453749,2.135543
0.455418,2.141561
0.457086,2.147557
0.458754,2.153532
0.460422,2.159486
0.462090,2.165418
0.463759,2.171328
0.465427,2.177216
0.467095,2.183083
0.468763,2.188927
0.470431,2.194750
0.472099,2.200550
0.473768,2.206329
0.475436,2.212085
0.477104,2.217819
0.478772,2.223531
0.480440,2.229221
0.482109,2.234888
0.483777,2.240532
0.485445,2.246155
0.487113,2.251754
0.488781,2.257331
0.490450,2.262885
0.492118,2.268416
0.493786,2.273925
0.495454,2.279410
0.497122,2.284873
