Time,Value
0.000000,4.996884
0.001668,5.001689
0.003336,5.006405
0.005005,5.011033
0.006673,5.015571
0.008341,5.020022
0.010009,5.024384
0.011678,5.028657
0.013346,5.032843
0.015014,5.036941
0.016682,5.040952
0.018351,5.044875
0.020019,5.048710
0.021687,5.052459
0.023355,5.056121
0.025024,5.059696
0.026692,5.063184
0.028360,5.066587
0.030028,5.069903
0.031696,5.073133
0.033365,5.076277
0.035033,5.079335
0.036701,5.082309
0.038369,5.085196
0.040038,5.087999
0.041706,5.090717
0.043374,5.093350
0.045042,5.095899
0.046711,5.098363
0.048379,5.100743
0.050047,5.103038
0.051715,5.105250
0.053384,5.107379
0.055052,5.109424
0.056720,5.111385
0.058388,5.113263
0.060056,5.115059
0.061725,5.116772
0.063393,5.118402
0.065061,5.119949
0.066729,5.121415
0.068398,5.122798
0.070066,5.124099
0.071734,5.125319
0.073402,5.126457
0.075071,5.127514
0.076739,5.128490
0.078407,5.129384
0.080075,5.130198
0.081744,5.130931
0.083412,5.131584
0.085080,5.132157
0.086748,5.132649
0.088416,5.133061
0.090085,5.133394
0.091753,5.133647
0.093421,5.133821
0.095089,5.133915
0.096758,5.133931
0.098426,5.133868
0.100094,5.133726
0.101762,5.133505
0.103431,5.133206
0.105099,5.132829
0.106767,5.132374
0.108435,5.131842
0.110103,5.131231
0.111772,5.130544
0.113440,5.129779
0.115108,5.128937
0.116776,5.128018
0.118445,5.127022
0.120113,5.125950
0.121781,5.124801
0.123449,5.123577
0.125118,5.122276
0.126786,5.120899
0.128454,5.119447
0.130122,5.117920
0.131791,5.116317
0.133459,5.114639
0.135127,5.112886
0.136795,5.111058
0.138463,5.109156
0.140132,5.107179
0.141800,5.105129
0.143468,5.103004
0.145136,5.100805
0.146805,5.098533
0.148473,5.096187
0.150141,5.093768
0.151809,5.091275
0.153478,5.088710
0.155146,5.086072
0.156814,5.083361
0.158482,5.080578
0.160151,5.077723
0.161819,5.074796
0.163487,5.071796
0.165155,5.068725
0.166823,5.065583
0.168492,5.062369
0.170160,5.059084
0.171828,5.055728
0.173496,5.052301
0.175165,5.048804
0.176833,5.045236
0.178501,5.041597
0.180169,5.037889
0.181838,5.034111
0.183506,5.030263
0.185174,5.026345
0.186842,5.022358
0.188511,5.018302
0.190179,5.014177
0.191847,5.009983
0.193515,5.005720
0.195183,5.001389
0.196852,4.996990
0.198520,4.992522
0.200188,4.987987
0.201856,4.983383
0.203525,4.978712
0.205193,4.973974
0.206861,4.969168
0.208529,4.964296
0.210198,4.959356
0.211866,4.954350
0.213534,4.949277
0.215202,4.944138
0.216871,4.938932
0.218539,4.933661
0.220207,4.928324
0.221875,4.922921
0.223543,4.917453
0.225212,4.911919
0.226880,4.906321
0.228548,4.900657
0.230216,4.894929
0.231885,4.889136
0.233553,4.883279
0.235221,4.877357
0.236889,4.871372
0.238558,4.865323
0.240226,4.859210
0.241894,4.853033
0.243562,4.846793
0.245231,4.840491
0.246899,4.834125
0.248567,4.827696
0.250235,4.821205
0.251903,4.814651
0.253572,4.808035
0.255240,4.801357
0.256908,4.794617
0.258576,4.787816
0.260245,4.780953
0.261913,4.774028
0.263581,4.767043
0.265249,4.759996
0.266918,4.752888
0.268586,4.745720
0.270254,4.738492
0.271922,4.731203
0.273591,4.723854
0.275259,4.716445
0.276927,4.708977
0.278595,4.701449
0.280263,4.693861
0.281932,4.686215
0.283600,4.678509
0.285268,4.670744
0.286936,4.662921
0.288605,4.655039
0.290273,4.647099
0.291941,4.639101
0.293609,4.631045
0.295278,4.622931
0.296946,4.614759
0.298614,4.606530
0.300282,4.598244
0.301950,4.589901
0.303619,4.581501
0.305287,4.573044
0.306955,4.564531
0.308623,4.555961
0.310292,4.547335
0.311960,4.538653
0.313628,4.529915
0.315296,4.521122
0.316965,4.512273
0.318633,4.503369
0.320301,4.494410
0.321969,4.485396
0.323638,4.476327
0.325306,4.467204
0.326974,4.458026
0.328642,4.448794
0.330310,4.439508
0.331979,4.430168
0.333647,4.420775
0.335315,4.411328
0.336983,4.401827
0.338652,4.392274
0.340320,4.382668
0.341988,4.373008
0.343656,4.363297
0.345325,4.353532
0.346993,4.343716
0.348661,4.333847
0.350329,4.323927
0.351998,4.313955
0.353666,4.303931
0.355334,4.293856
0.357002,4.283730
0.358670,4.273553
0.360339,4.263325
0.362007,4.253047
0.363675,4.242718
0.365343,4.232338
0.367012,4.221909
0.368680,4.211430
0.370348,4.200901
0.372016,4.190322
0.373685,4.179694
0.375353,4.169017
0.377021,4.158291
0.378689,4.147516
0.380358,4.136692
0.382026,4.125820
0.383694,4.114899
0.385362,4.103930
0.387030,4.092914
0.388699,4.081849
0.390367,4.070737
0.392035,4.059578
0.393703,4.048371
0.395372,4.037117
0.397040,4.025817
0.398708,4.014470
0.400376,4.003076
0.402045,3.991636
0.403713,3.980149
0.405381,3.968617
0.407049,3.957039
0.408718,3.945415
0.410386,3.933746
0.412054,3.922031
0.413722,3.910272
0.415390,3.898467
0.417059,3.886618
0.418727,3.874724
0.420395,3.862786
0.422063,3.850803
0.423732,3.838777
0.425400,3.826707
0.427068,3.814593
0.428736,3.802435
0.430405,3.790234
0.432073,3.777991
0.433741,3.765704
0.435409,3.753374
0.437078,3.741002
0.438746,3.728587
0.440414,3.716130
0.442082,3.703631
0.443750,3.691091
0.445419,3.678508
0.447087,3.665884
0.448755,3.653219
0.450423,3.640512
0.452092,3.627765
0.453760,3.614976
0.455428,3.602147
0.457096,3.589278
0.458765,3.576368
0.460433,3.563418
0.462101,3.550429
0.463769,3.537399
0.465438,3.524330
0.467106,3.511222
0.468774,3.498074
0.470442,3.484888
0.472110,3.471662
0.473779,3.458398
0.475447,3.445095
0.477115,3.431754
0.478783,3.418375
0.480452,3.404958
0.482120,3.391503
0.483788,3.378011
0.485456,3.364481
0.487125,3.350914
0.488793,3.337310
0.490461,3.323669
0.492129,3.309991
0.493797,3.296277
0.495466,3.282527
0.497134,3.268740
0.498802,3.254917
0.500470,3.241059
0.502139,3.227165
0.503807,3.213235
0.505475,3.199270
0.507143,3.185270
0.508812,3.171235
0.510480,3.157166
0.512148,3.143061
0.513816,3.128923
0.515485,3.114750
0.517153,3.100543
0.518821,3.086303
0.520489,3.072028
0.522157,3.057720
0.523826,3.043379
0.525494,3.029005
0.527162,3.014598
0.528830,3.000158
0.530499,2.985685
0.532167,2.971180
0.533835,2.956643
0.535503,2.942074
0.537172,2.927473
0.538840,2.912840
0.540508,2.898176
0.542176,2.883480
0.543845,2.868753
0.545513,2.853995
0.547181,2.839206
0.548849,2.824387
0.550517,2.809537
0.552186,2.794657
0.553854,2.779747
0.555522,2.764807
0.557190,2.749837
0.558859,2.734838
0.560527,2.719809
0.562195,2.704751
0.563863,2.689664
0.565532,2.674549
0.567200,2.659404
0.568868,2.644231
0.570536,2.629030
0.572205,2.613801
0.573873,2.598543
0.575541,2.583258
0.577209,2.567946
0.578877,2.552605
0.580546,2.537238
0.582214,2.521844
0.583882,2.506422
0.585550,2.490974
0.587219,2.475500
0.588887,2.459999
0.590555,2.444472
0.592223,2.428919
0.593892,2.413340
0.595560,2.397736
0.597228,2.382106
0.598896,2.366451
0.600565,2.350770
0.602233,2.335065
0.603901,2.319335
0.605569,2.303581
0.607237,2.287802
0.608906,2.271999
0.610574,2.256172
0.612242,2.240321
0.613910,2.224446
0.615579,2.208548
0.617247,2.192627
0.618915,2.176683
0.620583,2.160715
0.622252,2.144725
0.623920,2.128712
0.625588,2.112677
0.627256,2.096619
0.628925,2.080540
0.630593,2.064438
0.632261,2.048315
0.633929,2.032171
0.635597,2.016005
0.637266,1.999818
0.638934,1.983610
0.640602,1.967381
0.642270,1.951131
0.643939,1.934861
0.645607,1.918571
0.647275,1.902260
0.648943,1.885930
0.650612,1.869580
0.652280,1.853211
0.653948,1.836822
0.655616,1.820413
0.657285,1.803986
0.658953,1.787540
0.660621,1.771076
0.662289,1.754592
0.663957,1.738091
0.665626,1.721571
0.667294,1.705034
0.668962,1.688478
0.670630,1.671906
0.672299,1.655315
0.673967,1.638708
0.675635,1.622083
0.677303,1.605442
0.678972,1.588783
0.680640,1.572109
0.682308,1.555418
0.683976,1.538710
0.685644,1.521987
0.687313,1.505248
0.688981,1.488494
0.690649,1.471723
0.692317,1.454938
0.693986,1.438138
0.695654,1.421322
0.697322,1.404492
0.698990,1.387648
0.700659,1.370788
0.702327,1.353915
0.703995,1.337028
0.705663,1.320127
0.707332,1.303212
0.709000,1.286284
0.710668,1.269342
0.712336,1.252388
0.714004,1.235420
0.715673,1.218440
0.717341,1.201447
0.719009,1.184441
0.720677,1.167424
0.722346,1.150394
0.724014,1.133352
0.725682,1.116299
0.727350,1.099234
0.729019,1.082158
0.730687,1.065071
0.732355,1.047973
0.734023,1.030864
0.735692,1.013744
0.737360,0.996614
0.739028,0.979473
0.740696,0.962323
0.742364,0.945162
0.744033,0.927992
0.745701,0.910812
0.747369,0.893623
0.749037,0.876425
0.750706,0.859218
0.752374,0.842002
0.754042,0.824777
0.755710,0.807544
0.757379,0.790302
0.759047,0.773052
0.760715,0.755794
0.762383,0.738529
0.764052,0.721256
0.765720,0.703976
0.767388,0.686688
0.769056,0.669393
0.770724,0.652092
0.772393,0.634783
0.774061,0.617468
0.775729,0.600147
0.777397,0.582820
0.779066,0.565487
0.780734,0.548147
0.782402,0.530803
0.784070,0.513452
0.785739,0.496097
0.787407,0.478736
0.789075,0.461371
0.790743,0.444001
0.792412,0.426626
0.794080,0.409247
0.795748,0.391864
0.797416,0.374476
0.799084,0.357085
0.800753,0.339690
0.802421,0.322292
0.804089,0.304890
0.805757,0.287485
0.807426,0.270078
0.809094,0.252667
0.810762,0.235254
0.812430,0.217839
0.814099,0.200421
0.815767,0.183001
0.817435,0.165580
0.819103,0.148156
0.820772,0.130731
0.822440,0.113305
0.824108,0.095878
0.825776,0.078449
0.827444,0.061020
0.829113,0.043591
0.830781,0.026160
0.832449,0.008730
0.834117,-0.008701
0.835786,-0.026131
0.837454,-0.043561
0.839122,-0.060991
0.840790,-0.078420
0.842459,-0.095849
0.844127,-0.113276
0.845795,-0.130702
0.847463,-0.148127
0.849132,-0.165551
0.850800,-0.182972
0.852468,-0.200392
0.854136,-0.217810
0.855804,-0.235225
0.857473,-0.252638
0.859141,-0.270049
0.860809,-0.287456
0.862477,-0.304861
0.864146,-0.322263
0.865814,-0.339661
0.867482,-0.357056
0.869150,-0.374447
0.870819,-0.391835
0.872487,-0.409218
0.874155,-0.426597
0.875823,-0.443972
0.877491,-0.461342
0.879160,-0.478708
0.880828,-0.496068
0.882496,-0.513424
0.884164,-0.530774
0.885833,-0.548119
0.887501,-0.565458
0.889169,-0.582791
0.890837,-0.600119
0.892506,-0.617440
0.894174,-0.634755
0.895842,-0.652063
0.897510,-0.669365
0.899179,-0.686659
0.900847,-0.703947
0.902515,-0.721228
0.904183,-0.738501
0.905851,-0.755766
0.907520,-0.773024
0.909188,-0.790274
0.910856,-0.807515
0.912524,-0.824749
0.914193,-0.841973
0.915861,-0.859190
0.917529,-0.876397
0.919197,-0.893595
0.920866,-0.910784
0.922534,-0.927964
0.924202,-0.945134
0.925870,-0.962295
0.927539,-0.979445
0.929207,-0.996586
0.930875,-1.013716
0.932543,-1.030836
0.934211,-1.047945
0.935880,-1.065043
0.937548,-1.082131
0.939216,-1.099207
0.940884,-1.116272
0.942553,-1.133325
0.944221,-1.150366
0.945889,-1.167396
0.947557,-1.184414
0.949226,-1.201419
0.950894,-1.218412
0.952562,-1.235393
0.954230,-1.252360
0.955899,-1.269315
0.957567,-1.286257
0.959235,-1.303185
0.960903,-1.320100
0.962571,-1.337001
0.964240,-1.353888
0.965908,-1.370762
0.967576,-1.387621
0.969244,-1.404465
0.970913,-1.421296
0.972581,-1.438111
0.974249,-1.454912
0.975917,-1.471697
0.977586,-1.488467
0.979254,-1.505222
0.980922,-1.521961
0.982590,-1.538684
0.984259,-1.555391
0.985927,-1.572083
0.987595,-1.588757
0.989263,-1.605416
0.990931,-1.622057
0.992600,-1.638682
0.994268,-1.655289
0.995936,-1.671880
0.997604,-1.688453
0.999273,-1.705008
1.000941,-1.721546
1.002609,-1.738065
1.004277,-1.754567
1.005946,-1.771050
1.007614,-1.787515
1.009282,-1.803961
1.010950,-1.820388
1.012619,-1.836797
1.014287,-1.853186
1.015955,-1.869555
1.017623,-1.885905
1.019291,-1.902236
