Time,Value
0.000000,-3.000000
0.001668,-2.999993
0.003336,-2.999972
0.005005,-2.999937
0.006673,-2.999889
0.008341,-2.999826
0.010009,-2.999749
0.011678,-2.999659
0.013346,-2.999554
0.015014,-2.999435
0.016682,-2.999303
0.018351,-2.999156
0.020019,-2.998995
0.021687,-2.998820
0.023355,-2.998631
0.025024,-2.998428
0.026692,-2.998211
0.028360,-2.997980
0.030028,-2.997735
0.031696,-2.997476
0.033365,-2.997202
0.035033,-2.996915
0.036701,-2.996613
0.038369,-2.996297
0.040038,-2.995967
0.041706,-2.995623
0.043374,-2.995265
0.045042,-2.994892
0.046711,-2.994506
0.048379,-2.994105
0.050047,-2.993690
0.051715,-2.993260
0.053384,-2.992817
0.055052,-2.992359
0.056720,-2.991887
0.058388,-2.991401
0.060056,-2.990901
0.061725,-2.990386
0.063393,-2.989857
0.065061,-2.989314
0.066729,-2.988757
0.068398,-2.988185
0.070066,-2.987600
0.071734,-2.986999
0.073402,-2.986385
0.075071,-2.985756
0.076739,-2.985114
0.078407,-2.984456
0.080075,-2.983785
0.081744,-2.983099
0.083412,-2.982399
0.085080,-2.981685
0.086748,-2.980956
0.088416,-2.980214
0.090085,-2.979456
0.091753,-2.978685
0.093421,-2.977899
0.095089,-2.977099
0.096758,-2.976285
0.098426,-2.975456
0.100094,-2.974613
0.101762,-2.973756
0.103431,-2.972885
0.105099,-2.971999
0.106767,-2.971099
0.108435,-2.970185
0.110103,-2.969256
0.111772,-2.968313
0.113440,-2.967356
0.115108,-2.966385
0.116776,-2.965399
0.118445,-2.964399
0.120113,-2.963385
0.121781,-2.962357
0.123449,-2.961314
0.125118,-2.960257
0.126786,-2.959186
0.128454,-2.958100
0.130122,-2.957000
0.131791,-2.955886
0.133459,-2.954758
0.135127,-2.953616
0.136795,-2.952459
0.138463,-2.951288
0.140132,-2.950103
0.141800,-2.948903
0.143468,-2.947690
0.145136,-2.946462
0.146805,-2.945220
0.148473,-2.943964
0.150141,-2.942694
0.151809,-2.941409
0.153478,-2.940110
0.155146,-2.938798
0.156814,-2.937471
0.158482,-2.936129
0.160151,-2.934774
0.161819,-2.933405
0.163487,-2.932021
0.165155,-2.930623
0.166823,-2.929212
0.168492,-2.927786
0.170160,-2.926346
0.171828,-2.924892
0.173496,-2.923424
0.175165,-2.921942
0.176833,-2.920445
0.178501,-2.918935
0.180169,-2.917411
0.181838,-2.915873
0.183506,-2.914320
0.185174,-2.912754
0.186842,-2.911174
0.188511,-2.909579
0.190179,-2.907971
0.191847,-2.906349
0.193515,-2.904713
0.195183,-2.903063
0.196852,-2.901399
0.198520,-2.899721
0.200188,-2.898029
0.201856,-2.896323
0.203525,-2.894604
0.205193,-2.892870
0.206861,-2.891123
0.208529,-2.889362
0.210198,-2.887587
0.211866,-2.885799
0.213534,-2.883996
0.215202,-2.882180
0.216871,-2.880350
0.218539,-2.878506
0.220207,-2.876649
0.221875,-2.874777
0.223543,-2.872892
0.225212,-2.870994
0.226880,-2.869082
0.228548,-2.867156
0.230216,-2.865216
0.231885,-2.863263
0.233553,-2.861296
0.235221,-2.859316
0.236889,-2.857322
0.238558,-2.855314
0.240226,-2.853293
0.241894,-2.851259
0.243562,-2.849211
0.245231,-2.847149
0.246899,-2.845074
0.248567,-2.842986
0.250235,-2.840884
0.251903,-2.838768
0.253572,-2.836640
0.255240,-2.834498
0.256908,-2.832342
0.258576,-2.830173
0.260245,-2.827991
0.261913,-2.825796
0.263581,-2.823587
0.265249,-2.821365
0.266918,-2.819130
0.268586,-2.816881
0.270254,-2.814620
0.271922,-2.812345
0.273591,-2.810057
0.275259,-2.807755
0.276927,-2.805441
0.278595,-2.803114
0.280263,-2.800773
0.281932,-2.798420
0.283600,-2.796053
0.285268,-2.793673
0.286936,-2.791281
0.288605,-2.788875
0.290273,-2.786457
0.291941,-2.784025
0.293609,-2.781581
0.295278,-2.779123
0.296946,-2.776653
0.298614,-2.774170
0.300282,-2.771674
0.301950,-2.769166
0.303619,-2.766644
0.305287,-2.764110
0.306955,-2.761563
0.308623,-2.759004
0.310292,-2.756432
0.311960,-2.753847
0.313628,-2.751249
0.315296,-2.748639
0.316965,-2.746016
0.318633,-2.743381
0.320301,-2.740733
0.321969,-2.738073
0.323638,-2.735400
0.325306,-2.732715
0.326974,-2.730017
0.328642,-2.727307
0.330310,-2.724585
0.331979,-2.721850
0.333647,-2.719103
0.335315,-2.716343
0.336983,-2.713571
0.338652,-2.710787
0.340320,-2.707991
0.341988,-2.705183
0.343656,-2.702362
0.345325,-2.699529
0.346993,-2.696685
0.348661,-2.693828
0.350329,-2.690959
0.351998,-2.688078
0.353666,-2.685185
0.355334,-2.682280
0.357002,-2.679363
0.358670,-2.676434
0.360339,-2.673493
0.362007,-2.670540
0.363675,-2.667576
0.365343,-2.664600
0.367012,-2.661612
0.368680,-2.658612
0.370348,-2.655600
0.372016,-2.652577
0.373685,-2.649542
0.375353,-2.646496
0.377021,-2.643437
0.378689,-2.640368
0.380358,-2.637286
0.382026,-2.634194
0.383694,-2.631090
0.385362,-2.627974
0.387030,-2.624847
0.388699,-2.621708
0.390367,-2.618558
0.392035,-2.615397
0.393703,-2.612225
0.395372,-2.609041
0.397040,-2.605846
0.398708,-2.602640
0.400376,-2.599422
0.402045,-2.596194
0.403713,-2.592954
0.405381,-2.589704
0.407049,-2.586442
0.408718,-2.583169
0.410386,-2.579885
0.412054,-2.576591
0.413722,-2.573285
