Time,Value
0.000000,-0.000000
0.001668,0.008340
0.003336,0.016688
0.005005,0.025044
0.006673,0.033407
0.008341,0.041778
0.010009,0.050156
0.011678,0.058542
0.013346,0.066934
0.015014,0.075333
0.016682,0.083740
0.018351,0.092152
0.020019,0.100572
0.021687,0.108997
0.023355,0.117429
0.025024,0.125867
0.026692,0.134310
0.028360,0.142760
0.030028,0.151215
0.031696,0.159675
0.033365,0.168141
0.035033,0.176612
0.036701,0.185088
0.038369,0.193569
0.040038,0.202055
0.041706,0.210545
0.043374,0.219040
0.045042,0.227539
0.046711,0.236042
0.048379,0.244549
0.050047,0.253060
0.051715,0.261575
0.053384,0.270094
0.055052,0.278616
0.056720,0.287141
0.058388,0.295670
0.060056,0.304201
0.061725,0.312736
0.063393,0.321273
0.065061,0.329813
0.066729,0.338356
0.068398,0.346901
0.070066,0.355448
0.071734,0.363997
0.073402,0.372548
0.075071,0.381101
0.076739,0.389656
0.078407,0.398212
0.080075,0.406770
0.081744,0.415329
0.083412,0.423889
0.085080,0.432450
0.086748,0.441012
0.088416,0.449575
0.090085,0.458139
0.091753,0.466703
0.093421,0.475267
0.095089,0.483831
0.096758,0.492396
0.098426,0.500961
0.100094,0.509525
0.101762,0.518089
0.103431,0.526653
0.105099,0.535216
0.106767,0.543778
0.108435,0.552340
0.110103,0.560900
0.111772,0.569460
0.113440,0.578018
0.115108,0.586575
0.116776,0.595131
0.118445,0.603685
0.120113,0.612237
0.121781,0.620787
0.123449,0.629336
0.125118,0.637882
0.126786,0.646426
0.128454,0.654968
0.130122,0.663507
0.131791,0.672043
0.133459,0.680577
0.135127,0.689108
0.136795,0.697636
0.138463,0.706161
0.140132,0.714683
0.141800,0.723201
0.143468,0.731716
0.145136,0.740227
0.146805,0.748734
0.148473,0.757238
0.150141,0.765737
0.151809,0.774233
0.153478,0.782724
0.155146,0.791211
0.156814,0.799694
0.158482,0.808172
0.160151,0.816645
0.161819,0.825113
0.163487,0.833577
0.165155,0.842035
0.166823,0.850488
0.168492,0.858936
0.170160,0.867379
0.171828,0.875816
0.173496,0.884247
0.175165,0.892673
0.176833,0.901092
0.178501,0.909506
0.180169,0.917913
0.181838,0.926315
0.183506,0.934709
0.185174,0.943098
0.186842,0.951480
0.188511,0.959855
0.190179,0.968223
0.191847,0.976584
0.193515,0.984939
0.195183,0.993286
0.196852,1.001626
0.198520,1.009958
0.200188,1.018283
0.201856,1.026600
0.203525,1.034910
0.205193,1.043212
0.206861,1.051505
0.208529,1.059791
0.210198,1.068068
0.211866,1.076338
0.213534,1.084598
0.215202,1.092851
0.216871,1.101094
0.218539,1.109329
0.220207,1.117555
0.221875,1.125772
0.223543,1.133980
0.225212,1.142179
0.226880,1.150369
0.228548,1.158549
0.230216,1.166720
0.231885,1.174881
0.233553,1.183032
0.235221,1.191174
0.236889,1.199305
0.238558,1.207427
0.240226,1.215538
0.241894,1.223639
0.243562,1.231730
0.245231,1.239811
0.246899,1.247880
0.248567,1.255939
0.250235,1.263988
0.251903,1.272025
0.253572,1.280052
0.255240,1.288067
0.256908,1.296071
0.258576,1.304064
0.260245,1.312046
0.261913,1.320016
0.263581,1.327974
0.265249,1.335921
0.266918,1.343856
0.268586,1.351778
0.270254,1.359689
0.271922,1.367588
0.273591,1.375475
0.275259,1.383349
0.276927,1.391211
0.278595,1.399061
0.280263,1.406897
0.281932,1.414721
0.283600,1.422533
0.285268,1.430331
0.286936,1.438117
0.288605,1.445889
0.290273,1.453648
0.291941,1.461394
0.293609,1.469126
0.295278,1.476845
0.296946,1.484550
0.298614,1.492242
0.300282,1.499920
0.301950,1.507584
0.303619,1.515234
0.305287,1.522870
0.306955,1.530492
0.308623,1.538099
0.310292,1.545692
0.311960,1.553271
0.313628,1.560835
0.315296,1.568385
0.316965,1.575920
0.318633,1.583440
0.320301,1.590945
0.321969,1.598436
0.323638,1.605911
0.325306,1.613371
0.326974,1.620815
0.328642,1.628245
0.330310,1.635659
0.331979,1.643057
0.333647,1.650440
0.335315,1.657807
0.336983,1.665158
0.338652,1.672493
0.340320,1.679813
0.341988,1.687116
