Time,Value
0.000000,4.999972
0.001668,5.004743
0.003336,5.009426
0.005005,5.014020
0.006673,5.018525
0.008341,5.022942
0.010009,5.027271
0.011677,5.031512
0.013346,5.035665
0.015014,5.039731
0.016682,5.043709
0.018350,5.047600
0.020018,5.051404
0.021687,5.055120
0.023355,5.058750
0.025023,5.062294
0.026691,5.065751
0.028359,5.069122
0.030028,5.072407
0.031696,5.075606
0.033364,5.078720
0.035032,5.081748
0.036700,5.084690
0.038369,5.087548
0.040037,5.090321
0.041705,5.093009
0.043373,5.095612
0.045041,5.098131
0.046709,5.100565
0.048378,5.102916
0.050046,5.105183
0.051714,5.107366
0.053382,5.109465
0.055050,5.111481
0.056719,5.113414
0.058387,5.115264
0.060055,5.117032
0.061723,5.118716
0.063391,5.120318
0.065060,5.121838
0.066728,5.123276
0.068396,5.124632
0.070064,5.125906
0.071732,5.127098
0.073401,5.128210
0.075069,5.129240
0.076737,5.130189
0.078405,5.131057
0.080073,5.131844
0.081742,5.132551
0.083410,5.133178
0.085078,5.133724
0.086746,5.134191
0.088414,5.134578
0.090083,5.134885
0.091751,5.135113
0.093419,5.135261
0.095087,5.135331
0.096755,5.135321
0.098424,5.135233
0.100092,5.135066
0.101760,5.134821
0.103428,5.134498
0.105096,5.134097
0.106765,5.133618
0.108433,5.133062
0.110101,5.132428
0.111769,5.131716
0.113437,5.130928
0.115106,5.130062
0.116774,5.129120
0.118442,5.128102
0.120110,5.127007
0.121778,5.125835
0.123447,5.124588
0.125115,5.123265
0.126783,5.121866
0.128451,5.120392
0.130119,5.118842
0.131787,5.117217
0.133456,5.115518
0.135124,5.113743
0.136792,5.111894
0.138460,5.109971
0.140128,5.107973
0.141797,5.105901
0.143465,5.103755
0.145133,5.101536
0.146801,5.099243
0.148469,5.096876
0.150138,5.094437
0.151806,5.091924
0.153474,5.089339
0.155142,5.086681
0.156810,5.083950
0.158479,5.081148
0.160147,5.078273
0.161815,5.075326
0.163483,5.072307
0.165151,5.069217
0.166820,5.066056
0.168488,5.062823
0.170156,5.059519
0.171824,5.056145
0.173492,5.052699
0.175161,5.049183
0.176829,5.045597
0.178497,5.041941
0.180165,5.038215
0.181833,5.034419
0.183502,5.030553
0.185170,5.026618
0.186838,5.022613
0.188506,5.018540
0.190174,5.014398
0.191843,5.010187
0.193511,5.005907
0.195179,5.001559
0.196847,4.997143
0.198515,4.992659
0.200184,4.988107
0.201852,4.983487
0.203520,4.978800
0.205188,4.974045
0.206856,4.969224
0.208525,4.964335
0.210193,4.959380
0.211861,4.954358
0.213529,4.949270
0.215197,4.944116
0.216865,4.938895
0.218534,4.933609
0.220202,4.928257
0.221870,4.922839
0.223538,4.917356
0.225206,4.911808
0.226875,4.906195
0.228543,4.900517
0.230211,4.894775
0.231879,4.888968
0.233547,4.883097
0.235216,4.877161
0.236884,4.871162
0.238552,4.865099
0.240220,4.858973
0.241888,4.852783
0.243557,4.846530
0.245225,4.840214
0.246893,4.833835
0.248561,4.827393
0.250229,4.820889
0.251898,4.814323
0.253566,4.807695
0.255234,4.801004
0.256902,4.794252
0.258570,4.787438
0.260239,4.780563
0.261907,4.773627
0.263575,4.766629
0.265243,4.759571
0.266911,4.752452
0.268580,4.745272
0.270248,4.738032
0.271916,4.730732
0.273584,4.723372
0.275252,4.715952
0.276921,4.708473
0.278589,4.700934
0.280257,4.693335
0.281925,4.685678
0.283593,4.677962
0.285262,4.670187
0.286930,4.662353
0.288598,4.654461
0.290266,4.646511
0.291934,4.638503
0.293603,4.630437
0.295271,4.622313
0.296939,4.614132
0.298607,4.605894
0.300275,4.597598
0.301943,4.589246
0.303612,4.580836
0.305280,4.572370
0.306948,4.563848
0.308616,4.555269
0.310284,4.546635
0.311953,4.537944
0.313621,4.529198
0.315289,4.520396
0.316957,4.511539
0.318625,4.502626
0.320294,4.493659
0.321962,4.484637
0.323630,4.475560
0.325298,4.466429
0.326966,4.457243
0.328635,4.448004
0.330303,4.438710
0.331971,4.429363
0.333639,4.419962
0.335307,4.410508
0.336976,4.401000
0.338644,4.391440
0.340312,4.381826
0.341980,4.372160
0.343648,4.362442
0.345317,4.352671
0.346985,4.342848
0.348653,4.332973
0.350321,4.323046
0.351989,4.313068
0.353658,4.303038
0.355326,4.292957
0.356994,4.282825
0.358662,4.272642
0.360330,4.262408
0.361999,4.252124
0.363667,4.241789
0.365335,4.231404
0.367003,4.220969
0.368671,4.210485
0.370340,4.199951
0.372008,4.189367
0.373676,4.178734
0.375344,4.168052
0.377012,4.157320
0.378681,4.146541
0.380349,4.135712
0.382017,4.124835
0.383685,4.113910
0.385353,4.102937
0.387021,4.091916
0.388690,4.080848
0.390358,4.069731
0.392026,4.058568
0.393694,4.047357
0.395362,4.036100
0.397031,4.024795
0.398699,4.013444
0.400367,4.002047
0.402035,3.990603
0.403703,3.979113
0.405372,3.967577
0.407040,3.955996
0.408708,3.944369
0.410376,3.932697
0.412044,3.920979
0.413713,3.909217
0.415381,3.897409
0.417049,3.885557
0.418717,3.873661
0.420385,3.861720
0.422054,3.849735
0.423722,3.837706
0.425390,3.825633
0.427058,3.813517
0.428726,3.801357
0.430395,3.789155
0.432063,3.776909
0.433731,3.764620
0.435399,3.752288
0.437067,3.739914
0.438736,3.727498
0.440404,3.715039
0.442072,3.702539
0.443740,3.689997
0.445408,3.677413
0.447077,3.664787
0.448745,3.652121
0.450413,3.639413
0.452081,3.626664
0.453749,3.613875
0.455418,3.601045
0.457086,3.588175
0.458754,3.575264
0.460422,3.562314
0.462090,3.549323
0.463759,3.536293
0.465427,3.523224
0.467095,3.510115
0.468763,3.496967
0.470431,3.483780
0.472099,3.470554
0.473768,3.457290
0.475436,3.443987
0.477104,3.430646
0.478772,3.417267
0.480440,3.403851
0.482109,3.390396
0.483777,3.376904
0.485445,3.363374
0.487113,3.349808
0.488781,3.336204
0.490450,3.322564
0.492118,3.308887
0.493786,3.295173
0.495454,3.281423
0.497122,3.267637
0.498791,3.253816
0.500459,3.239958
0.502127,3.226065
0.503795,3.212137
0.505463,3.198173
0.507132,3.184174
0.508800,3.170140
0.510468,3.156072
0.512136,3.141969
0.513804,3.127832
0.515473,3.113661
0.517141,3.099456
0.518809,3.085217
0.520477,3.070944
0.522145,3.056638
0.523814,3.042299
0.525482,3.027927
0.527150,3.013522
0.528818,2.999084
0.530486,2.984613
0.532155,2.970111
0.533823,2.955576
0.535491,2.941009
0.537159,2.926410
0.538827,2.911779
0.540496,2.897118
0.542164,2.882424
0.543832,2.867700
0.545500,2.852945
0.547168,2.838159
0.548837,2.823342
0.550505,2.808495
0.552173,2.793618
0.553841,2.778711
0.555509,2.763774
0.557177,2.748807
0.558846,2.733811
0.560514,2.718786
0.562182,2.703731
0.563850,2.688647
0.565518,2.673535
0.567187,2.658394
0.568855,2.643224
0.570523,2.628026
0.572191,2.612800
0.573859,2.597547
0.575528,2.582265
0.577196,2.566956
0.578864,2.551620
0.580532,2.536256
0.582200,2.520866
0.583869,2.505448
0.585537,2.490004
0.587205,2.474534
0.588873,2.459037
0.590541,2.443514
0.592210,2.427965
0.593878,2.412391
0.595546,2.396790
0.597214,2.381165
0.598882,2.365514
0.600551,2.349838
0.602219,2.334137
0.603887,2.318412
0.605555,2.302662
0.607223,2.286888
0.608892,2.271089
0.610560,2.255267
0.612228,2.239421
0.613896,2.223551
0.615564,2.207657
0.617233,2.191741
0.618901,2.175801
0.620569,2.159839
0.622237,2.143854
0.623905,2.127846
0.625574,2.111816
0.627242,2.095763
0.628910,2.079689
0.630578,2.063593
0.632246,2.047475
0.633914,2.031335
0.635583,2.015175
0.637251,1.998993
0.638919,1.982790
0.640587,1.966567
0.642255,1.950322
0.643924,1.934058
0.645592,1.917773
0.647260,1.901468
0.648928,1.885144
0.650596,1.868799
0.652265,1.852435
0.653933,1.836052
0.655601,1.819650
0.657269,1.803228
0.658937,1.786788
0.660606,1.770329
0.662274,1.753852
0.663942,1.737356
0.665610,1.720843
0.667278,1.704311
0.668947,1.687762
0.670615,1.671195
0.672283,1.654611
0.673951,1.638009
0.675619,1.621391
0.677288,1.604756
0.678956,1.588104
0.680624,1.571435
0.682292,1.554750
0.683960,1.538049
0.685629,1.521333
0.687297,1.504600
0.688965,1.487852
0.690633,1.471088
0.692301,1.454309
0.693970,1.437515
0.695638,1.420706
0.697306,1.403883
0.698974,1.387045
0.700642,1.370192
0.702311,1.353326
0.703979,1.336445
0.705647,1.319551
0.707315,1.302643
0.708983,1.285721
0.710652,1.268786
0.712320,1.251838
0.713988,1.234877
0.715656,1.217904
0.717324,1.200918
0.718992,1.183919
0.720661,1.166908
0.722329,1.149886
0.723997,1.132851
0.725665,1.115805
0.727333,1.098747
0.729002,1.081678
0.730670,1.064598
0.732338,1.047506
0.734006,1.030404
0.735674,1.013292
0.737343,0.996169
0.739011,0.979035
0.740679,0.961892
0.742347,0.944739
0.744015,0.927576
0.745684,0.910403
0.747352,0.893221
0.749020,0.876030
0.750688,0.858830
0.752356,0.841621
0.754025,0.824404
0.755693,0.807178
0.757361,0.789943
0.759029,0.772701
0.760697,0.755451
0.762366,0.738193
0.764034,0.720927
0.765702,0.703654
0.767370,0.686374
0.769038,0.669086
0.770707,0.651792
0.772375,0.634491
0.774043,0.617184
0.775711,0.599870
0.777379,0.582550
0.779048,0.565224
0.780716,0.547893
0.782384,0.530556
0.784052,0.513213
0.785720,0.495865
0.787389,0.478512
0.789057,0.461154
0.790725,0.443791
0.792393,0.426424
0.794061,0.409053
0.795730,0.391677
0.797398,0.374297
0.799066,0.356914
0.800734,0.339526
0.802402,0.322136
0.804070,0.304742
0.805739,0.287344
0.807407,0.269944
0.809075,0.252542
0.810743,0.235136
0.812411,0.217728
0.814080,0.200318
0.815748,0.182906
0.817416,0.165492
0.819084,0.148076
0.820752,0.130659
0.822421,0.113241
0.824089,0.095821
0.825757,0.078400
0.827425,0.060979
0.829093,0.043557
0.830762,0.026134
0.832430,0.008711
0.834098,-0.008711
0.835766,-0.026134
0.837434,-0.043557
0.839103,-0.060979
0.840771,-0.078400
0.842439,-0.095821
0.844107,-0.113241
0.845775,-0.130659
0.847444,-0.148076
0.849112,-0.165492
0.850780,-0.182906
0.852448,-0.200318
0.854116,-0.217728
0.855785,-0.235136
0.857453,-0.252542
0.859121,-0.269944
0.860789,-0.287344
0.862457,-0.304742
0.864126,-0.322136
0.865794,-0.339526
0.867462,-0.356914
0.869130,-0.374297
0.870798,-0.391677
0.872467,-0.409053
0.874135,-0.426424
0.875803,-0.443791
0.877471,-0.461154
0.879139,-0.478512
0.880808,-0.495865
0.882476,-0.513213
0.884144,-0.530556
0.885812,-0.547893
0.887480,-0.565224
0.889148,-0.582550
0.890817,-0.599870
0.892485,-0.617184
0.894153,-0.634491
0.895821,-0.651792
0.897489,-0.669086
0.899158,-0.686374
0.900826,-0.703654
0.902494,-0.720927
0.904162,-0.738193
