Time,Value
0.000000,5.000000
0.001568,5.000000
0.003137,5.000000
0.004705,5.000000
0.006273,5.000000
0.007841,5.000000
0.009410,5.000000
0.010978,5.000000
0.012546,5.000000
0.014114,5.000000
0.015683,5.000000
0.017251,5.000000
0.018819,5.000000
0.020387,5.000000
0.021956,5.000000
0.023524,5.000000
0.025092,5.000000
0.026661,5.000000
0.028229,5.000000
0.029797,5.000000
0.031365,5.000000
0.032934,5.000000
0.034502,5.000000
0.036070,5.000000
0.037638,5.000000
0.039207,5.000000
0.040775,5.000000
0.042343,5.000000
0.043911,5.000000
0.045480,5.000000
0.047048,5.000000
0.048616,5.000000
0.050185,5.000000
0.051753,5.000000
0.053321,5.000000
0.054889,5.000000
0.056458,5.000000
0.058026,5.000000
0.059594,5.000000
0.061162,5.000000
0.062731,5.000000
0.064299,5.000000
0.065867,5.000000
0.067435,5.000000
0.069004,5.000000
0.070572,5.000000
0.072140,5.000000
0.073709,5.000000
0.075277,5.000000
0.076845,5.000000
0.078413,5.000000
0.079982,5.000000
0.081550,5.000000
0.083118,5.000000
0.084686,5.000000
0.086255,5.000000
0.087823,5.000000
0.089391,5.000000
0.090959,5.000000
0.092528,5.000000
0.094096,5.000000
0.095664,5.000000
0.097233,5.000000
0.098801,5.000000
0.100369,5.000000
0.101937,5.000000
0.103506,5.000000
0.105074,5.000000
0.106642,5.000000
0.108210,5.000000
0.109779,5.000000
0.111347,5.000000
0.112915,5.000000
0.114484,5.000000
0.116052,5.000000
0.117620,5.000000
0.119188,5.000000
0.120757,5.000000
0.122325,5.000000
0.123893,5.000000
0.125461,5.000000
0.127030,5.000000
0.128598,5.000000
0.130166,5.000000
0.131734,5.000000
0.133303,5.000000
0.134871,5.000000
0.136439,5.000000
0.138008,5.000000
0.139576,5.000000
0.141144,5.000000
0.142712,5.000000
0.144281,5.000000
0.145849,5.000000
0.147417,5.000000
0.148985,5.000000
0.150554,5.000000
0.152122,5.000000
0.153690,5.000000
0.155258,5.000000
0.156827,5.000000
0.158395,5.000000
0.159963,5.000000
0.161532,5.000000
0.163100,5.000000
0.164668,5.000000
0.166236,5.000000
0.167805,5.000000
0.169373,5.000000
0.170941,5.000000
0.172509,5.000000
0.174078,5.000000
0.175646,5.000000
0.177214,5.000000
0.178782,5.000000
0.180351,5.000000
0.181919,5.000000
0.183487,5.000000
0.185056,5.000000
0.186624,5.000000
0.188192,5.000000
0.189760,5.000000
0.191329,5.000000
0.192897,5.000000
0.194465,5.000000
0.196033,5.000000
0.197602,5.000000
0.199170,5.000000
0.200738,5.000000
0.202306,5.000000
0.203875,5.000000
0.205443,5.000000
0.207011,5.000000
0.208580,5.000000
0.210148,5.000000
0.211716,5.000000
0.213284,5.000000
0.214853,5.000000
0.216421,5.000000
0.217989,5.000000
0.219557,5.000000
0.221126,5.000000
0.222694,5.000000
0.224262,5.000000
0.225830,5.000000
0.227399,5.000000
0.228967,5.000000
0.230535,5.000000
0.232104,5.000000
0.233672,5.000000
0.235240,5.000000
0.236808,5.000000
0.238377,5.000000
0.239945,5.000000
0.241513,5.000000
0.243081,5.000000
0.244650,5.000000
0.246218,5.000000
0.247786,5.000000
0.249354,5.000000
0.250923,5.000000
0.252491,5.000000
0.254059,5.000000
0.255628,5.000000
0.257196,5.000000
0.258764,5.000000
0.260332,5.000000
0.261901,5.000000
0.263469,5.000000
0.265037,5.000000
0.266605,5.000000
0.268174,5.000000
0.269742,5.000000
0.271310,5.000000
0.272878,5.000000
0.274447,5.000000
0.276015,5.000000
0.277583,5.000000
0.279152,5.000000
0.280720,5.000000
0.282288,5.000000
0.283856,5.000000
0.285425,5.000000
0.286993,5.000000
0.288561,5.000000
0.290129,5.000000
0.291698,5.000000
0.293266,5.000000
0.294834,5.000000
0.296403,5.000000
0.297971,5.000000
0.299539,5.000000
0.301107,5.000000
0.302676,5.000000
0.304244,5.000000
0.305812,5.000000
0.307380,5.000000
0.308949,5.000000
0.310517,5.000000
0.312085,5.000000
0.313653,5.000000
0.315222,5.000000
0.316790,5.000000
0.318358,5.000000
0.319927,5.000000
0.321495,5.000000
0.323063,5.000000
0.324631,5.000000
0.326200,5.000000
0.327768,5.000000
0.329336,5.000000
0.330904,5.000000
0.332473,5.000000
0.334041,5.000000
0.335609,5.000000
0.337177,5.000000
0.338746,5.000000
0.340314,5.000000
0.341882,5.000000
0.343451,5.000000
0.345019,5.000000
0.346587,5.000000
0.348155,5.000000
0.349724,5.000000
0.351292,5.000000
0.352860,5.000000
0.354428,5.000000
0.355997,5.000000
0.357565,5.000000
0.359133,5.000000
0.360701,5.000000
0.362270,5.000000
0.363838,5.000000
0.365406,5.000000
0.366975,5.000000
0.368543,5.000000
0.370111,5.000000
0.371679,5.000000
0.373248,5.000000
0.374816,5.000000
0.376384,5.000000
0.377952,5.000000
0.379521,5.000000
0.381089,5.000000
0.382657,5.000000
0.384225,5.000000
0.385794,5.000000
0.387362,5.000000
0.388930,5.000000
0.390499,5.000000
0.392067,5.000000
0.393635,5.000000
0.395203,5.000000
0.396772,5.000000
0.398340,5.000000
0.399908,5.000000
0.401476,5.000000
0.403045,5.000000
0.404613,5.000000
0.406181,5.000000
0.407749,5.000000
0.409318,5.000000
0.410886,5.000000
0.412454,5.000000
0.414023,5.000000
0.415591,5.000000
0.417159,5.000000
0.418727,5.000000
0.420296,5.000000
0.421864,5.000000
0.423432,5.000000
0.425000,5.000000
0.426569,5.000000
0.428137,5.000000
0.429705,5.000000
0.431273,5.000000
0.432842,5.000000
0.434410,5.000000
0.435978,5.000000
0.437547,5.000000
0.439115,5.000000
0.440683,5.000000
0.442251,5.000000
0.443820,5.000000
0.445388,5.000000
0.446956,5.000000
0.448524,5.000000
0.450093,5.000000
0.451661,5.000000
0.453229,5.000000
0.454797,5.000000
0.456366,5.000000
0.457934,5.000000
0.459502,5.000000
0.461071,5.000000
0.462639,5.000000
0.464207,5.000000
0.465775,5.000000
0.467344,5.000000
0.468912,5.000000
0.470480,5.000000
0.472048,5.000000
0.473617,5.000000
0.475185,5.000000
0.476753,5.000000
0.478322,5.000000
0.479890,5.000000
0.481458,5.000000
0.483026,5.000000
0.484595,5.000000
0.486163,5.000000
0.487731,5.000000
0.489299,5.000000
0.490868,5.000000
0.492436,5.000000
0.494004,5.000000
0.495572,5.000000
0.497141,5.000000
0.498709,5.000000
0.500277,5.000000
0.501846,5.000000
0.503414,5.000000
0.504982,5.000000
0.506550,5.000000
0.508119,5.000000
0.509687,5.000000
0.511255,5.000000
0.512823,5.000000
0.514392,5.000000
0.515960,5.000000
0.517528,5.000000
0.519096,5.000000
0.520665,5.000000
0.522233,4.999999
0.523801,4.999729
0.525370,4.998921
0.526938,4.997579
0.528506,4.995705
0.530074,4.993303
0.531643,4.990377
0.533211,4.986928
0.534779,4.982962
0.536347,4.978480
0.537916,4.973487
0.539484,4.967985
0.541052,4.961977
0.542620,4.955468
0.544189,4.948459
0.545757,4.940955
0.547325,4.932959
0.548894,4.924474
0.550462,4.915503
0.552030,4.906049
0.553598,4.896116
0.555167,4.885706
0.556735,4.874824
0.558303,4.863473
0.559871,4.851655
0.561440,4.839374
0.563008,4.826633
0.564576,4.813435
0.566144,4.799785
0.567713,4.785684
0.569281,4.771136
0.570849,4.756145
0.572418,4.740713
0.573986,4.724844
0.575554,4.708542
0.577122,4.691809
0.578691,4.674648
0.580259,4.657063
0.581827,4.639058
0.583395,4.620635
0.584964,4.601797
0.586532,4.582549
0.588100,4.562893
0.589668,4.542832
0.591237,4.522369
0.592805,4.501509
0.594373,4.480254
0.595942,4.458607
0.597510,4.436572
0.599078,4.414152
0.600646,4.391350
0.602215,4.368169
0.603783,4.344613
0.605351,4.320685
0.606919,4.296388
0.608488,4.271725
0.610056,4.246701
0.611624,4.221317
0.613192,4.195577
0.614761,4.169484
0.616329,4.143043
0.617897,4.116255
0.619466,4.089124
0.621034,4.061654
0.622602,4.033847
0.624170,4.005707
0.625739,3.977238
0.627307,3.948441
0.628875,3.919322
0.630443,3.889882
0.632012,3.860126
0.633580,3.830056
0.635148,3.799675
0.636716,3.768988
0.638285,3.737996
0.639853,3.706704
0.641421,3.675115
0.642990,3.643231
0.644558,3.611057
0.646126,3.578595
0.647694,3.545849
0.649263,3.512821
0.650831,3.479516
0.652399,3.445936
0.653967,3.412085
0.655536,3.377966
0.657104,3.343582
0.658672,3.308936
0.660241,3.274032
0.661809,3.238873
0.663377,3.203462
0.664945,3.167802
0.666514,3.131897
0.668082,3.095750
0.669650,3.059364
0.671218,3.022742
0.672787,2.985888
0.674355,2.948805
0.675923,2.911496
0.677491,2.873965
0.679060,2.836214
0.680628,2.798247
0.682196,2.760067
0.683765,2.721678
0.685333,2.683082
0.686901,2.644283
0.688469,2.605284
0.690038,2.566089
0.691606,2.526700
0.693174,2.487121
0.694742,2.447356
0.696311,2.407406
0.697879,2.367277
0.699447,2.326970
0.701015,2.286489
0.702584,2.245838
0.704152,2.205019
0.705720,2.164037
0.707289,2.122893
0.708857,2.081592
0.710425,2.040136
0.711993,1.998530
0.713562,1.956775
0.715130,1.914876
0.716698,1.872836
0.718266,1.830657
0.719835,1.788343
0.721403,1.745898
0.722971,1.703325
0.724539,1.660626
0.726108,1.617806
0.727676,1.574867
0.729244,1.531812
0.730813,1.488646
0.732381,1.445370
0.733949,1.401989
0.735517,1.358506
0.737086,1.314923
0.738654,1.271245
0.740222,1.227474
0.741790,1.183614
0.743359,1.139667
0.744927,1.095638
0.746495,1.051529
0.748063,1.007343
0.749632,0.963085
0.751200,0.918757
0.752768,0.874362
0.754337,0.829903
0.755905,0.785385
0.757473,0.740810
0.759041,0.696181
0.760610,0.651501
0.762178,0.606775
0.763746,0.562005
0.765314,0.517194
0.766883,0.472345
0.768451,0.427463
0.770019,0.382550
0.771587,0.337609
0.773156,0.292644
0.774724,0.247657
0.776292,0.202653
0.777861,0.157634
0.779429,0.112604
0.780997,0.067565
0.782565,0.022522
0.784134,-0.022523
0.785702,-0.067566
0.787270,-0.112605
0.788838,-0.157635
0.790407,-0.202654
0.791975,-0.247658
0.793543,-0.292644
0.795111,-0.337610
0.796680,-0.382551
0.798248,-0.427464
0.799816,-0.472346
0.801385,-0.517195
0.802953,-0.562005
0.804521,-0.606776
0.806089,-0.651502
0.807658,-0.696181
0.809226,-0.740810
0.810794,-0.785386
0.812362,-0.829904
0.813931,-0.874362
0.815499,-0.918757
0.817067,-0.963086
0.818635,-1.007344
0.820204,-1.051530
0.821772,-1.095639
0.823340,-1.139668
0.824909,-1.183614
0.826477,-1.227475
0.828045,-1.271246
0.829613,-1.314924
0.831182,-1.358507
0.832750,-1.401990
0.834318,-1.445371
0.835886,-1.488646
0.837455,-1.531813
0.839023,-1.574867
0.840591,-1.617807
0.842160,-1.660627
0.843728,-1.703326
0.845296,-1.745899
0.846864,-1.788344
0.848433,-1.830658
0.850001,-1.872836
0.851569,-1.914877
0.853137,-1.956776
0.854706,-1.998530
0.856274,-2.040137
0.857842,-2.081593
0.859410,-2.122894
0.860979,-2.164037
0.862547,-2.205020
0.864115,-2.245839
0.865684,-2.286490
0.867252,-2.326971
0.868820,-2.367277
0.870388,-2.407407
0.871957,-2.447356
0.873525,-2.487122
0.875093,-2.526701
0.876661,-2.566090
0.878230,-2.605285
0.879798,-2.644284
0.881366,-2.683083
0.882934,-2.721679
0.884503,-2.760068
0.886071,-2.798248
0.887639,-2.836215
0.889208,-2.873966
0.890776,-2.911497
0.892344,-2.948806
0.893912,-2.985889
0.895481,-3.022743
0.897049,-3.059365
0.898617,-3.095750
0.900185,-3.131898
0.901754,-3.167803
0.903322,-3.203462
0.904890,-3.238873
0.906458,-3.274032
0.908027,-3.308937
0.909595,-3.343582
0.911163,-3.377966
0.912732,-3.412086
0.914300,-3.445937
0.915868,-3.479517
0.917436,-3.512822
0.919005,-3.545849
0.920573,-3.578596
0.922141,-3.611057
0.923709,-3.643232
0.925278,-3.675115
0.926846,-3.706705
0.928414,-3.737997
0.929982,-3.768988
0.931551,-3.799676
0.933119,-3.830056
0.934687,-3.860126
0.936256,-3.889883
0.937824,-3.919322
0.939392,-3.948442
0.940960,-3.977238
0.942529,-4.005708
0.944097,-4.033847
0.945665,-4.061654
0.947233,-4.089124
0.948802,-4.116255
0.950370,-4.143043
0.951938,-4.169485
0.953506,-4.195577
0.955075,-4.221317
0.956643,-4.246701
0.958211,-4.271726
0.959780,-4.296388
0.961348,-4.320685
0.962916,-4.344613
0.964484,-4.368169
0.966053,-4.391350
0.967621,-4.414152
0.969189,-4.436572
0.970757,-4.458607
0.972326,-4.480254
0.973894,-4.501509
0.975462,-4.522370
0.977030,-4.542832
0.978599,-4.562893
0.980167,-4.582549
0.981735,-4.601798
0.983304,-4.620635
0.984872,-4.639058
0.986440,-4.657063
0.988008,-4.674648
0.989577,-4.691809
0.991145,-4.708542
0.992713,-4.724844
0.994281,-4.740713
0.995850,-4.756145
0.997418,-4.771136
0.998986,-4.785684
1.000554,-4.799785
1.002123,-4.813435
1.003691,-4.826633
1.005259,-4.839374
1.006828,-4.851655
1.008396,-4.863473
1.009964,-4.874824
1.011532,-4.885706
1.013101,-4.896116
1.014669,-4.906049
1.016237,-4.915502
1.017805,-4.924474
1.019374,-4.932959
1.020942,-4.940955
1.022510,-4.948459
1.024078,-4.955467
1.025647,-4.961977
1.027215,-4.967984
1.028783,-4.973486
1.030352,-4.978480
1.031920,-4.982962
1.033488,-4.986928
1.035056,-4.990376
1.036625,-4.993303
1.038193,-4.995705
1.039761,-4.997579
1.041329,-4.998921
1.042898,-4.999729
1.044466,-4.999999
1.046034,-4.999999
1.047603,-4.999999
1.049171,-4.999999
1.050739,-4.999999
1.052307,-4.999999
1.053876,-4.999999
1.055444,-4.999999
1.057012,-4.999999
1.058580,-4.999999
1.060149,-4.999999
1.061717,-4.999999
1.063285,-4.999999
1.064853,-4.999999
1.066422,-4.999999
1.067990,-4.999999
1.069558,-4.999999
1.071127,-4.999999
1.072695,-4.999999
1.074263,-4.999999
1.075831,-4.999999
1.077400,-4.999999
1.078968,-4.999999
1.080536,-4.999999
1.082104,-4.999999
1.083673,-4.999999
1.085241,-4.999999
1.086809,-4.999999
1.088377,-4.999999
1.089946,-4.999999
1.091514,-4.999999
1.093082,-4.999999
1.094651,-4.999999
1.096219,-4.999999
1.097787,-4.999999
1.099355,-4.999999
1.100924,-4.999999
1.102492,-4.999999
1.104060,-4.999999
1.105628,-4.999999
1.107197,-4.999999
1.108765,-4.999999
1.110333,-4.999999
1.111901,-4.999999
1.113470,-4.999999
1.115038,-4.999999
1.116606,-4.999999
1.118175,-4.999999
1.119743,-4.999999
1.121311,-4.999999
1.122879,-4.999999
1.124448,-4.999999
1.126016,-4.999999
1.127584,-4.999999
1.129152,-4.999999
1.130721,-4.999999
1.132289,-4.999999
1.133857,-4.999999
1.135425,-4.999999
1.136994,-4.999999
1.138562,-4.999999
