Time,Value
0.000000,-3.000000
0.013780,-3.000000
0.027559,-3.000368
0.041339,-3.000703
0.055118,-3.000997
0.068898,-3.000979
0.082678,-3.000211
0.096457,-2.998248
0.110237,-2.994775
0.124016,-2.989498
0.137796,-2.982198
0.151576,-2.972648
0.165355,-2.960477
0.179135,-2.945325
0.192915,-2.927279
0.206694,-2.907044
0.220474,-2.885274
0.234253,-2.862087
0.248033,-2.837760
0.261813,-2.813280
0.275592,-2.789782
0.289372,-2.768076
0.303151,-2.748254
0.316931,-2.730044
0.330711,-2.712875
0.344490,-2.696057
0.358270,-2.678711
0.372049,-2.659976
0.385829,-2.639110
0.399609,-2.615843
0.413388,-2.590369
0.427168,-2.563159
0.440948,-2.534741
0.454727,-2.505566
0.468507,-2.475965
0.482286,-2.446142
0.496066,-2.416194
0.509846,-2.386132
0.523625,-2.355907
0.537405,-2.325432
0.551184,-2.294593
0.564964,-2.263268
0.578744,-2.231326
0.592523,-2.198636
0.606303,-2.165068
0.620082,-2.130498
0.633862,-2.094809
0.647642,-2.057895
0.661421,-2.019667
0.675201,-1.980050
0.688981,-1.938993
0.688981,-1.938993
0.702760,-1.897936
0.716540,-1.855420
0.730319,-1.811476
0.744099,-1.766158
0.757879,-1.719539
0.771658,-1.671707
0.785438,-1.622763
0.799217,-1.572822
0.812997,-1.522003
0.826777,-1.470435
0.840556,-1.418247
0.854336,-1.365573
0.868115,-1.312545
0.881895,-1.259293
0.895675,-1.205946
0.909454,-1.152627
0.923234,-1.099456
0.937014,-1.046548
0.950793,-0.994011
0.964573,-0.941946
0.978352,-0.890451
0.992132,-0.839613
1.005912,-0.789519
1.019691,-0.740244
1.033471,-0.691865
1.047250,-0.644451
1.061030,-0.598069
1.074810,-0.552788
1.088589,-0.508672
1.102369,-0.465787
1.116148,-0.424202
1.129928,-0.383983
1.143708,-0.345202
1.157487,-0.307930
1.171267,-0.272245
1.185046,-0.238227
1.198826,-0.205967
1.212606,-0.175567
1.226385,-0.147140
1.240165,-0.120819
1.253945,-0.096745
1.267724,-0.075068
1.281504,-0.055940
1.295283,-0.039503
1.309063,-0.025883
1.322843,-0.015171
1.336622,-0.007413
1.350402,-0.002681
1.364181,0.000000
1.377961,0.000000
