Time,Value
0.000000,-3.000000
0.010010,-3.000014
0.020020,-3.000056
0.030030,-3.000127
0.040040,-3.000226
0.050050,-3.000353
0.060060,-3.000508
0.070070,-3.000692
0.080080,-3.000904
0.090090,-3.001144
0.100100,-3.001412
0.110110,-3.001708
0.120120,-3.002033
0.130130,-3.002386
0.140140,-3.002767
0.150150,-3.003177
0.160160,-3.003614
0.170170,-3.004080
0.180180,-3.004575
0.190190,-3.005097
0.200200,-3.005648
0.210210,-3.006227
0.220220,-3.006834
0.230230,-3.007469
0.240240,-3.008133
0.250250,-3.008824
0.260260,-3.009545
0.270270,-3.010293
0.280280,-3.011069
0.290290,-3.011874
0.300300,-3.012707
0.310310,-3.013568
0.320320,-3.014458
0.330330,-3.015376
0.340340,-3.016322
0.350350,-3.017296
0.360360,-3.018298
0.370370,-3.019329
0.380380,-3.020388
0.390390,-3.021475
0.400400,-3.022591
0.410410,-3.023734
0.420420,-3.024906
0.430430,-3.026106
0.440440,-3.027335
0.450450,-3.028591
0.460460,-3.029876
0.470470,-3.031189
0.480480,-3.032530
0.490490,-3.033900
0.500501,-3.035298
0.510511,-3.036724
0.520521,-3.038178
0.530531,-3.039661
0.540541,-3.041171
0.550551,-3.042710
0.560561,-3.044278
0.570571,-3.045873
0.580581,-3.047497
0.590591,-3.049149
0.600601,-3.050829
0.610611,-3.052537
0.620621,-3.054274
0.630631,-3.056039
0.640641,-3.057832
0.650651,-3.059653
0.660661,-3.061503
0.670671,-3.063381
0.680681,-3.065287
0.690691,-3.067221
0.700701,-3.069184
0.710711,-3.071175
0.720721,-3.073194
0.730731,-3.075241
0.740741,-3.077316
0.750751,-3.079420
0.760761,-3.081552
0.770771,-3.083712
0.780781,-3.085901
0.790791,-3.088118
0.800801,-3.090362
0.810811,-3.092636
0.820821,-3.094937
0.830831,-3.097267
0.840841,-3.099625
0.850851,-3.102011
0.860861,-3.104425
0.870871,-3.106868
0.880881,-3.109339
0.890891,-3.111838
0.900901,-3.114365
0.910911,-3.116921
0.920921,-3.119504
0.930931,-3.122116
0.940941,-3.124757
0.950951,-3.127425
0.960961,-3.130122
0.970971,-3.132847
0.980981,-3.135600
0.990991,-3.138382
1.001001,-3.141191
1.011011,-3.144029
1.021021,-3.146895
1.031031,-3.149790
1.041041,-3.152713
1.051051,-3.155663
1.061061,-3.158643
1.071071,-3.161650
1.081081,-3.164686
1.091091,-3.167749
1.101101,-3.170842
1.111111,-3.173962
1.121121,-3.177110
1.131131,-3.180287
1.141141,-3.183492
1.151151,-3.186726
1.161161,-3.189987
1.171171,-3.193277
1.181181,-3.196595
1.191191,-3.199941
1.201201,-3.203316
1.211211,-3.206718
1.221221,-3.210149
1.231231,-3.213608
1.241241,-3.217096
1.251251,-3.220611
1.261261,-3.224155
1.271271,-3.227727
1.281281,-3.231328
1.291291,-3.234956
1.301301,-3.238613
1.311311,-3.242298
1.321321,-3.246012
1.331331,-3.249753
1.341341,-3.253523
1.351351,-3.257321
1.361361,-3.261147
1.371371,-3.265002
1.381381,-3.268885
1.391391,-3.272796
1.401401,-3.276735
1.411411,-3.280702
1.421421,-3.284698
1.431431,-3.288722
1.441441,-3.292774
1.451451,-3.296855
1.461461,-3.300963
1.471471,-3.305100
1.481481,-3.309265
1.491491,-3.313459
1.501502,-3.317680
1.511512,-3.321930
1.521522,-3.326208
1.531532,-3.330515
1.541542,-3.334849
1.551552,-3.339212
1.561562,-3.343603
1.571572,-3.348023
1.581582,-3.352470
1.591592,-3.356946
1.601602,-3.361450
1.611612,-3.365982
1.621622,-3.370543
1.631632,-3.375131
1.641642,-3.379748
1.651652,-3.384393
1.661662,-3.389067
1.671672,-3.393769
1.681682,-3.398498
1.691692,-3.403257
1.701702,-3.408043
1.711712,-3.412858
1.721722,-3.417700
1.731732,-3.422572
1.741742,-3.427471
1.751752,-3.432398
1.761762,-3.437354
1.771772,-3.442338
1.781782,-3.447351
1.791792,-3.452391
1.801802,-3.457460
1.811812,-3.462557
1.821822,-3.467682
1.831832,-3.472836
1.841842,-3.478017
1.851852,-3.483227
1.861862,-3.488466
1.871872,-3.493732
1.881882,-3.499027
1.891892,-3.504350
1.901902,-3.509701
1.911912,-3.515080
1.921922,-3.520488
1.931932,-3.525924
1.941942,-3.531388
1.951952,-3.536880
1.961962,-3.542401
1.971972,-3.547949
1.981982,-3.553526
1.991992,-3.559132
2.002002,-3.564765
2.012012,-3.570407
2.022022,-3.576048
2.032032,-3.581689
2.042042,-3.587330
2.052052,-3.592971
2.062062,-3.598611
2.072072,-3.604251
2.082082,-3.609891
2.092092,-3.615530
2.102102,-3.621169
2.112112,-3.626808
