Time,Value
0.000000,-3.000000
0.001551,-2.999994
0.003101,-2.999976
0.004652,-2.999946
0.006203,-2.999904
0.007754,-2.999850
0.009304,-2.999784
0.010855,-2.999705
0.012406,-2.999615
0.013957,-2.999513
0.015507,-2.999399
0.017058,-2.999273
0.018609,-2.999134
0.020160,-2.998984
0.021710,-2.998822
0.023261,-2.998647
0.024812,-2.998461
0.026363,-2.998263
0.027913,-2.998052
0.029464,-2.997830
0.031015,-2.997595
0.032566,-2.997349
0.034116,-2.997090
0.035667,-2.996820
0.037218,-2.996537
0.038769,-2.996242
0.040319,-2.995936
0.041870,-2.995617
0.043421,-2.995287
0.044972,-2.994944
0.046522,-2.994589
0.048073,-2.994222
0.049624,-2.993844
0.051175,-2.993453
0.052725,-2.993050
0.054276,-2.992635
0.055827,-2.992208
0.057378,-2.991770
0.058928,-2.991319
0.060479,-2.990856
0.062030,-2.990381
0.063581,-2.989894
0.065131,-2.989395
0.066682,-2.988884
0.068233,-2.988361
0.069783,-2.987826
0.071334,-2.987279
0.072885,-2.986719
0.074436,-2.986148
0.075986,-2.985565
0.077537,-2.984970
0.079088,-2.984363
0.080639,-2.983744
0.082189,-2.983112
0.083740,-2.982469
0.085291,-2.981814
0.086842,-2.981146
0.088392,-2.980467
0.089943,-2.979776
0.091494,-2.979072
0.093045,-2.978357
0.094595,-2.977629
0.096146,-2.976890
0.097697,-2.976138
0.099248,-2.975375
0.100798,-2.974599
0.102349,-2.973812
0.103900,-2.973012
0.105451,-2.972200
0.107001,-2.971377
0.108552,-2.970541
0.110103,-2.969693
0.111654,-2.968834
0.113204,-2.967962
0.114755,-2.967078
0.116306,-2.966182
0.117857,-2.965275
0.119407,-2.964355
0.120958,-2.963423
0.122509,-2.962479
0.124060,-2.961523
0.125610,-2.960555
0.127161,-2.959575
0.128712,-2.958583
0.130263,-2.957579
0.131813,-2.956563
0.133364,-2.955535
0.134915,-2.954495
0.136465,-2.953443
0.138016,-2.952379
0.139567,-2.951303
0.141118,-2.950214
0.142668,-2.949114
0.144219,-2.948002
0.145770,-2.946878
0.147321,-2.945742
0.148871,-2.944593
0.150422,-2.943433
0.151973,-2.942261
0.153524,-2.941076
0.155074,-2.939880
0.156625,-2.938671
0.158176,-2.937451
0.159727,-2.936219
0.161277,-2.934974
0.162828,-2.933718
0.164379,-2.932449
0.165930,-2.931168
0.167480,-2.929876
0.169031,-2.928571
0.170582,-2.927255
0.172133,-2.925926
0.173683,-2.924585
0.175234,-2.923233
0.176785,-2.921868
0.178336,-2.920491
0.179886,-2.919102
0.181437,-2.917701
0.182988,-2.916289
0.184539,-2.914864
0.186089,-2.913427
0.187640,-2.911978
0.189191,-2.910517
0.190742,-2.909044
0.192292,-2.907559
0.193843,-2.906062
0.195394,-2.904553
0.196944,-2.903032
0.198495,-2.901499
0.200046,-2.899954
0.201597,-2.898397
0.203147,-2.896828
0.204698,-2.895247
0.206249,-2.893653
0.207800,-2.892048
0.209350,-2.890431
0.210901,-2.888802
0.212452,-2.887160
0.214003,-2.885507
0.215553,-2.883842
0.217104,-2.882164
0.218655,-2.880475
0.220206,-2.878774
0.221756,-2.877060
0.223307,-2.875335
0.224858,-2.873597
0.226409,-2.871848
0.227959,-2.870086
0.229510,-2.868313
0.231061,-2.866527
0.232612,-2.864730
0.234162,-2.862920
0.235713,-2.861098
0.237264,-2.859265
0.238815,-2.857419
0.240365,-2.855561
0.241916,-2.853692
0.243467,-2.851810
0.245018,-2.849916
0.246568,-2.848010
0.248119,-2.846092
0.249670,-2.844162
0.251221,-2.842221
0.252771,-2.840267
0.254322,-2.838301
0.255873,-2.836323
0.257424,-2.834333
0.258974,-2.832331
0.260525,-2.830317
0.262076,-2.828291
0.263626,-2.826253
0.265177,-2.824203
0.266728,-2.822140
0.268279,-2.820066
0.269829,-2.817980
0.271380,-2.815882
0.272931,-2.813772
0.274482,-2.811649
0.276032,-2.809515
0.277583,-2.807369
0.279134,-2.805211
0.280685,-2.803040
0.282235,-2.800858
0.283786,-2.798664
0.285337,-2.796457
0.286888,-2.794239
0.288438,-2.792008
0.289989,-2.789766
0.291540,-2.787511
0.293091,-2.785245
0.294641,-2.782966
0.296192,-2.780676
0.297743,-2.778373
0.299294,-2.776058
0.300844,-2.773732
0.302395,-2.771393
0.303946,-2.769042
0.305497,-2.766680
0.307047,-2.764305
0.308598,-2.761918
0.310149,-2.759519
0.311700,-2.757108
0.313250,-2.754686
0.314801,-2.752251
0.316352,-2.749804
0.317903,-2.747345
0.319453,-2.744874
0.321004,-2.742391
0.322555,-2.739896
0.324106,-2.737389
0.325656,-2.734870
0.327207,-2.732339
0.328758,-2.729796
0.330308,-2.727241
0.331859,-2.724674
0.333410,-2.722094
0.334961,-2.719503
0.336511,-2.716900
0.338062,-2.714285
0.339613,-2.711658
0.341164,-2.709018
0.342714,-2.706367
0.344265,-2.703704
0.345816,-2.701028
0.347367,-2.698341
0.348917,-2.695642
0.350468,-2.692930
0.352019,-2.690207
0.353570,-2.687471
0.355120,-2.684724
0.356671,-2.681964
0.358222,-2.679193
0.359773,-2.676409
0.361323,-2.673614
0.362874,-2.670806
0.364425,-2.667986
0.365976,-2.665155
0.367526,-2.662311
0.369077,-2.659455
0.370628,-2.656588
0.372179,-2.653708
0.373729,-2.650816
0.375280,-2.647912
0.376831,-2.644996
0.378382,-2.642068
