Time,Value
0.000000,0.000000
0.001551,0.007754
0.003101,0.015507
0.004652,0.023261
0.006203,0.031015
0.007754,0.038769
0.009304,0.046522
0.010855,0.054276
0.012406,0.062030
0.013957,0.069783
0.015507,0.077537
0.017058,0.085291
0.018609,0.093045
0.020160,0.100798
0.021710,0.108552
0.023261,0.116306
0.024812,0.124060
0.026363,0.131813
0.027913,0.139567
0.029464,0.147321
0.031015,0.155074
0.032566,0.162828
0.034116,0.170582
0.035667,0.178336
0.037218,0.186089
0.038769,0.193843
0.040319,0.201597
0.041870,0.209350
0.043421,0.217104
0.044972,0.224858
0.046522,0.232612
0.048073,0.240365
0.049624,0.248119
0.051175,0.255873
0.052725,0.263626
0.054276,0.271380
0.055827,0.279134
0.057378,0.286888
0.058928,0.294641
0.060479,0.302395
0.062030,0.310149
0.063581,0.317903
0.065131,0.325656
0.066682,0.333410
0.068233,0.341164
0.069783,0.348917
0.071334,0.356671
0.072885,0.364425
0.074436,0.372179
0.075986,0.379932
0.077537,0.387686
0.079088,0.395440
0.080639,0.403193
0.082189,0.410947
0.083740,0.418701
0.085291,0.426455
0.086842,0.434208
0.088392,0.441962
0.089943,0.449716
0.091494,0.457470
0.093045,0.465223
0.094595,0.472977
0.096146,0.480731
0.097697,0.488484
0.099248,0.496238
0.100798,0.503992
0.102349,0.511746
0.103900,0.519499
0.105451,0.527253
0.107001,0.535007
0.108552,0.542760
0.110103,0.550514
0.111654,0.558268
0.113204,0.566022
0.114755,0.573775
0.116306,0.581529
0.117857,0.589283
0.119407,0.597036
0.120958,0.604790
0.122509,0.612544
0.124060,0.620298
0.125610,0.628051
0.127161,0.635805
0.128712,0.643559
0.130263,0.651313
0.131813,0.659066
0.133364,0.666820
0.134915,0.674574
0.136465,0.682327
0.138016,0.690081
0.139567,0.697835
0.141118,0.705589
0.142668,0.713342
0.144219,0.721096
0.145770,0.728850
0.147321,0.736603
0.148871,0.744357
0.150422,0.752111
0.151973,0.759865
0.153524,0.767618
0.155074,0.775372
0.156625,0.783126
0.158176,0.790879
0.159727,0.798633
0.161277,0.806387
0.162828,0.814141
0.164379,0.821894
0.165930,0.829648
0.167480,0.837402
0.169031,0.845156
0.170582,0.852909
0.172133,0.860663
0.173683,0.868417
0.175234,0.876170
0.176785,0.883924
0.178336,0.891678
0.179886,0.899432
0.181437,0.907185
0.182988,0.914939
0.184539,0.922693
0.186089,0.930446
0.187640,0.938200
0.189191,0.945954
0.190742,0.953708
0.192292,0.961461
0.193843,0.969215
0.195394,0.976969
0.196944,0.984722
0.198495,0.992476
0.200046,1.000230
0.201597,1.007984
0.203147,1.015737
0.204698,1.023491
0.206249,1.031245
0.207800,1.038999
0.209350,1.046752
0.210901,1.054506
0.212452,1.062260
0.214003,1.070013
0.215553,1.077767
0.217104,1.085521
0.218655,1.093275
0.220206,1.101028
0.221756,1.108782
0.223307,1.116536
0.224858,1.124289
0.226409,1.132043
0.227959,1.139797
0.229510,1.147551
0.231061,1.155304
0.232612,1.163058
0.234162,1.170812
0.235713,1.178566
0.237264,1.186319
0.238815,1.194073
0.240365,1.201827
0.241916,1.209580
0.243467,1.217334
0.245018,1.225088
0.246568,1.232842
0.248119,1.240595
0.249670,1.248349
0.251221,1.256103
0.252771,1.263856
0.254322,1.271610
0.255873,1.279364
0.257424,1.287118
0.258974,1.294871
0.260525,1.302625
0.262076,1.310379
0.263626,1.318132
0.265177,1.325886
0.266728,1.333640
0.268279,1.341394
0.269829,1.349147
0.271380,1.356901
0.272931,1.364655
0.274482,1.372409
0.276032,1.380162
0.277583,1.387916
0.279134,1.395670
0.280685,1.403423
0.282235,1.411177
0.283786,1.418931
0.285337,1.426685
0.286888,1.434438
0.288438,1.442192
0.289989,1.449946
0.291540,1.457699
0.293091,1.465453
0.294641,1.473207
0.296192,1.480961
0.297743,1.488714
0.299294,1.496468
0.300844,1.504222
0.302395,1.511975
0.303946,1.519729
0.305497,1.527483
0.307047,1.535237
0.308598,1.542990
0.310149,1.550744
0.311700,1.558498
0.313250,1.566252
0.314801,1.574005
0.316352,1.581759
0.317903,1.589513
0.319453,1.597266
0.321004,1.605020
0.322555,1.612774
0.324106,1.620528
0.325656,1.628281
0.327207,1.636035
0.328758,1.643789
0.330308,1.651542
0.331859,1.659296
0.333410,1.667050
0.334961,1.674804
0.336511,1.682557
0.338062,1.690311
0.339613,1.698065
0.341164,1.705818
0.342714,1.713572
0.344265,1.721326
0.345816,1.729080
0.347367,1.736833
0.348917,1.744587
0.350468,1.752341
0.352019,1.760095
0.353570,1.767848
0.355120,1.775602
0.356671,1.783356
0.358222,1.791109
0.359773,1.798863
0.361323,1.806617
0.362874,1.814371
0.364425,1.822124
0.365976,1.829878
0.367526,1.837632
0.369077,1.845385
0.370628,1.853139
0.372179,1.860893
0.373729,1.868647
0.375280,1.876400
0.376831,1.884154
0.378382,1.891908
0.379932,1.899662
0.381483,1.907415
0.383034,1.915169
0.384585,1.922923
0.386135,1.930676
0.387686,1.938430
0.389237,1.946184
0.390788,1.953938
0.392338,1.961691
0.393889,1.969445
0.395440,1.977199
0.396990,1.984952
0.398541,1.992706
0.400092,2.000460
0.401643,2.008214
0.403193,2.015967
0.404744,2.023721
0.406295,2.031475
0.407846,2.039228
0.409396,2.046982
0.410947,2.054736
0.412498,2.062490
0.414049,2.070243
0.415599,2.077997
0.417150,2.085751
0.418701,2.093505
0.420252,2.101258
0.421802,2.109012
0.423353,2.116766
0.424904,2.124519
0.426455,2.132273
0.428005,2.140027
0.429556,2.147781
0.431107,2.155534
0.432658,2.163288
0.434208,2.171042
0.435759,2.178795
0.437310,2.186549
0.438861,2.194303
0.440411,2.202057
0.441962,2.209810
0.443513,2.217564
0.445064,2.225318
0.446614,2.233071
0.448165,2.240825
