Time,Value
0.000000,5.000000
0.001551,5.000000
0.003101,5.000000
0.004652,5.000000
0.006203,5.000000
0.007754,5.000000
0.009304,5.000000
0.010855,5.000000
0.012406,5.000000
0.013957,5.000000
0.015507,5.000000
0.017058,5.000000
0.018609,5.000000
0.020160,5.000000
0.021710,5.000000
0.023261,5.000000
0.024812,5.000000
0.026363,5.000000
0.027913,5.000000
0.029464,5.000000
0.031015,5.000000
0.032566,5.000000
0.034116,5.000000
0.035667,5.000000
0.037218,5.000000
0.038769,5.000000
0.040319,5.000000
0.041870,5.000000
0.043421,5.000000
0.044972,5.000000
0.046522,5.000000
0.048073,5.000000
0.049624,5.000000
0.051175,5.000000
0.052725,5.000000
0.054276,5.000000
0.055827,5.000000
0.057378,5.000000
0.058928,5.000000
0.060479,5.000000
0.062030,5.000000
0.063581,5.000000
0.065131,5.000000
0.066682,5.000000
0.068233,5.000000
0.069783,5.000000
0.071334,5.000000
0.072885,5.000000
0.074436,5.000000
0.075986,5.000000
0.077537,5.000000
0.079088,5.000000
0.080639,5.000000
0.082189,5.000000
0.083740,5.000000
0.085291,5.000000
0.086842,5.000000
0.088392,5.000000
0.089943,5.000000
0.091494,5.000000
0.093045,5.000000
0.094595,5.000000
0.096146,5.000000
0.097697,5.000000
0.099248,5.000000
0.100798,5.000000
0.102349,5.000000
0.103900,5.000000
0.105451,5.000000
0.107001,5.000000
0.108552,5.000000
0.110103,5.000000
0.111654,5.000000
0.113204,5.000000
0.114755,5.000000
0.116306,5.000000
0.117857,5.000000
0.119407,5.000000
0.120958,5.000000
0.122509,5.000000
0.124060,5.000000
0.125610,5.000000
0.127161,5.000000
0.128712,5.000000
0.130263,5.000000
0.131813,5.000000
0.133364,5.000000
0.134915,5.000000
0.136465,5.000000
0.138016,5.000000
0.139567,5.000000
0.141118,5.000000
0.142668,5.000000
0.144219,5.000000
0.145770,5.000000
0.147321,5.000000
0.148871,5.000000
0.150422,5.000000
0.151973,5.000000
0.153524,5.000000
0.155074,5.000000
0.156625,5.000000
0.158176,5.000000
0.159727,5.000000
0.161277,5.000000
0.162828,5.000000
0.164379,5.000000
0.165930,5.000000
0.167480,5.000000
0.169031,5.000000
0.170582,5.000000
0.172133,5.000000
0.173683,5.000000
0.175234,5.000000
0.176785,5.000000
0.178336,5.000000
0.179886,5.000000
0.181437,5.000000
0.182988,5.000000
0.184539,5.000000
0.186089,5.000000
0.187640,5.000000
0.189191,5.000000
0.190742,5.000000
0.192292,5.000000
0.193843,5.000000
0.195394,5.000000
0.196944,5.000000
0.198495,5.000000
0.200046,5.000000
0.201597,5.000000
0.203147,5.000000
0.204698,5.000000
0.206249,5.000000
0.207800,5.000000
0.209350,5.000000
0.210901,5.000000
0.212452,5.000000
0.214003,5.000000
0.215553,5.000000
0.217104,5.000000
0.218655,5.000000
0.220206,5.000000
0.221756,5.000000
0.223307,5.000000
0.224858,5.000000
0.226409,5.000000
0.227959,5.000000
0.229510,5.000000
0.231061,5.000000
0.232612,5.000000
0.234162,5.000000
0.235713,5.000000
0.237264,5.000000
0.238815,5.000000
0.240365,5.000000
0.241916,5.000000
0.243467,5.000000
0.245018,5.000000
0.246568,5.000000
0.248119,5.000000
0.249670,5.000000
0.251221,5.000000
0.252771,5.000000
0.254322,5.000000
0.255873,5.000000
0.257424,5.000000
0.258974,5.000000
0.260525,5.000000
0.262076,5.000000
0.263626,5.000000
0.265177,5.000000
0.266728,5.000000
0.268279,5.000000
0.269829,5.000000
0.271380,5.000000
0.272931,5.000000
0.274482,5.000000
0.276032,5.000000
0.277583,5.000000
0.279134,5.000000
0.280685,5.000000
0.282235,5.000000
0.283786,5.000000
0.285337,5.000000
0.286888,5.000000
0.288438,5.000000
0.289989,5.000000
0.291540,5.000000
0.293091,5.000000
0.294641,5.000000
0.296192,5.000000
0.297743,5.000000
0.299294,5.000000
0.300844,5.000000
0.302395,5.000000
0.303946,5.000000
0.305497,5.000000
0.307047,5.000000
