Time,Value
0.000000,5.000000
0.015492,5.000000
0.030984,5.000000
0.046476,5.000000
0.061968,5.000000
0.077460,5.000000
0.092952,5.000000
0.108444,5.000000
0.123935,5.000000
0.139427,5.000000
0.154919,5.000000
0.170411,5.000000
0.185903,5.000000
0.201395,5.000000
0.216887,5.000000
0.232379,5.000000
0.247871,5.000000
0.263363,5.000000
0.278855,5.000000
0.294347,5.000000
0.309839,5.000000
0.325331,5.000000
0.340823,5.000000
0.356314,5.000000
0.371806,5.000000
0.387298,5.000000
0.402790,5.000000
0.418282,5.000000
0.433774,5.000000
0.449266,5.000000
0.464758,5.000000
0.480250,5.000000
0.495742,5.000000
0.511234,5.000000
0.526726,5.000000
0.542218,5.000000
0.557710,5.000000
0.573202,5.000000
0.588693,5.000000
0.604185,5.000000
0.619677,5.000000
0.635169,5.000000
0.650661,5.000000
0.666153,5.000000
0.681645,5.000000
0.697137,5.000000
0.712629,5.000000
0.728121,5.000000
0.743613,5.000000
0.759105,5.000000
0.774597,5.000000
0.774597,-5.000000
0.790089,-5.000000
0.805581,-5.000000
0.821072,-5.000000
0.836564,-5.000000
0.852056,-5.000000
0.867548,-5.000000
0.883040,-5.000000
0.898532,-5.000000
0.914024,-5.000000
0.929516,-5.000000
0.945008,-5.000000
0.960500,-5.000000
0.975992,-5.000000
0.991484,-5.000000
1.006976,-5.000000
1.022468,-5.000000
1.037960,-5.000000
1.053451,-5.000000
1.068943,-5.000000
1.084435,-5.000000
1.099927,-5.000000
1.115419,-5.000000
1.130911,-5.000000
1.146403,-5.000000
1.161895,-5.000000
1.177387,-5.000000
1.192879,-5.000000
1.208371,-5.000000
1.223863,-5.000000
1.239355,-5.000000
1.254847,-5.000000
1.270339,-5.000000
1.285830,-5.000000
1.301322,-5.000000
1.316814,-5.000000
1.332306,-5.000000
1.347798,-5.000000
1.363290,-5.000000
1.378782,-5.000000
1.394274,-5.000000
1.409766,-5.000000
1.425258,-5.000000
1.440750,-5.000000
1.456242,-5.000000
1.471734,-5.000000
1.487226,-5.000000
1.502718,-5.000000
1.518209,-5.000000
1.533701,-5.000000
1.549193,-5.000000
