Time,Value
0.000000,0.000000
0.015492,0.077460
0.030984,0.154919
0.046476,0.232379
0.061968,0.309839
0.077460,0.387298
0.092952,0.464758
0.108444,0.542218
0.123935,0.619677
0.139427,0.697137
0.154919,0.774597
0.170411,0.852056
0.185903,0.929516
0.201395,1.006976
0.216887,1.084435
0.232379,1.161895
0.247871,1.239355
0.263363,1.316814
0.278855,1.394274
0.294347,1.471734
0.309839,1.549193
0.325331,1.626653
0.340823,1.704113
0.356314,1.781572
0.371806,1.859032
0.387298,1.936492
0.402790,2.013951
0.418282,2.091411
0.433774,2.168871
0.449266,2.246330
0.464758,2.323790
0.480250,2.401250
0.495742,2.478709
0.511234,2.556169
0.526726,2.633629
0.542218,2.711088
0.557710,2.788548
0.573202,2.866008
0.588693,2.943467
0.604185,3.020927
0.619677,3.098387
0.635169,3.175846
0.650661,3.253306
0.666153,3.330766
0.681645,3.408225
0.697137,3.485685
0.712629,3.563145
0.728121,3.640604
0.743613,3.718064
0.759105,3.795524
0.774597,3.872983
0.774597,3.872983
0.790089,3.795524
0.805581,3.718064
0.821072,3.640604
0.836564,3.563145
0.852056,3.485685
0.867548,3.408225
0.883040,3.330766
0.898532,3.253306
0.914024,3.175846
0.929516,3.098387
0.945008,3.020927
0.960500,2.943467
0.975992,2.866008
0.991484,2.788548
1.006976,2.711088
1.022468,2.633629
1.037960,2.556169
1.053451,2.478709
1.068943,2.401250
1.084435,2.323790
1.099927,2.246330
1.115419,2.168871
1.130911,2.091411
1.146403,2.013951
1.161895,1.936492
1.177387,1.859032
1.192879,1.781572
1.208371,1.704113
1.223863,1.626653
1.239355,1.549193
1.254847,1.471734
1.270339,1.394274
1.285830,1.316814
1.301322,1.239355
1.316814,1.161895
1.332306,1.084435
1.347798,1.006976
1.363290,0.929516
1.378782,0.852056
1.394274,0.774597
1.409766,0.697137
1.425258,0.619677
1.440750,0.542218
1.456242,0.464758
1.471734,0.387298
1.487226,0.309839
1.502718,0.232379
1.518209,0.154919
1.533701,0.077460
1.549193,0.000000
