Time,Value
0.000000,-3.000000
0.015492,-3.000000
0.030984,-2.998776
0.046476,-2.996327
0.061968,-2.992653
0.077460,-2.987755
0.092952,-2.981633
0.108444,-2.974286
0.123935,-2.965714
0.139427,-2.955918
0.154919,-2.944898
0.170411,-2.932653
0.185903,-2.919184
0.201395,-2.904490
0.216887,-2.888571
0.232379,-2.871429
0.247871,-2.853061
0.263363,-2.833469
0.278855,-2.812653
0.294347,-2.790612
0.309839,-2.767347
0.325331,-2.742857
0.340823,-2.717143
0.356314,-2.690204
0.371806,-2.662041
0.387298,-2.632653
0.402790,-2.602041
0.418282,-2.570204
0.433774,-2.537143
0.449266,-2.502857
0.464758,-2.467347
0.480250,-2.430612
0.495742,-2.392653
0.511234,-2.353469
0.526726,-2.313061
0.542218,-2.271429
0.557710,-2.228571
0.573202,-2.184490
0.588693,-2.139184
0.604185,-2.092653
0.619677,-2.044898
0.635169,-1.995918
0.650661,-1.945714
0.666153,-1.894286
0.681645,-1.841633
0.697137,-1.787755
0.712629,-1.732653
0.728121,-1.676327
0.743613,-1.618776
0.759105,-1.560000
0.774597,-1.500000
0.774597,-1.500000
0.790089,-1.440000
0.805581,-1.381224
0.821072,-1.323673
0.836564,-1.267347
0.852056,-1.212245
0.867548,-1.158367
0.883040,-1.105714
0.898532,-1.054286
0.914024,-1.004082
0.929516,-0.955102
0.945008,-0.907347
0.960500,-0.860816
0.975992,-0.815510
0.991484,-0.771429
1.006976,-0.728571
1.022468,-0.686939
1.037960,-0.646531
1.053451,-0.607347
1.068943,-0.569388
1.084435,-0.532653
1.099927,-0.497143
1.115419,-0.462857
1.130911,-0.429796
1.146403,-0.397959
1.161895,-0.367347
1.177387,-0.337959
1.192879,-0.309796
1.208371,-0.282857
1.223863,-0.257143
1.239355,-0.232653
1.254847,-0.209388
1.270339,-0.187347
1.285830,-0.166531
1.301322,-0.146939
1.316814,-0.128571
1.332306,-0.111429
1.347798,-0.095510
1.363290,-0.080816
1.378782,-0.067347
1.394274,-0.055102
1.409766,-0.044082
1.425258,-0.034286
1.440750,-0.025714
1.456242,-0.018367
1.471734,-0.012245
1.487226,-0.007347
1.502718,-0.003673
1.518209,-0.001224
1.533701,-0.000000
1.549193,0.000000
