Time,Value
0.000000,0.000000
0.001568,0.007841
0.003137,0.015683
0.004705,0.023524
0.006273,0.031365
0.007841,0.039207
0.009410,0.047048
0.010978,0.054889
0.012546,0.062731
0.014114,0.070572
0.015683,0.078413
0.017251,0.086255
0.018819,0.094096
0.020387,0.101937
0.021956,0.109779
0.023524,0.117620
0.025092,0.125461
0.026661,0.133303
0.028229,0.141144
0.029797,0.148985
0.031365,0.156827
0.032934,0.164668
0.034502,0.172509
0.036070,0.180351
0.037638,0.188192
0.039207,0.196033
0.040775,0.203875
0.042343,0.211716
0.043911,0.219557
0.045480,0.227399
0.047048,0.235240
0.048616,0.243081
0.050185,0.250923
0.051753,0.258764
0.053321,0.266605
0.054889,0.274447
0.056458,0.282288
0.058026,0.290129
0.059594,0.297971
0.061162,0.305812
0.062731,0.313653
0.064299,0.321495
0.065867,0.329336
0.067435,0.337177
0.069004,0.345019
0.070572,0.352860
0.072140,0.360701
0.073709,0.368543
0.075277,0.376384
0.076845,0.384225
0.078413,0.392067
0.079982,0.399908
0.081550,0.407749
0.083118,0.415591
0.084686,0.423432
0.086255,0.431273
0.087823,0.439115
0.089391,0.446956
0.090959,0.454797
0.092528,0.462639
0.094096,0.470480
0.095664,0.478321
0.097233,0.486163
0.098801,0.494004
0.100369,0.501846
0.101937,0.509687
0.103506,0.517528
0.105074,0.525370
0.106642,0.533211
0.108210,0.541052
0.109779,0.548894
0.111347,0.556735
0.112915,0.564576
0.114484,0.572418
0.116052,0.580259
0.117620,0.588100
0.119188,0.595942
0.120757,0.603783
0.122325,0.611624
0.123893,0.619466
0.125461,0.627307
0.127030,0.635148
0.128598,0.642990
0.130166,0.650831
0.131734,0.658672
0.133303,0.666514
0.134871,0.674355
0.136439,0.682196
0.138008,0.690038
0.139576,0.697879
0.141144,0.705720
0.142712,0.713562
0.144281,0.721403
0.145849,0.729244
0.147417,0.737086
0.148985,0.744927
0.150554,0.752768
0.152122,0.760610
0.153690,0.768451
0.155258,0.776292
0.156827,0.784134
0.158395,0.791975
0.159963,0.799816
0.161532,0.807658
0.163100,0.815499
0.164668,0.823340
0.166236,0.831182
0.167805,0.839023
0.169373,0.846864
0.170941,0.854706
0.172509,0.862547
0.174078,0.870388
0.175646,0.878230
0.177214,0.886071
0.178782,0.893912
0.180351,0.901754
0.181919,0.909595
0.183487,0.917436
0.185056,0.925278
0.186624,0.933119
0.188192,0.940960
0.189760,0.948802
0.191329,0.956643
0.192897,0.964484
0.194465,0.972326
0.196033,0.980167
0.197602,0.988008
