Time,Value
0.000000,4.987494
0.002076,4.986209
0.004151,4.984960
0.006227,4.983746
0.008303,4.982567
0.010378,4.981421
0.012454,4.980309
0.014530,4.979230
0.016605,4.978183
0.018681,4.977167
0.020757,4.976182
0.022832,4.975226
0.024908,4.974301
0.026984,4.973404
0.029059,4.972534
0.031135,4.971693
0.033211,4.970878
0.035286,4.970089
0.037362,4.969326
0.039438,4.968587
0.041514,4.967872
0.043589,4.967181
0.045665,4.966513
0.047741,4.965866
0.049816,4.965241
0.051892,4.964637
0.053968,4.964053
0.056043,4.963489
0.058119,4.962943
0.060195,4.962415
0.062270,4.961905
0.064346,4.961412
0.066422,4.960935
0.068497,4.960473
0.070573,4.960027
0.072649,4.959594
0.074724,4.959175
0.076800,4.958769
0.078876,4.958375
0.080951,4.957993
0.083027,4.957621
0.085103,4.957260
0.087178,4.956908
0.089254,4.956565
0.091330,4.956230
0.093405,4.955903
0.095481,4.955583
0.097557,4.955269
0.099632,4.954961
0.101708,4.954658
0.103784,4.954359
0.105859,4.954063
0.107935,4.953771
0.110011,4.953481
0.112086,4.953192
0.114162,4.952904
0.116238,4.952617
0.118313,4.952330
0.120389,4.952041
0.122465,4.951751
0.124541,4.951458
0.126616,4.951162
0.128692,4.950863
0.130768,4.950560
0.132843,4.950251
0.134919,4.949937
0.136995,4.949617
0.139070,4.949289
0.141146,4.948954
0.143222,4.948611
0.145297,4.948259
0.147373,4.947897
0.149449,4.947525
0.151524,4.947142
0.153600,4.946748
0.155676,4.946341
0.157751,4.945921
0.159827,4.945488
0.161903,4.945041
0.163978,4.944578
0.166054,4.944101
0.168130,4.943607
0.170205,4.943096
0.172281,4.942567
0.174357,4.942021
0.176432,4.941456
0.178508,4.940871
0.180584,4.940266
0.182659,4.939640
0.184735,4.938993
0.186811,4.938323
0.188886,4.937631
0.190962,4.936915
0.193038,4.936175
0.195113,4.935411
0.197189,4.934621
0.199265,4.933805
0.201340,4.932962
0.203416,4.932092
0.205492,4.931193
0.207568,4.930266
0.209643,4.929310
0.211719,4.928323
0.213795,4.927306
0.215870,4.926257
0.217946,4.925176
0.220022,4.924063
0.222097,4.922916
0.224173,4.921735
0.226249,4.920520
0.228324,4.919269
0.230400,4.917982
0.232476,4.916659
0.234551,4.915298
0.236627,4.913899
0.238703,4.912462
0.240778,4.910985
0.242854,4.909468
0.244930,4.907911
0.247005,4.906313
0.249081,4.904672
0.251157,4.902989
0.253232,4.901262
0.255308,4.899492
0.257384,4.897677
0.259459,4.895817
