Time,Value
0.000000,-3.000000
0.002076,-2.999989
0.004151,-2.999957
0.006227,-2.999903
0.008303,-2.999828
0.010378,-2.999732
0.012454,-2.999613
0.014530,-2.999474
0.016605,-2.999313
0.018681,-2.999130
0.020757,-2.998926
0.022832,-2.998701
0.024908,-2.998454
0.026984,-2.998186
0.029059,-2.997896
0.031135,-2.997585
0.033211,-2.997253
0.035286,-2.996899
0.037362,-2.996524
0.039438,-2.996127
0.041514,-2.995709
0.043589,-2.995269
0.045665,-2.994808
0.047741,-2.994326
0.049816,-2.993822
0.051892,-2.993297
0.053968,-2.992751
0.056043,-2.992183
0.058119,-2.991594
0.060195,-2.990983
0.062270,-2.990351
0.064346,-2.989697
0.066422,-2.989023
0.068497,-2.988326
0.070573,-2.987609
0.072649,-2.986870
0.074724,-2.986110
0.076800,-2.985328
0.078876,-2.984525
0.080951,-2.983701
0.083027,-2.982855
0.085103,-2.981988
0.087178,-2.981099
0.089254,-2.980190
0.091330,-2.979258
0.093405,-2.978306
0.095481,-2.977332
0.097557,-2.976337
0.099632,-2.975320
0.101708,-2.974282
0.103784,-2.973223
0.105859,-2.972142
0.107935,-2.971040
0.110011,-2.969917
0.112086,-2.968772
0.114162,-2.967606
0.116238,-2.966419
0.118313,-2.965211
0.120389,-2.963981
0.122465,-2.962729
0.124541,-2.961457
0.126616,-2.960163
0.128692,-2.958847
0.130768,-2.957511
0.132843,-2.956153
0.134919,-2.954773
0.136995,-2.953373
0.139070,-2.951951
0.141146,-2.950507
0.143222,-2.949043
0.145297,-2.947557
0.147373,-2.946049
0.149449,-2.944521
0.151524,-2.942971
0.153600,-2.941400
0.155676,-2.939807
0.157751,-2.938193
0.159827,-2.936558
0.161903,-2.934902
0.163978,-2.933224
0.166054,-2.931525
0.168130,-2.929805
0.170205,-2.928063
0.172281,-2.926300
0.174357,-2.924516
0.176432,-2.922710
0.178508,-2.920884
0.180584,-2.919035
0.182659,-2.917166
0.184735,-2.915275
0.186811,-2.913363
0.188886,-2.911430
0.190962,-2.909476
0.193038,-2.907500
0.195113,-2.905503
0.197189,-2.903485
0.199265,-2.901445
0.201340,-2.899384
0.203416,-2.897302
0.205492,-2.895199
0.207568,-2.893074
0.209643,-2.890928
0.211719,-2.888761
0.213795,-2.886573
0.215870,-2.884363
0.217946,-2.882133
0.220022,-2.879881
0.222097,-2.877608
0.224173,-2.875313
0.226249,-2.872998
0.228324,-2.870661
0.230400,-2.868303
