Time,Value
0.000000,0.000000
0.002076,0.010351
0.004151,0.020700
0.006227,0.031045
0.008303,0.041389
0.010378,0.051730
0.012454,0.062068
0.014530,0.072405
0.016605,0.082739
0.018681,0.093071
0.020757,0.103401
0.022832,0.113729
0.024908,0.124055
0.026984,0.134379
0.029059,0.144701
0.031135,0.155022
0.033211,0.165341
0.035286,0.175658
0.037362,0.185973
0.039438,0.196287
0.041514,0.206600
0.043589,0.216910
0.045665,0.227220
0.047741,0.237528
0.049816,0.247835
0.051892,0.258141
0.053968,0.268445
0.056043,0.278748
0.058119,0.289050
0.060195,0.299351
0.062270,0.309651
0.064346,0.319950
0.066422,0.330248
0.068497,0.340544
0.070573,0.350840
0.072649,0.361135
0.074724,0.371429
0.076800,0.381722
0.078876,0.392015
0.080951,0.402306
0.083027,0.412597
0.085103,0.422887
0.087178,0.433177
0.089254,0.443465
0.091330,0.453753
0.093405,0.464040
0.095481,0.474327
0.097557,0.484613
0.099632,0.494898
0.101708,0.505182
0.103784,0.515466
0.105859,0.525750
0.107935,0.536032
0.110011,0.546314
0.112086,0.556596
0.114162,0.566877
0.116238,0.577157
0.118313,0.587437
0.120389,0.597716
0.122465,0.607995
0.124541,0.618272
0.126616,0.628550
0.128692,0.638827
0.130768,0.649103
0.132843,0.659378
0.134919,0.669653
0.136995,0.679927
0.139070,0.690200
0.141146,0.700473
0.143222,0.710745
0.145297,0.721017
0.147373,0.731287
0.149449,0.741557
0.151524,0.751826
0.153600,0.762094
0.155676,0.772362
0.157751,0.782628
0.159827,0.792894
0.161903,0.803159
0.163978,0.813423
0.166054,0.823685
0.168130,0.833947
0.170205,0.844208
0.172281,0.854468
0.174357,0.864726
0.176432,0.874984
0.178508,0.885240
0.180584,0.895495
0.182659,0.905749
0.184735,0.916001
0.186811,0.926252
0.188886,0.936502
0.190962,0.946750
0.193038,0.956997
0.195113,0.967242
0.197189,0.977485
0.199265,0.987727
0.201340,0.997967
0.203416,1.008206
0.205492,1.018442
0.207568,1.028677
0.209643,1.038909
0.211719,1.049140
0.213795,1.059369
0.215870,1.069595
0.217946,1.079819
0.220022,1.090041
0.222097,1.100261
0.224173,1.110478
0.226249,1.120692
0.228324,1.130905
0.230400,1.141114
0.232476,1.151321
0.234551,1.161525
0.236627,1.171726
0.238703,1.181924
0.240778,1.192119
0.242854,1.202311
0.244930,1.212500
0.247005,1.222686
0.249081,1.232868
0.251157,1.243047
