Time,Value
0.000000,-3.000000
0.000578,-2.996775
0.001157,-2.993552
0.001735,-2.990330
0.002313,-2.987110
0.002892,-2.983892
0.003470,-2.980675
0.004048,-2.977460
0.004627,-2.974247
0.005205,-2.971035
0.005783,-2.967825
0.006362,-2.964616
0.006940,-2.961409
0.007518,-2.958204
0.008097,-2.955000
0.008675,-2.951798
0.009253,-2.948597
0.009832,-2.945398
0.010410,-2.942201
0.010988,-2.939005
0.011567,-2.935811
0.012145,-2.932618
0.012723,-2.929426
0.013301,-2.926237
0.013880,-2.923048
0.014458,-2.919862
0.015036,-2.916676
0.015615,-2.913493
0.016193,-2.910310
0.016771,-2.907130
0.017350,-2.903950
0.017928,-2.900773
0.018506,-2.897596
0.019085,-2.894422
0.019663,-2.891248
0.020241,-2.888076
0.020820,-2.884906
0.021398,-2.881737
0.021976,-2.878569
0.022555,-2.875403
0.023133,-2.872238
0.023711,-2.869075
0.024290,-2.865913
0.024868,-2.862753
0.025446,-2.859594
0.026025,-2.856436
0.026603,-2.853280
0.027181,-2.850125
0.027760,-2.846971
0.028338,-2.843819
0.028916,-2.840668
0.029495,-2.837519
0.030073,-2.834371
0.030651,-2.831224
0.031230,-2.828079
0.031808,-2.824935
0.032386,-2.821792
0.032965,-2.818651
0.033543,-2.815511
0.034121,-2.812372
0.034700,-2.809234
0.035278,-2.806098
0.035856,-2.802964
0.036435,-2.799830
0.037013,-2.796698
0.037591,-2.793567
0.038169,-2.790437
0.038748,-2.787309
0.039326,-2.784182
0.039904,-2.781056
0.040483,-2.777931
0.041061,-2.774808
0.041639,-2.771686
0.042218,-2.768565
0.042796,-2.765445
0.043374,-2.762327
0.043953,-2.759210
0.044531,-2.756094
0.045109,-2.752979
0.045688,-2.749865
0.046266,-2.746753
0.046844,-2.743642
0.047423,-2.740532
0.048001,-2.737423
0.048579,-2.734315
0.049158,-2.731209
0.049736,-2.728104
0.050314,-2.725000
0.050893,-2.721897
0.051471,-2.718795
0.052049,-2.715694
0.052628,-2.712595
0.053206,-2.709497
0.053784,-2.706399
0.054363,-2.703303
0.054941,-2.700209
0.055519,-2.697115
0.056098,-2.694022
0.056676,-2.690930
0.057254,-2.687840
0.057833,-2.684751
0.058411,-2.681662
0.058989,-2.678575
0.059568,-2.675489
0.060146,-2.672404
0.060724,-2.669320
0.061303,-2.666237
0.061881,-2.663155
0.062459,-2.660075
0.063038,-2.656995
0.063616,-2.653916
0.064194,-2.650839
0.064772,-2.647762
0.065351,-2.644687
0.065929,-2.641612
0.066507,-2.638539
0.067086,-2.635467
0.067664,-2.632395
0.068242,-2.629325
0.068821,-2.626255
0.069399,-2.623187
0.069977,-2.620120
0.070556,-2.617053
0.071134,-2.613988
0.071712,-2.610924
0.072291,-2.607860
0.072869,-2.604798
0.073447,-2.601737
0.074026,-2.598676
0.074604,-2.595617
0.075182,-2.592558
0.075761,-2.589500
0.076339,-2.586444
0.076917,-2.583388
0.077496,-2.580333
0.078074,-2.577280
0.078652,-2.574227
0.079231,-2.571175
0.079809,-2.568124
0.080387,-2.565074
0.080966,-2.562025
0.081544,-2.558976
0.082122,-2.555929
0.082701,-2.552883
0.083279,-2.549837
0.083857,-2.546792
0.084436,-2.543749
0.085014,-2.540706
0.085592,-2.537664
0.086171,-2.534623
0.086749,-2.531583
0.087327,-2.528543
0.087906,-2.525505
0.088484,-2.522467
0.089062,-2.519430
0.089640,-2.516395
0.090219,-2.513359
0.090797,-2.510325
0.091375,-2.507292
0.091954,-2.504259
0.092532,-2.501228
0.093110,-2.498197
0.093689,-2.495167
0.094267,-2.492138
0.094845,-2.489109
0.095424,-2.486082
0.096002,-2.483055
0.096580,-2.480029
0.097159,-2.477004
0.097737,-2.473980
0.098315,-2.470956
0.098894,-2.467933
0.099472,-2.464911
0.100050,-2.461890
0.100629,-2.458870
0.101207,-2.455850
0.101785,-2.452831
0.102364,-2.449813
0.102942,-2.446796
0.103520,-2.443779
0.104099,-2.440763
0.104677,-2.437748
0.105255,-2.434734
0.105834,-2.431720
0.106412,-2.428708
0.106990,-2.425696
0.107569,-2.422684
0.108147,-2.419674
0.108725,-2.416664
0.109304,-2.413655
0.109882,-2.410646
0.110460,-2.407638
0.111039,-2.404631
0.111617,-2.401625
0.112195,-2.398620
0.112774,-2.395615
0.113352,-2.392610
0.113930,-2.389607
0.114508,-2.386604
0.115087,-2.383602
0.115665,-2.380601
0.116243,-2.377600
0.116822,-2.374600
0.117400,-2.371600
0.117978,-2.368602
0.118557,-2.365604
0.119135,-2.362606
0.119713,-2.359610
0.120292,-2.356613
0.120870,-2.353618
0.121448,-2.350623
0.122027,-2.347629
0.122605,-2.344636
0.123183,-2.341643
0.123762,-2.338651
0.124340,-2.335659
0.124918,-2.332668
0.125497,-2.329678
0.126075,-2.326688
0.126653,-2.323699
0.127232,-2.320711
0.127810,-2.317723
0.128388,-2.314736
0.128967,-2.311749
0.129545,-2.308763
0.130123,-2.305778
0.130702,-2.302793
0.131280,-2.299809
0.131858,-2.296825
0.132437,-2.293842
0.133015,-2.290860
0.133593,-2.287878
