Time,Value
0.000000,5.577744
0.000578,5.574859
0.001157,5.571984
0.001735,5.569122
0.002313,5.566270
0.002892,5.563430
0.003470,5.560602
0.004048,5.557785
0.004627,5.554979
0.005205,5.552185
0.005783,5.549401
0.006362,5.546629
0.006940,5.543869
0.007518,5.541119
0.008097,5.538381
0.008675,5.535653
0.009253,5.532937
0.009832,5.530232
0.010410,5.527537
0.010988,5.524854
0.011567,5.522182
0.012145,5.519520
0.012723,5.516870
0.013301,5.514230
0.013880,5.511601
0.014458,5.508983
0.015036,5.506375
0.015615,5.503778
0.016193,5.501192
0.016771,5.498617
0.017350,5.496052
0.017928,5.493498
0.018506,5.490954
0.019085,5.488420
0.019663,5.485898
0.020241,5.483385
0.020820,5.480883
0.021398,5.478392
0.021976,5.475910
0.022555,5.473439
0.023133,5.470979
0.023711,5.468528
0.024290,5.466088
0.024868,5.463658
0.025446,5.461238
0.026025,5.458828
0.026603,5.456429
0.027181,5.454039
0.027760,5.451659
0.028338,5.449290
0.028916,5.446930
0.029495,5.444580
0.030073,5.442240
0.030651,5.439910
0.031230,5.437590
0.031808,5.435280
0.032386,5.432979
0.032965,5.430688
0.033543,5.428407
0.034121,5.426136
0.034700,5.423874
0.035278,5.421622
0.035856,5.419379
0.036435,5.417146
0.037013,5.414922
0.037591,5.412708
0.038169,5.410504
0.038748,5.408308
0.039326,5.406123
0.039904,5.403946
0.040483,5.401779
0.041061,5.399622
0.041639,5.397473
0.042218,5.395334
0.042796,5.393204
0.043374,5.391083
0.043953,5.388972
0.044531,5.386869
0.045109,5.384776
0.045688,5.382692
0.046266,5.380617
0.046844,5.378550
0.047423,5.376493
0.048001,5.374445
0.048579,5.372406
0.049158,5.370375
0.049736,5.368354
0.050314,5.366341
0.050893,5.364337
0.051471,5.362342
0.052049,5.360356
0.052628,5.358378
0.053206,5.356409
0.053784,5.354449
0.054363,5.352497
0.054941,5.350554
0.055519,5.348620
0.056098,5.346694
0.056676,5.344777
0.057254,5.342868
0.057833,5.340968
0.058411,5.339076
0.058989,5.337193
0.059568,5.335318
0.060146,5.333451
0.060724,5.331593
0.061303,5.329743
0.061881,5.327901
0.062459,5.326068
0.063038,5.324242
0.063616,5.322425
0.064194,5.320616
0.064772,5.318816
0.065351,5.317023
0.065929,5.315239
0.066507,5.313462
0.067086,5.311694
0.067664,5.309933
0.068242,5.308181
0.068821,5.306437
0.069399,5.304700
0.069977,5.302971
0.070556,5.301251
0.071134,5.299538
0.071712,5.297833
0.072291,5.296136
0.072869,5.294446
0.073447,5.292764
0.074026,5.291090
0.074604,5.289424
0.075182,5.287766
0.075761,5.286115
0.076339,5.284471
0.076917,5.282836
0.077496,5.281207
0.078074,5.279587
0.078652,5.277974
0.079231,5.276368
0.079809,5.274770
0.080387,5.273179
0.080966,5.271596
0.081544,5.270020
0.082122,5.268451
0.082701,5.266890
0.083279,5.265336
0.083857,5.263790
0.084436,5.262250
0.085014,5.260718
0.085592,5.259193
0.086171,5.257676
0.086749,5.256165
0.087327,5.254662
0.087906,5.253166
0.088484,5.251677
0.089062,5.250195
0.089640,5.248720
0.090219,5.247252
0.090797,5.245791
0.091375,5.244337
0.091954,5.242890
0.092532,5.241450
0.093110,5.240016
0.093689,5.238590
0.094267,5.237171
0.094845,5.235758
0.095424,5.234352
0.096002,5.232953
0.096580,5.231561
0.097159,5.230175
0.097737,5.228796
0.098315,5.227424
0.098894,5.226059
0.099472,5.224700
0.100050,5.223348
0.100629,5.222002
0.101207,5.220663
0.101785,5.219331
0.102364,5.218005
0.102942,5.216686
0.103520,5.215373
0.104099,5.214067
0.104677,5.212767
0.105255,5.211473
0.105834,5.210186
0.106412,5.208905
0.106990,5.207631
0.107569,5.206363
0.108147,5.205101
0.108725,5.203846
0.109304,5.202596
0.109882,5.201354
0.110460,5.200117
0.111039,5.198886
0.111617,5.197662
0.112195,5.196444
0.112774,5.195232
0.113352,5.194026
